0000001722;scans;0000000054;DataLength
"header";0000000020;"lines"
"Date";01.01.2008;"Time";01:35:31
"ID";"HAL IV RC RGA 201 #9279";"Version";3
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"mass";1.00;50.00;0.20;100.000%;100.000%;1.000000;1.000000;
"Environment";
"Global";"RGA"
"F1";0;"( 1 = on, 0 = off )"
"F2";1;"( 1 = on, 0 = off )"
"cage";3.0;"V"
"delta-m";-10;"%"
"electron-energy";70.0;"V"
"emission";1000;"uA"
"focus";-90;"V"
"mass";5.50;"amu"
"mode-change-delay";1000;"ms"
"multiplier";800;"V"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Faraday torr"
0000000001;00:00:00;0000000004;    1.00; 1.46964e-08
0000000001;00:00:00;0000000004;    1.20; 9.39240e-09
0000000001;00:00:00;0000000004;    1.40; 1.20444e-08
0000000001;00:00:00;0000000004;    1.60; 1.34809e-08
0000000001;00:00:00;0000000004;    1.80; 1.24864e-08
0000000001;00:00:00;0000000004;    2.00; 1.27074e-08
0000000001;00:00:00;0000000004;    2.20; 1.32599e-08
0000000001;00:00:00;0000000004;    2.40; 6.96149e-09
0000000001;00:00:00;0000000004;    2.60;-2.54149e-09
0000000001;00:00:00;0000000004;    2.80; 1.54699e-09
0000000001;00:00:00;0000000004;    3.00; 3.31499e-09
0000000001;00:00:00;0000000004;    3.20;-4.41999e-10
0000000001;00:00:00;0000000004;    3.40;-1.87849e-09
0000000001;00:00:00;0000000004;    3.60; 5.52499e-10
0000000001;00:00:00;0000000004;    3.80; 4.97249e-09
0000000001;00:00:00;0000000004;    4.00; 8.83999e-10
0000000001;00:00:00;0000000004;    4.20;-2.87299e-09
0000000001;00:00:00;0000000004;    4.40; 4.53049e-09
0000000001;00:00:00;0000000004;    4.60;-1.76799e-09
0000000001;00:00:00;0000000004;    4.80;-1.98899e-09
0000000001;00:00:00;0000000004;    5.00;-3.42549e-09
0000000001;00:00:00;0000000004;    5.20;-9.94490e-10
0000000001;00:00:00;0000000004;    5.40; 9.94490e-10
0000000001;00:00:00;0000000004;    5.60; 1.54699e-09
0000000001;00:00:00;0000000004;    5.80; 5.30399e-09
0000000001;00:00:00;0000000004;    6.00; 1.10499e-10
0000000001;00:00:00;0000000004;    6.20;-1.87849e-09
0000000001;00:00:00;0000000004;    6.40;-8.83999e-10
0000000001;00:00:00;0000000004;    6.60; 3.42549e-09
0000000001;00:00:00;0000000004;    6.80;-1.98899e-09
0000000001;00:00:00;0000000004;    7.00;-5.52499e-10
0000000001;00:00:00;0000000004;    7.20;-3.09399e-09
0000000001;00:00:00;0000000004;    7.40;-3.64649e-09
0000000001;00:00:00;0000000004;    7.60;-4.41999e-10
0000000001;00:00:00;0000000004;    7.80;-2.54149e-09
0000000001;00:00:00;0000000004;    8.00; 2.09949e-09
0000000001;00:00:00;0000000004;    8.20; 2.20999e-09
0000000001;00:00:00;0000000004;    8.40;-1.43649e-09
0000000001;00:00:00;0000000004;    8.60;-1.65749e-09
0000000001;00:00:00;0000000004;    8.80; 5.52499e-10
0000000001;00:00:00;0000000004;    9.00; 3.97799e-09
0000000001;00:00:00;0000000004;    9.20;-1.76799e-09
0000000001;00:00:00;0000000004;    9.40; 0.00000e+00
0000000001;00:00:00;0000000004;    9.60; 1.21549e-09
0000000001;00:00:00;0000000004;    9.80; 5.74599e-09
0000000001;00:00:00;0000000004;   10.00; 2.32049e-09
0000000001;00:00:00;0000000004;   10.20; 1.43649e-09
0000000001;00:00:00;0000000004;   10.40; 4.41999e-10
0000000001;00:00:00;0000000004;   10.60; 5.08299e-09
0000000001;00:00:00;0000000004;   10.80;-2.65199e-09
0000000001;00:00:00;0000000004;   11.00; 6.62999e-10
0000000001;00:00:00;0000000004;   11.20; 4.41999e-10
0000000001;00:00:00;0000000004;   11.40; 2.65199e-09
0000000001;00:00:00;0000000004;   11.60;-2.54149e-09
0000000001;00:00:00;0000000004;   11.80; 1.98899e-09
0000000001;00:00:00;0000000004;   12.00; 3.20449e-09
0000000001;00:00:00;0000000004;   12.20;-2.20999e-10
0000000001;00:00:00;0000000004;   12.40;-1.21549e-09
0000000001;00:00:00;0000000004;   12.60; 1.87849e-09
0000000001;00:00:00;0000000004;   12.80; 2.20999e-10
0000000001;00:00:00;0000000004;   13.00;-1.65749e-09
0000000001;00:00:00;0000000004;   13.20;-3.53599e-09
0000000001;00:00:00;0000000004;   13.40; 1.43649e-09
0000000001;00:00:00;0000000004;   13.60; 1.32599e-09
0000000001;00:00:00;0000000004;   13.80; 1.98899e-09
0000000001;00:00:00;0000000004;   14.00; 7.73499e-10
0000000001;00:00:00;0000000004;   14.20; 4.97249e-09
0000000001;00:00:00;0000000004;   14.40; 3.09399e-09
0000000001;00:00:00;0000000004;   14.60; 1.54699e-09
0000000001;00:00:00;0000000004;   14.80; 3.53599e-09
0000000001;00:00:00;0000000004;   15.00; 3.31499e-10
