0000001230;scans;0000000054;DataLength
"header";0000000020;"lines"
"Date";01.01.2008;"Time";00:31:01
"ID";"HAL IV RC RGA 201 #9279";"Version";3
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"SEM";"mass";1.00;50.00;0.20;100.000%;100.000%;1.000000;1.000000;
"Environment";
"Global";"RGA"
"F1";0;"( 1 = on, 0 = off )"
"F2";1;"( 1 = on, 0 = off )"
"cage";3.0;"V"
"delta-m";20;"%"
"electron-energy";70.0;"V"
"emission";1000;"uA"
"focus";-90;"V"
"mass";5.50;"amu"
"mode-change-delay";1000;"ms"
"multiplier";800;"V"
"resolution";10;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"SEM torr"
0000000001;00:00:01;0000001020;    1.00; 2.21000e-10
0000000001;00:00:01;0000001020;    1.20; 2.21000e-10
0000000001;00:00:01;0000001020;    1.40; 0.00000e+00
0000000001;00:00:01;0000001020;    1.60; 0.00000e+00
0000000001;00:00:01;0000001020;    1.80; 0.00000e+00
0000000001;00:00:01;0000001020;    2.00; 3.31500e-10
0000000001;00:00:01;0000001020;    2.20; 5.52500e-10
0000000001;00:00:01;0000001020;    2.40; 0.00000e+00
0000000001;00:00:01;0000001020;    2.60; 0.00000e+00
0000000001;00:00:01;0000001020;    2.80; 0.00000e+00
0000000001;00:00:01;0000001020;    3.00; 0.00000e+00
0000000001;00:00:01;0000001020;    3.20; 0.00000e+00
0000000001;00:00:01;0000001020;    3.40; 0.00000e+00
0000000001;00:00:01;0000001020;    3.60; 0.00000e+00
0000000001;00:00:01;0000001020;    3.80; 0.00000e+00
0000000001;00:00:01;0000001020;    4.00; 0.00000e+00
0000000001;00:00:01;0000001020;    4.20; 0.00000e+00
0000000001;00:00:01;0000001020;    4.40; 0.00000e+00
0000000001;00:00:01;0000001020;    4.60; 0.00000e+00
0000000001;00:00:01;0000001020;    4.80; 0.00000e+00
0000000001;00:00:01;0000001020;    5.00; 0.00000e+00
0000000001;00:00:01;0000001020;    5.20; 0.00000e+00
0000000001;00:00:01;0000001020;    5.40; 0.00000e+00
0000000001;00:00:01;0000001020;    5.60; 0.00000e+00
0000000001;00:00:01;0000001020;    5.80; 0.00000e+00
0000000001;00:00:01;0000001020;    6.00; 0.00000e+00
0000000001;00:00:01;0000001020;    6.20;-1.10500e-10
0000000001;00:00:01;0000001020;    6.40; 0.00000e+00
0000000001;00:00:01;0000001020;    6.60; 0.00000e+00
0000000001;00:00:01;0000001020;    6.80;-1.10500e-10
0000000001;00:00:01;0000001020;    7.00; 0.00000e+00
0000000001;00:00:01;0000001020;    7.20; 0.00000e+00
0000000001;00:00:01;0000001020;    7.40; 0.00000e+00
0000000001;00:00:01;0000001020;    7.60; 0.00000e+00
0000000001;00:00:01;0000001020;    7.80;-1.10500e-10
0000000001;00:00:01;0000001020;    8.00; 0.00000e+00
0000000001;00:00:01;0000001020;    8.20; 0.00000e+00
0000000001;00:00:01;0000001020;    8.40; 0.00000e+00
0000000001;00:00:01;0000001020;    8.60; 0.00000e+00
0000000001;00:00:01;0000001020;    8.80; 0.00000e+00
0000000001;00:00:01;0000001020;    9.00; 0.00000e+00
0000000001;00:00:01;0000001020;    9.20; 0.00000e+00
0000000001;00:00:01;0000001020;    9.40; 0.00000e+00
0000000001;00:00:01;0000001020;    9.60; 0.00000e+00
0000000001;00:00:01;0000001020;    9.80; 0.00000e+00
0000000001;00:00:01;0000001020;   10.00; 0.00000e+00
0000000001;00:00:01;0000001020;   10.20; 0.00000e+00
0000000001;00:00:01;0000001020;   10.40; 0.00000e+00
0000000001;00:00:01;0000001020;   10.60; 0.00000e+00
0000000001;00:00:01;0000001020;   10.80;-1.10500e-10
0000000001;00:00:01;0000001020;   11.00; 0.00000e+00
0000000001;00:00:01;0000001020;   11.20; 0.00000e+00
0000000001;00:00:01;0000001020;   11.40;-1.10500e-10
0000000001;00:00:01;0000001020;   11.60; 0.00000e+00
0000000001;00:00:01;0000001020;   11.80; 0.00000e+00
0000000001;00:00:01;0000001020;   12.00; 0.00000e+00
0000000001;00:00:01;0000001020;   12.20; 0.00000e+00
0000000001;00:00:01;0000001020;   12.40; 0.00000e+00
0000000001;00:00:01;0000001020;   12.60; 0.00000e+00
0000000001;00:00:01;0000001020;   12.80; 0.00000e+00
0000000001;00:00:01;0000001020;   13.00; 0.00000e+00
0000000001;00:00:01;0000001020;   13.20; 0.00000e+00
0000000001;00:00:01;0000001020;   13.40; 0.00000e+00
