0000002460;scans;0000000054;DataLength
"header";0000000020;"lines"
"Date";01.01.2008;"Time";00:32:27
"ID";"HAL IV RC RGA 201 #9279";"Version";3
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"SEM";"mass";1.00;50.00;0.20;100.000%;100.000%;1.000000;1.000000;
"Environment";
"Global";"RGA"
"F1";0;"( 1 = on, 0 = off )"
"F2";1;"( 1 = on, 0 = off )"
"cage";3.0;"V"
"delta-m";20;"%"
"electron-energy";70.0;"V"
"emission";1000;"uA"
"focus";-90;"V"
"mass";5.50;"amu"
"mode-change-delay";1000;"ms"
"multiplier";800;"V"
"resolution";10;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"SEM torr"
0000000001;00:00:01;0000001022;    1.00; 3.31500e-10
0000000001;00:00:01;0000001022;    1.20; 2.21000e-10
0000000001;00:00:01;0000001022;    1.40; 2.21000e-10
0000000001;00:00:01;0000001022;    1.60; 1.10500e-10
0000000001;00:00:01;0000001022;    1.80; 1.10500e-10
0000000001;00:00:01;0000001022;    2.00; 4.42000e-10
0000000001;00:00:01;0000001022;    2.20; 6.63001e-10
0000000001;00:00:01;0000001022;    2.40; 1.10500e-10
0000000001;00:00:01;0000001022;    2.60; 1.10500e-10
0000000001;00:00:01;0000001022;    2.80; 1.10500e-10
0000000001;00:00:01;0000001022;    3.00; 0.00000e+00
0000000001;00:00:01;0000001022;    3.20; 1.10500e-10
0000000001;00:00:01;0000001022;    3.40; 0.00000e+00
0000000001;00:00:01;0000001022;    3.60; 0.00000e+00
0000000001;00:00:01;0000001022;    3.80; 1.10500e-10
0000000001;00:00:01;0000001022;    4.00; 0.00000e+00
0000000001;00:00:01;0000001022;    4.20; 0.00000e+00
0000000001;00:00:01;0000001022;    4.40; 0.00000e+00
0000000001;00:00:01;0000001022;    4.60; 1.10500e-10
0000000001;00:00:01;0000001022;    4.80; 1.10500e-10
0000000001;00:00:01;0000001022;    5.00; 1.10500e-10
0000000001;00:00:01;0000001022;    5.20; 1.10500e-10
0000000001;00:00:01;0000001022;    5.40; 0.00000e+00
0000000001;00:00:01;0000001022;    5.60; 1.10500e-10
0000000001;00:00:01;0000001022;    5.80; 0.00000e+00
0000000001;00:00:01;0000001022;    6.00; 1.10500e-10
0000000001;00:00:01;0000001022;    6.20; 0.00000e+00
0000000001;00:00:01;0000001022;    6.40; 1.10500e-10
0000000001;00:00:01;0000001022;    6.60; 1.10500e-10
0000000001;00:00:01;0000001022;    6.80; 1.10500e-10
0000000001;00:00:01;0000001022;    7.00; 1.10500e-10
0000000001;00:00:01;0000001022;    7.20; 1.10500e-10
0000000001;00:00:01;0000001022;    7.40; 0.00000e+00
0000000001;00:00:01;0000001022;    7.60; 1.10500e-10
0000000001;00:00:01;0000001022;    7.80; 1.10500e-10
0000000001;00:00:01;0000001022;    8.00; 0.00000e+00
0000000001;00:00:01;0000001022;    8.20; 1.10500e-10
0000000001;00:00:01;0000001022;    8.40; 1.10500e-10
0000000001;00:00:01;0000001022;    8.60; 1.10500e-10
0000000001;00:00:01;0000001022;    8.80; 0.00000e+00
0000000001;00:00:01;0000001022;    9.00; 0.00000e+00
