0000000500;scans;0000000054;DataLength
"header";0000000020;"lines"
"Date";01.01.2008;"Time";00:18:34
"ID";"HAL IV RC RGA 201 #9279";"Version";3
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"mass";1.00;50.00;1.00;100.000%;100.000%;1.000000;1.000000;
"Environment";
"Global";"RGA"
"F1";0;"( 1 = on, 0 = off )"
"F2";1;"( 1 = on, 0 = off )"
"cage";3.0;"V"
"delta-m";20;"%"
"electron-energy";70.0;"V"
"emission";1000;"uA"
"focus";-90;"V"
"mass";5.50;"amu"
"mode-change-delay";1000;"ms"
"multiplier";800;"V"
"resolution";10;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Faraday torr"
0000000001;00:00:01;0000001020;    1.00; 7.79020e-09
0000000001;00:00:01;0000001020;    2.00; 8.09410e-09
0000000001;00:00:01;0000001020;    3.00; 2.15474e-09
0000000001;00:00:01;0000001020;    4.00;-1.57462e-09
0000000001;00:00:01;0000001020;    5.00; 1.29837e-09
0000000001;00:00:01;0000001020;    6.00; 5.80124e-10
0000000001;00:00:01;0000001020;    7.00; 2.92824e-09
0000000001;00:00:01;0000001020;    8.00; 7.18249e-10
0000000001;00:00:01;0000001020;    9.00;-8.28740e-11
0000000001;00:00:01;0000001020;   10.00; 1.62987e-09
0000000001;00:00:01;0000001020;   11.00; 1.49174e-09
0000000001;00:00:01;0000001020;   12.00; 1.60224e-09
0000000001;00:00:01;0000001020;   13.00; 3.31499e-10
0000000001;00:00:01;0000001020;   14.00; 1.82324e-09
0000000001;00:00:01;0000001020;   15.00; 1.71274e-09
0000000001;00:00:01;0000001020;   16.00; 2.51387e-09
0000000001;00:00:01;0000001020;   17.00; 4.94487e-09
0000000001;00:00:01;0000001020;   18.00; 1.75418e-08
0000000001;00:00:01;0000001020;   19.00; 1.93374e-09
0000000001;00:00:01;0000001020;   20.00; 1.29837e-09
0000000001;00:00:01;0000001020;   21.00; 1.24312e-09
0000000001;00:00:01;0000001020;   22.00; 7.45874e-10
0000000001;00:00:01;0000001020;   23.00;-2.76249e-10
0000000001;00:00:01;0000001020;   24.00; 1.02212e-09
0000000001;00:00:01;0000001020;   25.00; 2.51387e-09
0000000001;00:00:01;0000001020;   26.00; 1.18787e-09
0000000001;00:00:01;0000001020;   27.00; 3.86749e-10
0000000001;00:00:01;0000001020;   28.00; 4.91724e-09
0000000001;00:00:01;0000001020;   29.00; 9.11624e-10
0000000001;00:00:01;0000001020;   30.00; 2.67962e-09
0000000001;00:00:01;0000001020;   31.00; 1.57462e-09
0000000001;00:00:01;0000001020;   32.00; 4.22662e-09
0000000001;00:00:01;0000001020;   33.00; 1.21549e-09
0000000001;00:00:01;0000001020;   34.00; 9.11624e-10
0000000001;00:00:01;0000001020;   35.00; 2.59674e-09
0000000001;00:00:01;0000001020;   36.00; 2.26524e-09
0000000001;00:00:01;0000001020;   37.00; 1.40887e-09
0000000001;00:00:01;0000001020;   38.00; 2.32049e-09
0000000001;00:00:01;0000001020;   39.00; 1.29837e-09
0000000001;00:00:01;0000001020;   40.00; 9.39240e-10
0000000001;00:00:01;0000001020;   41.00; 2.51387e-09
0000000001;00:00:01;0000001020;   42.00; 2.29287e-09
0000000001;00:00:01;0000001020;   43.00; 2.40337e-09
0000000001;00:00:01;0000001020;   44.00; 7.65210e-09
0000000001;00:00:01;0000001020;   45.00; 2.51387e-09
0000000001;00:00:01;0000001020;   46.00; 2.98349e-09
0000000001;00:00:01;0000001020;   47.00; 3.23212e-09
0000000001;00:00:01;0000001020;   48.00; 1.04974e-09
0000000001;00:00:01;0000001020;   49.00; 1.79562e-09
0000000001;00:00:01;0000001020;   50.00; 2.87299e-09
0000000002;00:00:05;0000005919;    1.00; 5.96699e-09
0000000002;00:00:05;0000005919;    2.00; 8.25560e-09
0000000002;00:00:05;0000005919;    3.00; 2.76249e-11
0000000002;00:00:05;0000005919;    4.00; 5.52499e-11
0000000002;00:00:05;0000005919;    5.00;-9.72390e-12
0000000002;00:00:05;0000005919;    6.00; 1.51384e-11
0000000002;00:00:05;0000005919;    7.00; 1.38124e-11
0000000002;00:00:05;0000005919;    8.00; 1.23759e-11
0000000002;00:00:05;0000005919;    9.00; 2.20999e-11
0000000002;00:00:05;0000005919;   10.00; 4.08849e-12
0000000002;00:00:05;0000005919;   11.00; 1.10499e-11
0000000002;00:00:05;0000005919;   12.00; 1.97463e-10
0000000002;00:00:05;0000005919;   13.00; 1.23759e-11
0000000002;00:00:05;0000005919;   14.00; 9.94490e-11
0000000002;00:00:05;0000005919;   15.00; 6.90620e-11
0000000002;00:00:05;0000005919;   16.00; 8.06649e-10
0000000002;00:00:05;0000005919;   17.00; 3.26107e-09
0000000002;00:00:05;0000005919;   18.00; 1.24561e-08
0000000002;00:00:05;0000005919;   19.00; 9.40570e-10
0000000002;00:00:05;0000005919;   20.00; 5.24874e-11
0000000002;00:00:05;0000005919;   21.00; 4.14374e-11
0000000002;00:00:05;0000005919;   22.00; 6.35370e-11
0000000002;00:00:05;0000005919;   23.00; 2.06634e-11
0000000002;00:00:05;0000005919;   24.00; 1.10499e-11
0000000002;00:00:05;0000005919;   25.00; 6.35370e-11
0000000002;00:00:05;0000005919;   26.00; 8.83990e-11
0000000002;00:00:05;0000005919;   27.00; 1.27074e-10
0000000002;00:00:05;0000005919;   28.00; 2.16027e-09
0000000002;00:00:05;0000005919;   29.00; 1.29837e-10
0000000002;00:00:05;0000005919;   30.00; 2.61000e-10
0000000002;00:00:05;0000005919;   31.00; 4.82884e-11
0000000002;00:00:05;0000005919;   32.00; 1.13395e-09
0000000002;00:00:05;0000005919;   33.00; 2.76249e-12
0000000002;00:00:05;0000005919;   34.00; 2.20999e-11
0000000002;00:00:05;0000005919;   35.00; 4.27634e-11
0000000002;00:00:05;0000005919;   36.00; 4.69624e-11
0000000002;00:00:05;0000005919;   37.00; 3.59124e-11
0000000002;00:00:05;0000005919;   38.00; 1.65749e-11
0000000002;00:00:05;0000005919;   39.00; 6.35370e-11
0000000002;00:00:05;0000005919;   40.00; 4.82884e-11
0000000002;00:00:05;0000005919;   41.00; 3.03874e-11
0000000002;00:00:05;0000005919;   42.00; 7.73490e-11
0000000002;00:00:05;0000005919;   43.00; 5.65759e-11
0000000002;00:00:05;0000005919;   44.00; 3.67688e-09
0000000002;00:00:05;0000005919;   45.00; 1.28400e-10
0000000002;00:00:05;0000005919;   46.00; 6.76250e-11
0000000002;00:00:05;0000005919;   47.00; 1.23759e-11
0000000002;00:00:05;0000005919;   48.00; 2.34259e-11
0000000002;00:00:05;0000005919;   49.00; 2.06634e-11
0000000002;00:00:05;0000005919;   50.00; 1.38124e-11
0000000003;00:00:27;0000027979;    1.00; 5.85373e-09
0000000003;00:00:27;0000027979;    2.00; 7.20868e-09
0000000003;00:00:27;0000027979;    3.00;-1.80114e-11
0000000003;00:00:27;0000027979;    4.00; 9.61340e-12
0000000003;00:00:27;0000027979;    5.00;-1.65749e-11
0000000003;00:00:27;0000027979;    6.00;-1.24864e-11
0000000003;00:00:27;0000027979;    7.00;-4.01114e-11
0000000003;00:00:27;0000027979;    8.00; 9.61340e-12
0000000003;00:00:27;0000027979;    9.00;-5.52499e-12
0000000003;00:00:27;0000027979;   10.00;-1.65749e-11
0000000003;00:00:27;0000027979;   11.00;-1.80114e-11
0000000003;00:00:27;0000027979;   12.00; 1.96137e-10
0000000003;00:00:27;0000027979;   13.00;-2.76249e-12
0000000003;00:00:27;0000027979;   14.00; 6.90620e-11
0000000003;00:00:27;0000027979;   15.00; 4.14374e-11
0000000003;00:00:27;0000027979;   16.00; 7.34824e-10
0000000003;00:00:27;0000027979;   17.00; 3.18372e-09
0000000003;00:00:27;0000027979;   18.00; 1.22419e-08
0000000003;00:00:27;0000027979;   19.00; 8.75711e-10
0000000003;00:00:27;0000027979;   20.00;-2.35364e-11
0000000003;00:00:27;0000027979;   21.00;-3.45864e-11
0000000003;00:00:27;0000027979;   22.00; 1.23759e-11
0000000003;00:00:27;0000027979;   23.00; 1.23759e-11
0000000003;00:00:27;0000027979;   24.00;-1.93374e-11
0000000003;00:00:27;0000027979;   25.00;-8.28740e-12
0000000003;00:00:27;0000027979;   26.00;-4.19899e-12
0000000003;00:00:27;0000027979;   27.00; 5.52499e-11
0000000003;00:00:27;0000027979;   28.00; 2.11883e-09
0000000003;00:00:27;0000027979;   29.00; 1.36688e-10
0000000003;00:00:27;0000027979;   30.00; 1.85087e-10
0000000003;00:00:27;0000027979;   31.00;-1.10499e-11
0000000003;00:00:27;0000027979;   32.00; 9.72390e-10
0000000003;00:00:27;0000027979;   33.00;-2.35364e-11
0000000003;00:00:27;0000027979;   34.00;-2.07739e-11
0000000003;00:00:27;0000027979;   35.00; 6.85099e-12
0000000003;00:00:27;0000027979;   36.00;-2.90614e-11
0000000003;00:00:27;0000027979;   37.00;-1.80114e-11
0000000003;00:00:27;0000027979;   38.00; 2.76249e-11
0000000003;00:00:27;0000027979;   39.00;-3.18239e-11
0000000003;00:00:27;0000027979;   40.00;-1.38124e-11
0000000003;00:00:27;0000027979;   41.00; 2.89509e-11
0000000003;00:00:27;0000027979;   42.00; 2.48624e-11
0000000003;00:00:27;0000027979;   43.00; 2.89509e-11
0000000003;00:00:27;0000027979;   44.00; 3.63124e-09
0000000003;00:00:27;0000027979;   45.00; 5.10509e-11
0000000003;00:00:27;0000027979;   46.00; 3.44759e-11
0000000003;00:00:27;0000027979;   47.00; 1.10499e-11
0000000003;00:00:27;0000027979;   48.00; 9.61340e-12
