0000001897;scans;0000000054;DataLength
"header";0000000020;"lines"
"Date";01.01.2008;"Time";05:53:54
"ID";"HAL IV RC RGA 201 #9279";"Version";3
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"mass";1.00;55.00;0.20;100.000%;100.000%;1.000000;1.000000;
"Environment";
"Global";"RGA"
"F1";0;"( 1 = on, 0 = off )"
"F2";1;"( 1 = on, 0 = off )"
"cage";3.0;"V"
"delta-m";20;"%"
"electron-energy";70.0;"V"
"emission";1000;"uA"
"focus";-90;"V"
"mass";5.50;"amu"
"mode-change-delay";1000;"ms"
"multiplier";800;"V"
"resolution";5;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Faraday torr"
0000000001;00:00:00;0000000004;    1.00;-1.10499e-08
0000000001;00:00:00;0000000004;    1.20;-1.10499e-08
0000000001;00:00:00;0000000004;    1.40; 0.00000e+00
0000000001;00:00:00;0000000004;    1.60; 0.00000e+00
0000000001;00:00:00;0000000004;    1.80;-1.10499e-08
0000000001;00:00:00;0000000004;    2.00;-1.10499e-08
0000000001;00:00:00;0000000004;    2.20; 0.00000e+00
0000000001;00:00:00;0000000004;    2.40; 0.00000e+00
0000000001;00:00:00;0000000004;    2.60; 0.00000e+00
0000000001;00:00:00;0000000004;    2.80; 0.00000e+00
0000000001;00:00:00;0000000004;    3.00;-1.10499e-08
0000000001;00:00:00;0000000004;    3.20;-1.10499e-08
0000000001;00:00:00;0000000004;    3.40;-1.10499e-08
0000000001;00:00:00;0000000004;    3.60;-1.10499e-08
0000000001;00:00:00;0000000004;    3.80; 0.00000e+00
0000000001;00:00:00;0000000004;    4.00;-1.10499e-08
0000000001;00:00:00;0000000004;    4.20;-1.10499e-08
0000000001;00:00:00;0000000004;    4.40;-1.10499e-08
0000000001;00:00:00;0000000004;    4.60;-1.10499e-08
0000000001;00:00:00;0000000004;    4.80; 0.00000e+00
0000000001;00:00:00;0000000004;    5.00; 0.00000e+00
0000000001;00:00:00;0000000004;    5.20;-1.10499e-08
0000000001;00:00:00;0000000004;    5.40; 0.00000e+00
0000000001;00:00:00;0000000004;    5.60; 0.00000e+00
0000000001;00:00:00;0000000004;    5.80; 0.00000e+00
0000000001;00:00:00;0000000004;    6.00; 0.00000e+00
0000000001;00:00:00;0000000004;    6.20; 0.00000e+00
0000000001;00:00:00;0000000004;    6.40;-1.10499e-08
0000000001;00:00:00;0000000004;    6.60; 0.00000e+00
0000000001;00:00:00;0000000004;    6.80; 0.00000e+00
0000000001;00:00:00;0000000004;    7.00; 0.00000e+00
0000000001;00:00:00;0000000004;    7.20; 0.00000e+00
0000000001;00:00:00;0000000004;    7.40; 0.00000e+00
0000000001;00:00:00;0000000004;    7.60; 0.00000e+00
0000000001;00:00:00;0000000004;    7.80;-1.10499e-08
0000000001;00:00:00;0000000004;    8.00;-1.10499e-08
0000000001;00:00:00;0000000004;    8.20; 0.00000e+00
0000000001;00:00:00;0000000004;    8.40;-1.10499e-08
0000000001;00:00:00;0000000004;    8.60;-1.10499e-08
0000000001;00:00:00;0000000004;    8.80; 0.00000e+00
0000000001;00:00:00;0000000004;    9.00;-1.10499e-08
0000000001;00:00:00;0000000004;    9.20;-1.10499e-08
0000000001;00:00:00;0000000004;    9.40;-1.10499e-08
0000000001;00:00:00;0000000004;    9.60; 0.00000e+00
0000000001;00:00:00;0000000004;    9.80;-1.10499e-08
0000000001;00:00:00;0000000004;   10.00; 0.00000e+00
0000000001;00:00:00;0000000004;   10.20;-1.10499e-08
0000000001;00:00:00;0000000004;   10.40;-1.10499e-08
0000000001;00:00:00;0000000004;   10.60;-1.10499e-08
0000000001;00:00:00;0000000004;   10.80; 0.00000e+00
0000000001;00:00:00;0000000004;   11.00; 0.00000e+00
0000000001;00:00:00;0000000004;   11.20; 0.00000e+00
0000000001;00:00:00;0000000004;   11.40; 0.00000e+00
0000000001;00:00:00;0000000004;   11.60; 0.00000e+00
0000000001;00:00:00;0000000004;   11.80;-1.10499e-08
0000000001;00:00:00;0000000004;   12.00; 0.00000e+00
0000000001;00:00:00;0000000004;   12.20; 1.10499e-08
0000000001;00:00:00;0000000004;   12.40;-1.10499e-08
0000000001;00:00:00;0000000004;   12.60;-1.10499e-08
0000000001;00:00:00;0000000004;   12.80;-1.10499e-08
