0000006955;scans;0000000054;DataLength
"header";0000000020;"lines"
"Date";01.01.2008;"Time";04:46:09
"ID";"HAL IV RC RGA 201 #9279";"Version";3
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"mass";1.00;140.00;0.10;100.000%;100.000%;1.000000;1.000000;
"Environment";
"Global";"RGA"
"F1";0;"( 1 = on, 0 = off )"
"F2";1;"( 1 = on, 0 = off )"
"cage";3.0;"V"
"delta-m";20;"%"
"electron-energy";50.0;"V"
"emission";1000;"uA"
"focus";-90;"V"
"mass";5.50;"amu"
"mode-change-delay";1000;"ms"
"multiplier";800;"V"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Faraday torr"
0000000001;00:00:00;0000000004;    1.00;-2.20999e-08
0000000001;00:00:00;0000000004;    1.10;-2.20999e-08
0000000001;00:00:00;0000000004;    1.20;-2.20999e-08
0000000001;00:00:00;0000000004;    1.30;-3.31499e-08
0000000001;00:00:00;0000000004;    1.40;-3.31499e-08
0000000001;00:00:00;0000000004;    1.50;-3.31499e-08
0000000001;00:00:00;0000000004;    1.60;-2.20999e-08
0000000001;00:00:00;0000000004;    1.70;-3.31499e-08
0000000001;00:00:00;0000000004;    1.80;-3.31499e-08
0000000001;00:00:00;0000000004;    1.90;-3.31499e-08
0000000001;00:00:00;0000000004;    2.00;-2.20999e-08
0000000001;00:00:00;0000000004;    2.10;-2.20999e-08
0000000001;00:00:00;0000000004;    2.20;-2.20999e-08
0000000001;00:00:00;0000000004;    2.30;-2.20999e-08
0000000001;00:00:00;0000000004;    2.40;-3.31499e-08
0000000001;00:00:00;0000000004;    2.50;-3.31499e-08
0000000001;00:00:00;0000000004;    2.60;-3.31499e-08
0000000001;00:00:00;0000000004;    2.70;-3.31499e-08
0000000001;00:00:00;0000000004;    2.80;-3.31499e-08
0000000001;00:00:00;0000000004;    2.90;-2.20999e-08
0000000001;00:00:00;0000000004;    3.00;-2.20999e-08
0000000001;00:00:00;0000000004;    3.10;-2.20999e-08
0000000001;00:00:00;0000000004;    3.20;-3.31499e-08
0000000001;00:00:00;0000000004;    3.30;-3.31499e-08
0000000001;00:00:00;0000000004;    3.40;-3.31499e-08
0000000001;00:00:00;0000000004;    3.50;-3.31499e-08
0000000001;00:00:00;0000000004;    3.60;-3.31499e-08
0000000001;00:00:00;0000000004;    3.70;-3.31499e-08
0000000001;00:00:00;0000000004;    3.80;-3.31499e-08
0000000001;00:00:00;0000000004;    3.90;-3.31499e-08
0000000001;00:00:00;0000000004;    4.00;-3.31499e-08
0000000001;00:00:00;0000000004;    4.10;-3.31499e-08
0000000001;00:00:00;0000000004;    4.20;-3.31499e-08
0000000001;00:00:00;0000000004;    4.30;-3.31499e-08
0000000001;00:00:00;0000000004;    4.40;-2.20999e-08
0000000001;00:00:00;0000000004;    4.50;-3.31499e-08
0000000001;00:00:00;0000000004;    4.60;-3.31499e-08
0000000001;00:00:00;0000000004;    4.70;-3.31499e-08
0000000001;00:00:00;0000000004;    4.80;-3.31499e-08
0000000001;00:00:00;0000000004;    4.90;-3.31499e-08
0000000001;00:00:00;0000000004;    5.00;-3.31499e-08
0000000001;00:00:00;0000000004;    5.10;-3.31499e-08
0000000001;00:00:00;0000000004;    5.20;-3.31499e-08
0000000001;00:00:00;0000000004;    5.30;-3.31499e-08
0000000001;00:00:00;0000000004;    5.40;-3.31499e-08
0000000001;00:00:00;0000000004;    5.50;-3.31499e-08
0000000001;00:00:00;0000000004;    5.60;-2.20999e-08
0000000001;00:00:00;0000000004;    5.70;-3.31499e-08
0000000001;00:00:00;0000000004;    5.80;-3.31499e-08
0000000001;00:00:00;0000000004;    5.90;-3.31499e-08
0000000001;00:00:00;0000000004;    6.00;-3.31499e-08
0000000001;00:00:00;0000000004;    6.10;-2.20999e-08
0000000001;00:00:00;0000000004;    6.20;-2.20999e-08
0000000001;00:00:00;0000000004;    6.30;-3.31499e-08
0000000001;00:00:00;0000000004;    6.40;-3.31499e-08
0000000001;00:00:00;0000000004;    6.50;-3.31499e-08
0000000001;00:00:00;0000000004;    6.60;-3.31499e-08
0000000001;00:00:00;0000000004;    6.70;-3.31499e-08
0000000001;00:00:00;0000000004;    6.80;-3.31499e-08
0000000001;00:00:00;0000000004;    6.90;-2.20999e-08
0000000001;00:00:00;0000000004;    7.00;-3.31499e-08
0000000001;00:00:00;0000000004;    7.10;-2.20999e-08
0000000001;00:00:00;0000000004;    7.20;-3.31499e-08
0000000001;00:00:00;0000000004;    7.30;-3.31499e-08
0000000001;00:00:00;0000000004;    7.40;-3.31499e-08
0000000001;00:00:00;0000000004;    7.50;-3.31499e-08
0000000001;00:00:00;0000000004;    7.60;-4.41999e-08
0000000001;00:00:00;0000000004;    7.70;-3.31499e-08
0000000001;00:00:00;0000000004;    7.80;-2.20999e-08
0000000001;00:00:00;0000000004;    7.90;-3.31499e-08
0000000001;00:00:00;0000000004;    8.00;-3.31499e-08
0000000001;00:00:00;0000000004;    8.10;-3.31499e-08
0000000001;00:00:00;0000000004;    8.20;-3.31499e-08
0000000001;00:00:00;0000000004;    8.30;-3.31499e-08
0000000001;00:00:00;0000000004;    8.40;-2.20999e-08
0000000001;00:00:00;0000000004;    8.50;-2.20999e-08
0000000001;00:00:00;0000000004;    8.60;-3.31499e-08
0000000001;00:00:00;0000000004;    8.70;-3.31499e-08
0000000001;00:00:00;0000000004;    8.80;-2.20999e-08
0000000001;00:00:00;0000000004;    8.90;-3.31499e-08
0000000001;00:00:00;0000000004;    9.00;-2.20999e-08
0000000001;00:00:00;0000000004;    9.10;-2.20999e-08
0000000001;00:00:00;0000000004;    9.20;-2.20999e-08
0000000001;00:00:00;0000000004;    9.30;-3.31499e-08
0000000001;00:00:00;0000000004;    9.40;-2.20999e-08
0000000001;00:00:00;0000000004;    9.50;-2.20999e-08
0000000001;00:00:00;0000000004;    9.60;-3.31499e-08
0000000001;00:00:00;0000000004;    9.70;-3.31499e-08
0000000001;00:00:00;0000000004;    9.80;-3.31499e-08
0000000001;00:00:00;0000000004;    9.90;-2.20999e-08
0000000001;00:00:00;0000000004;   10.00;-3.31499e-08
0000000001;00:00:00;0000000004;   10.10;-3.31499e-08
0000000001;00:00:00;0000000004;   10.20;-3.31499e-08
0000000001;00:00:00;0000000004;   10.30;-3.31499e-08
0000000001;00:00:00;0000000004;   10.40;-3.31499e-08
0000000001;00:00:00;0000000004;   10.50;-2.20999e-08
0000000001;00:00:00;0000000004;   10.60;-2.20999e-08
0000000001;00:00:00;0000000004;   10.70;-2.20999e-08
0000000001;00:00:00;0000000004;   10.80;-3.31499e-08
0000000001;00:00:00;0000000004;   10.90;-3.31499e-08
0000000001;00:00:00;0000000004;   11.00;-3.31499e-08
0000000001;00:00:00;0000000004;   11.10;-3.31499e-08
0000000001;00:00:00;0000000004;   11.20;-2.20999e-08
0000000001;00:00:00;0000000004;   11.30;-2.20999e-08
0000000001;00:00:00;0000000004;   11.40;-3.31499e-08
0000000001;00:00:00;0000000004;   11.50;-3.31499e-08
0000000001;00:00:00;0000000004;   11.60;-3.31499e-08
0000000001;00:00:00;0000000004;   11.70;-2.20999e-08
0000000001;00:00:00;0000000004;   11.80;-2.20999e-08
0000000001;00:00:00;0000000004;   11.90;-2.20999e-08
0000000001;00:00:00;0000000004;   12.00; 0.00000e+00
0000000001;00:00:00;0000000004;   12.10; 1.10499e-08
0000000001;00:00:00;0000000004;   12.20; 1.10499e-08
0000000001;00:00:00;0000000004;   12.30;-1.10499e-08
0000000001;00:00:00;0000000004;   12.40;-2.20999e-08
0000000001;00:00:00;0000000004;   12.50;-2.20999e-08
0000000001;00:00:00;0000000004;   12.60;-3.31499e-08
0000000001;00:00:00;0000000004;   12.70;-2.20999e-08
0000000001;00:00:00;0000000004;   12.80;-2.20999e-08
0000000001;00:00:00;0000000004;   12.90;-3.31499e-08
0000000001;00:00:00;0000000004;   13.00;-3.31499e-08
0000000001;00:00:00;0000000004;   13.10;-3.31499e-08
0000000001;00:00:00;0000000004;   13.20;-3.31499e-08
0000000001;00:00:00;0000000004;   13.30;-3.31499e-08
0000000001;00:00:00;0000000004;   13.40;-3.31499e-08
0000000001;00:00:00;0000000004;   13.50;-2.20999e-08
0000000001;00:00:00;0000000004;   13.60;-2.20999e-08
0000000001;00:00:00;0000000004;   13.70;-2.20999e-08
0000000001;00:00:00;0000000004;   13.80;-2.20999e-08
0000000001;00:00:00;0000000004;   13.90; 0.00000e+00
0000000001;00:00:00;0000000004;   14.00; 3.31499e-08
0000000001;00:00:00;0000000004;   14.10; 3.31499e-08
0000000001;00:00:00;0000000004;   14.20; 4.41999e-08
0000000001;00:00:00;0000000004;   14.30; 0.00000e+00
0000000001;00:00:00;0000000004;   14.40;-2.20999e-08
0000000001;00:00:00;0000000004;   14.50;-3.31499e-08
0000000001;00:00:00;0000000004;   14.60;-3.31499e-08
0000000001;00:00:00;0000000004;   14.70;-2.20999e-08
0000000001;00:00:00;0000000004;   14.80;-3.31499e-08
0000000001;00:00:00;0000000004;   14.90;-3.31499e-08
0000000001;00:00:00;0000000004;   15.00;-3.31499e-08
0000000001;00:00:00;0000000004;   15.10;-2.20999e-08
0000000001;00:00:00;0000000004;   15.20;-3.31499e-08
0000000001;00:00:00;0000000004;   15.30;-3.31499e-08
0000000001;00:00:00;0000000004;   15.40;-2.20999e-08
0000000001;00:00:00;0000000004;   15.50;-2.20999e-08
0000000001;00:00:00;0000000004;   15.60;-3.31499e-08
0000000001;00:00:00;0000000004;   15.70;-3.31499e-08
0000000001;00:00:00;0000000004;   15.80;-2.20999e-08
0000000001;00:00:00;0000000004;   15.90; 5.52499e-08
0000000001;00:00:00;0000000004;   16.00; 9.94490e-08
0000000001;00:00:00;0000000004;   16.10; 1.32599e-07
0000000001;00:00:00;0000000004;   16.20; 1.32599e-07
0000000001;00:00:00;0000000004;   16.30; 1.10499e-08
0000000001;00:00:00;0000000004;   16.40;-3.31499e-08
0000000001;00:00:00;0000000004;   16.50;-3.31499e-08
0000000001;00:00:00;0000000004;   16.60;-2.20999e-08
0000000001;00:00:00;0000000004;   16.70;-2.20999e-08
0000000001;00:00:00;0000000004;   16.80;-3.31499e-08
0000000001;00:00:00;0000000004;   16.90;-2.20999e-08
0000000001;00:00:00;0000000004;   17.00;-1.10499e-08
0000000001;00:00:00;0000000004;   17.10;-1.10499e-08
0000000001;00:00:00;0000000004;   17.20;-1.10499e-08
0000000001;00:00:00;0000000004;   17.30;-2.20999e-08
0000000001;00:00:00;0000000004;   17.40;-3.31499e-08
0000000001;00:00:00;0000000004;   17.50;-3.31499e-08
0000000001;00:00:00;0000000004;   17.60;-2.20999e-08
0000000001;00:00:00;0000000004;   17.70;-2.20999e-08
0000000001;00:00:00;0000000004;   17.80;-2.20999e-08
0000000001;00:00:00;0000000004;   17.90; 1.10499e-08
0000000001;00:00:00;0000000004;   18.00; 3.31499e-08
0000000001;00:00:00;0000000004;   18.10; 6.62990e-08
0000000001;00:00:00;0000000004;   18.20; 5.52499e-08
0000000001;00:00:00;0000000004;   18.30; 1.10499e-08
0000000001;00:00:00;0000000004;   18.40;-3.31499e-08
0000000001;00:00:00;0000000004;   18.50;-3.31499e-08
0000000001;00:00:00;0000000004;   18.60;-3.31499e-08
0000000001;00:00:00;0000000004;   18.70;-3.31499e-08
0000000001;00:00:00;0000000004;   18.80;-2.20999e-08
0000000001;00:00:00;0000000004;   18.90;-3.31499e-08
0000000001;00:00:00;0000000004;   19.00;-2.20999e-08
0000000001;00:00:00;0000000004;   19.10;-3.31499e-08
0000000001;00:00:00;0000000004;   19.20;-2.20999e-08
0000000001;00:00:00;0000000004;   19.30;-2.20999e-08
0000000001;00:00:00;0000000004;   19.40;-2.20999e-08
0000000001;00:00:00;0000000004;   19.50;-2.20999e-08
0000000001;00:00:00;0000000004;   19.60;-3.31499e-08
0000000001;00:00:00;0000000004;   19.70;-2.20999e-08
0000000001;00:00:00;0000000004;   19.80;-2.20999e-08
0000000001;00:00:00;0000000004;   19.90;-3.31499e-08
0000000001;00:00:00;0000000004;   20.00;-3.31499e-08
0000000001;00:00:00;0000000004;   20.10;-2.20999e-08
0000000001;00:00:00;0000000004;   20.20;-2.20999e-08
0000000001;00:00:00;0000000004;   20.30;-3.31499e-08
0000000001;00:00:00;0000000004;   20.40;-2.20999e-08
0000000001;00:00:00;0000000004;   20.50;-3.31499e-08
0000000001;00:00:00;0000000004;   20.60;-3.31499e-08
0000000001;00:00:00;0000000004;   20.70;-2.20999e-08
0000000001;00:00:00;0000000004;   20.80;-2.20999e-08
0000000001;00:00:00;0000000004;   20.90;-2.20999e-08
0000000001;00:00:00;0000000004;   21.00;-3.31499e-08
0000000001;00:00:00;0000000004;   21.10;-3.31499e-08
0000000001;00:00:00;0000000004;   21.20;-2.20999e-08
0000000001;00:00:00;0000000004;   21.30;-3.31499e-08
0000000001;00:00:00;0000000004;   21.40;-2.20999e-08
0000000001;00:00:00;0000000004;   21.50;-2.20999e-08
0000000001;00:00:00;0000000004;   21.60;-2.20999e-08
0000000001;00:00:00;0000000004;   21.70;-2.20999e-08
0000000001;00:00:00;0000000004;   21.80;-2.20999e-08
0000000001;00:00:00;0000000004;   21.90;-2.20999e-08
0000000001;00:00:00;0000000004;   22.00;-2.20999e-08
0000000001;00:00:00;0000000004;   22.10;-1.10499e-08
0000000001;00:00:00;0000000004;   22.20;-2.20999e-08
0000000001;00:00:00;0000000004;   22.30;-2.20999e-08
0000000001;00:00:00;0000000004;   22.40;-2.20999e-08
0000000001;00:00:00;0000000004;   22.50;-2.20999e-08
0000000001;00:00:00;0000000004;   22.60;-2.20999e-08
0000000001;00:00:00;0000000004;   22.70;-3.31499e-08
0000000001;00:00:00;0000000004;   22.80;-3.31499e-08
0000000001;00:00:00;0000000004;   22.90;-2.20999e-08
0000000001;00:00:00;0000000004;   23.00;-2.20999e-08
0000000001;00:00:00;0000000004;   23.10;-2.20999e-08
0000000001;00:00:00;0000000004;   23.20;-2.20999e-08
0000000001;00:00:00;0000000004;   23.30;-2.20999e-08
0000000001;00:00:00;0000000004;   23.40;-2.20999e-08
0000000001;00:00:00;0000000004;   23.50;-2.20999e-08
0000000001;00:00:00;0000000004;   23.60;-3.31499e-08
0000000001;00:00:00;0000000004;   23.70;-2.20999e-08
0000000001;00:00:00;0000000004;   23.80;-3.31499e-08
0000000001;00:00:00;0000000004;   23.90;-2.20999e-08
0000000001;00:00:00;0000000004;   24.00;-2.20999e-08
0000000001;00:00:00;0000000004;   24.10;-2.20999e-08
0000000001;00:00:00;0000000004;   24.20;-2.20999e-08
0000000001;00:00:00;0000000004;   24.30;-3.31499e-08
0000000001;00:00:00;0000000004;   24.40;-2.20999e-08
0000000001;00:00:00;0000000004;   24.50;-3.31499e-08
0000000001;00:00:00;0000000004;   24.60;-2.20999e-08
0000000001;00:00:00;0000000004;   24.70;-3.31499e-08
0000000001;00:00:00;0000000004;   24.80;-2.20999e-08
0000000001;00:00:00;0000000004;   24.90;-2.20999e-08
0000000001;00:00:00;0000000004;   25.00;-3.31499e-08
0000000001;00:00:00;0000000004;   25.10;-2.20999e-08
0000000001;00:00:00;0000000004;   25.20;-2.20999e-08
0000000001;00:00:00;0000000004;   25.30;-2.20999e-08
0000000001;00:00:00;0000000004;   25.40;-3.31499e-08
0000000001;00:00:00;0000000004;   25.50;-3.31499e-08
0000000001;00:00:00;0000000004;   25.60;-3.31499e-08
0000000001;00:00:00;0000000004;   25.70;-2.20999e-08
0000000001;00:00:00;0000000004;   25.80;-2.20999e-08
0000000001;00:00:00;0000000004;   25.90;-2.20999e-08
0000000001;00:00:00;0000000004;   26.00;-2.20999e-08
0000000001;00:00:00;0000000004;   26.10;-3.31499e-08
0000000001;00:00:00;0000000004;   26.20;-2.20999e-08
0000000001;00:00:00;0000000004;   26.30;-2.20999e-08
0000000001;00:00:00;0000000004;   26.40;-2.20999e-08
0000000001;00:00:00;0000000004;   26.50;-2.20999e-08
0000000001;00:00:00;0000000004;   26.60;-2.20999e-08
0000000001;00:00:00;0000000004;   26.70;-3.31499e-08
0000000001;00:00:00;0000000004;   26.80;-2.20999e-08
0000000001;00:00:00;0000000004;   26.90;-2.20999e-08
0000000001;00:00:00;0000000004;   27.00;-2.20999e-08
0000000001;00:00:00;0000000004;   27.10;-3.31499e-08
0000000001;00:00:00;0000000004;   27.20;-2.20999e-08
0000000001;00:00:00;0000000004;   27.30;-2.20999e-08
0000000001;00:00:00;0000000004;   27.40;-2.20999e-08
0000000001;00:00:00;0000000004;   27.50;-2.20999e-08
0000000001;00:00:00;0000000004;   27.60; 0.00000e+00
0000000001;00:00:00;0000000004;   27.70; 2.20999e-08
0000000001;00:00:00;0000000004;   27.80; 2.09949e-07
0000000001;00:00:00;0000000004;   27.90; 9.83440e-07
0000000001;00:00:00;0000000004;   28.00; 1.73484e-06
0000000001;00:00:00;0000000004;   28.10; 2.30944e-06
0000000001;00:00:00;0000000004;   28.20; 2.48624e-06
0000000001;00:00:00;0000000004;   28.30; 8.39799e-07
0000000001;00:00:00;0000000004;   28.40;-3.31499e-08
0000000001;00:00:00;0000000004;   28.50;-2.20999e-08
0000000001;00:00:00;0000000004;   28.60;-2.20999e-08
0000000001;00:00:00;0000000004;   28.70;-2.20999e-08
0000000001;00:00:00;0000000004;   28.80;-1.10499e-08
0000000001;00:00:00;0000000004;   28.90;-1.10499e-08
0000000001;00:00:00;0000000004;   29.00;-1.10499e-08
0000000001;00:00:00;0000000004;   29.10; 0.00000e+00
0000000001;00:00:00;0000000004;   29.20; 0.00000e+00
0000000001;00:00:00;0000000004;   29.30;-1.10499e-08
0000000001;00:00:00;0000000004;   29.40;-2.20999e-08
0000000001;00:00:00;0000000004;   29.50;-3.31499e-08
0000000001;00:00:00;0000000004;   29.60;-2.20999e-08
0000000001;00:00:00;0000000004;   29.70;-2.20999e-08
0000000001;00:00:00;0000000004;   29.80;-2.20999e-08
0000000001;00:00:00;0000000004;   29.90;-2.20999e-08
0000000001;00:00:00;0000000004;   30.00;-2.20999e-08
0000000001;00:00:00;0000000004;   30.10;-1.10499e-08
0000000001;00:00:00;0000000004;   30.20;-2.20999e-08
0000000001;00:00:00;0000000004;   30.30;-2.20999e-08
0000000001;00:00:00;0000000004;   30.40;-2.20999e-08
0000000001;00:00:00;0000000004;   30.50;-3.31499e-08
0000000001;00:00:00;0000000004;   30.60;-2.20999e-08
0000000001;00:00:00;0000000004;   30.70;-2.20999e-08
0000000001;00:00:00;0000000004;   30.80;-2.20999e-08
0000000001;00:00:00;0000000004;   30.90;-2.20999e-08
0000000001;00:00:00;0000000004;   31.00;-2.20999e-08
0000000001;00:00:00;0000000004;   31.10;-2.20999e-08
0000000001;00:00:00;0000000004;   31.20;-2.20999e-08
0000000001;00:00:00;0000000004;   31.30;-2.20999e-08
0000000001;00:00:00;0000000004;   31.40;-2.20999e-08
0000000001;00:00:00;0000000004;   31.50;-3.31499e-08
0000000001;00:00:00;0000000004;   31.60;-2.20999e-08
0000000001;00:00:00;0000000004;   31.70;-1.10499e-08
0000000001;00:00:00;0000000004;   31.80; 2.20999e-08
0000000001;00:00:00;0000000004;   31.90; 8.83990e-08
0000000001;00:00:00;0000000004;   32.00; 1.43649e-07
0000000001;00:00:00;0000000004;   32.10; 1.65749e-07
0000000001;00:00:00;0000000004;   32.20; 1.87849e-07
0000000001;00:00:00;0000000004;   32.30; 1.10499e-08
0000000001;00:00:00;0000000004;   32.40;-2.20999e-08
0000000001;00:00:00;0000000004;   32.50;-3.31499e-08
0000000001;00:00:00;0000000004;   32.60;-3.31499e-08
0000000001;00:00:00;0000000004;   32.70;-2.20999e-08
0000000001;00:00:00;0000000004;   32.80;-3.31499e-08
0000000001;00:00:00;0000000004;   32.90;-3.31499e-08
0000000001;00:00:00;0000000004;   33.00;-2.20999e-08
0000000001;00:00:00;0000000004;   33.10;-3.31499e-08
0000000001;00:00:00;0000000004;   33.20;-3.31499e-08
0000000001;00:00:00;0000000004;   33.30;-3.31499e-08
0000000001;00:00:00;0000000004;   33.40;-2.20999e-08
0000000001;00:00:00;0000000004;   33.50;-2.20999e-08
0000000001;00:00:00;0000000004;   33.60;-3.31499e-08
0000000001;00:00:00;0000000004;   33.70;-2.20999e-08
0000000001;00:00:00;0000000004;   33.80;-3.31499e-08
