amu,p,err,type
1.0,6.998263333333334e-09,3.3757816629683464e-09,Faraday
1.1,8.103263333333333e-09,4.465756082236616e-09,Faraday
1.2,8.839930000000001e-09,5.063706863820219e-09,Faraday
1.3,9.208263333333334e-09,3.880589753637111e-09,Faraday
1.4,3.6832999999999985e-10,4.183451035544697e-09,Faraday
1.5,3.6832999999999996e-10,3.375819851058406e-09,Faraday
1.6,3.6832999999999985e-10,4.183451035544697e-09,Faraday
1.7,-1.8416633333333333e-09,3.8806220248992726e-09,Faraday
1.8,-1.8416633333333333e-09,4.465792785176372e-09,Faraday
1.9,2.2099966666666667e-09,2.9235438597929967e-09,Faraday
2.0,1.5838233333333336e-08,6.085865454751144e-09,Faraday
2.1,3.057156666666666e-08,5.561711367316116e-09,Faraday
2.2,3.941156666666667e-08,3.3758307619508054e-09,Faraday
2.3,3.6464900000000004e-08,2.923555198726372e-09,Faraday
2.4,2.2099966666666667e-09,4.4199900000037704e-09,Faraday
2.5,-2.2099700000000004e-09,4.816522537443379e-09,Faraday
2.6,-3.6833666666666685e-10,3.552066623830884e-09,Faraday
2.7,3.6832999999999996e-10,6.379662739518446e-10,Faraday
2.8,-1.1049733333333337e-09,5.847048033327017e-09,Faraday
2.9,-1.8416333333333329e-09,6.6605670369296134e-09,Faraday
3.0,-1.105e-09,5.063736323121495e-09,Faraday
3.1,7.366633333333332e-10,3.5520666238308835e-09,Faraday
3.2,-7.366633333333332e-10,5.670408547903169e-09,Faraday
3.3,-3.6832999999999996e-10,5.103764832630908e-09,Faraday
3.4,-7.366700000000001e-10,3.1898486902672987e-09,Faraday
3.5,-7.366700000000001e-10,5.103764832630908e-09,Faraday
3.6,-1.4733299999999997e-09,4.982711366996889e-09,Faraday
3.7,-1.8416633333333333e-09,3.8806220248992726e-09,Faraday
3.8,0.0,2.2099899999999997e-09,Faraday
3.9,3.6832999999999985e-10,4.183451035544697e-09,Faraday
4.0,-2.946633333333333e-09,4.465747009564395e-09,Faraday
4.1,3.3333333332929968e-15,4.8165718618259334e-09,Faraday
4.2,-2.2099933333333334e-09,2.2099950000018856e-09,Faraday
4.3,-1.1049966666666667e-09,2.2099900000075415e-09,Faraday
4.4,3.6833333333333325e-10,4.982710997382181e-09,Faraday
4.5,-1.4733300000000001e-09,3.1898486902672983e-09,Faraday
4.6,2.578323333333333e-09,2.551888189818146e-09,Faraday
4.7,-1.1049700000000002e-09,6.152321249227807e-09,Faraday
4.8,7.366666666666667e-10,4.465794434748798e-09,Faraday
4.9,-3.6833666666666685e-10,3.552066623830884e-09,Faraday
5.0,-2.5783266666666664e-09,3.552074400970978e-09,Faraday
5.1,-2.2099966666666667e-09,3.98412583889281e-09,Faraday
5.2,-2.2099966666666667e-09,4.8165718618259334e-09,Faraday
5.3,-1.1049966666666667e-09,3.827820737721835e-09,Faraday
5.4,-1.8416633333333333e-09,3.1898544637699903e-09,Faraday
5.5,-3.683366666666667e-10,5.450824075324146e-09,Faraday
5.6,-1.105e-09,5.063736323121495e-09,Faraday
5.7,-7.366666666666667e-10,4.465794434748798e-09,Faraday
5.8,-1.1049966666666667e-09,4.4199900000037704e-09,Faraday
5.9,-3.6833666666666685e-10,4.465792785176372e-09,Faraday
6.0,1.1049733333333337e-09,5.8470480333270165e-09,Faraday
6.1,-1.84166e-09,2.3002369262099938e-09,Faraday
6.2,-2.578323333333333e-09,2.551888189818146e-09,Faraday
6.3,-1.1049733333333337e-09,5.741684918561217e-09,Faraday
6.4,-2.2099966666666667e-09,4.8165718618259334e-09,Faraday
6.5,3.6833666666666685e-10,3.5520666238308835e-09,Faraday
6.6,-1.1049966666666667e-09,3.3149900000050275e-09,Faraday
6.7,-1.8416633333333333e-09,4.46579525954038e-09,Faraday
6.8,7.366633333333334e-10,2.780845087402988e-09,Faraday
6.9,1.1049966666666665e-09,1.9139045953582255e-09,Faraday
7.0,0.0,2.2099899999999997e-09,Faraday
7.1,-3.6833000000000003e-09,4.465752783137463e-09,Faraday
7.2,-3.6832999999999996e-10,4.4657936099645275e-09,Faraday
7.3,7.366633333333332e-10,4.465792785176372e-09,Faraday
7.4,-7.366633333333332e-10,2.780845087402988e-09,Faraday
7.5,-2.2099666666666667e-09,5.063688315194107e-09,Faraday
7.6,-3.6833333333333325e-10,4.982710997382181e-09,Faraday
7.7,-7.366666666666667e-10,2.3002313217225206e-09,Faraday
7.8,-2.2099966666666667e-09,3.3149900000050275e-09,Faraday
7.9,-3.3149933333333337e-09,2.9235495292594815e-09,Faraday
8.0,1.1049966666666667e-09,3.3149900000050275e-09,Faraday
8.1,-2.5783266666666664e-09,3.552074400970978e-09,Faraday
8.2,0.0,3.31499e-09,Faraday
