amu,p,err,type
1.0,2.3094400000000002e-09,1.7323143890472076e-09,Faraday
1.1,3.701733333333334e-10,1.4692347628045468e-09,Faraday
1.2,-2.3943333333333316e-11,2.2759568491589053e-09,Faraday
1.3,1.0129129999999999e-09,3.032358126062949e-10,Faraday
1.4,-5.801223333333331e-10,2.0813939532295017e-09,Faraday
1.5,-2.0387223333333336e-09,3.7848122209219745e-09,Faraday
1.6,-1.2136553666666668e-09,2.202635708772516e-09,Faraday
1.7,-9.208296666666667e-12,1.15011502034811e-11,Faraday
1.8,-8.397969666666664e-10,1.4747446851901867e-09,Faraday
1.9,-1.690647033333333e-09,3.0336767712805696e-09,Faraday
2.0,8.508459999999999e-10,6.986615844255359e-10,Faraday
2.1,4.0516333333333337e-10,1.3080178621231948e-09,Faraday
2.2,-6.998666666666659e-11,2.8103042016182757e-09,Faraday
2.3,1.204443e-09,3.752070148291474e-10,Faraday
2.4,-3.867233333333339e-11,1.2105739773307262e-09,Faraday
2.5,-1.3794056666666667e-09,2.633224724076989e-09,Faraday
2.6,-1.0865800666666665e-09,1.9298675210643356e-09,Faraday
2.7,-2.854580366666666e-10,5.184179255208803e-10,Faraday
2.8,-5.248716666666666e-10,8.855295333504374e-10,Faraday
2.9,-7.716549999999999e-10,1.3414698386313087e-09,Faraday
3.0,-1.3315216366666663e-09,2.291950453703141e-09,Faraday
3.1,-1.2339132666666667e-09,2.0893819596153318e-09,Faraday
3.2,-9.263549699999999e-10,1.5901995692150415e-09,Faraday
3.3,-8.895216366666667e-10,1.5264048717329345e-09,Faraday
3.4,-6.556300366666667e-10,1.1547368180641651e-09,Faraday
3.5,-6.814136666666668e-11,1.3263775434884042e-10,Faraday
3.6,-7.035133333333332e-10,1.2092668338742872e-09,Faraday
3.7,-1.7330049999999998e-09,2.9969710484675203e-09,Faraday
3.8,-8.121716633333332e-10,1.4019405253878637e-09,Faraday
3.9,-5.709100333333333e-11,5.855750990129304e-11,Faraday
4.0,-1.2044467033333334e-09,2.114900399215399e-09,Faraday
4.1,-1.7164303e-09,3.0115463983480927e-09,Faraday
4.2,-1.3075800666666663e-09,2.3126692395442115e-09,Faraday
4.3,-1.5930384000000002e-09,2.8310072597952078e-09,Faraday
4.4,-2.0773967333333335e-09,3.6555907015042048e-09,Faraday
4.5,-1.2633799333333335e-09,2.15953673251024e-09,Faraday
4.6,-1.5709382666666668e-09,2.6587442271518905e-09,Faraday
4.7,-1.8214049333333333e-09,3.1117139818568643e-09,Faraday
4.8,-2.2192049633333333e-09,3.8198608825024375e-09,Faraday
4.9,-1.814038303333333e-09,3.118142596450896e-09,Faraday
5.0,-1.0773716366666667e-09,1.842240031999505e-09,Faraday
5.1,-1.3407296999999995e-09,2.2842618349370256e-09,Faraday
5.2,-2.3536466e-09,3.9905132658365725e-09,Faraday
5.3,-1.0921050366666668e-09,1.925124399635827e-09,Faraday
5.4,-1.5248966e-09,2.6029261015667866e-09,Faraday
5.5,-1.9963632666666667e-09,3.4386636200122867e-09,Faraday
5.6,-1.8361383633333335e-09,3.194669087971497e-09,Faraday
5.7,-1.0810549666666668e-09,1.8390503507416548e-09,Faraday
5.8,-1.3996633333333332e-09,2.4243887364887137e-09,Faraday
5.9,-9.245133033333332e-10,1.5917728652046391e-09,Faraday
6.0,-2.7164249999999995e-09,4.728975423720502e-09,Faraday
6.1,-1.8969132666666666e-09,3.237744851573546e-09,Faraday
6.2,-1.7219550333333332e-09,3.006469200302408e-09,Faraday
6.3,-1.3609883633333334e-09,2.3621002445406795e-09,Faraday
6.4,-1.3849299999999999e-09,2.43727289784505e-09,Faraday
6.5,-3.5341250299999997e-09,6.126074430366766e-09,Faraday
6.6,-1.36283e-09,2.3604972679955593e-09,Faraday
6.7,-8.711050299999999e-10,1.5424920092014425e-09,Faraday
6.8,-1.7808882666666664e-09,3.0511068565716444e-09,Faraday
6.9,-2.0276716666666665e-09,3.5072727555959832e-09,Faraday
7.0,-1.4364966666666667e-09,2.488140419538926e-09,Faraday
7.1,-5.414467033333333e-10,9.6658500998694e-10,Faraday
7.2,-1.2541716633333335e-09,2.167506021016966e-09,Faraday
7.3,-2.1860549333333333e-09,3.752874004069216e-09,Faraday
7.4,-1.5138466366666667e-09,2.6125131554581284e-09,Faraday
7.5,-5.248716366666667e-10,8.853916637717666e-10,Faraday
7.6,-2.808508333333333e-09,4.840732533477846e-09,Faraday
7.7,-2.4033716333333333e-09,4.1388609611501815e-09,Faraday
7.8,-8.784717033333333e-10,1.5359143832311106e-09,Faraday
7.9,-1.1694550666666666e-09,2.049481233000562e-09,Faraday
8.0,-2.8563915999999996e-09,4.894783636347899e-09,Faraday
8.1,-1.9411129966666667e-09,3.2952868839530315e-09,Faraday
8.2,-6.243216666666667e-10,1.0864261572632736e-09,Faraday
8.3,-1.0110715999999998e-09,1.7081666750935544e-09,Faraday
8.4,-1.2854800333333333e-09,2.2360930495055437e-09,Faraday
8.5,-1.3849299333333333e-09,2.341455996929262e-09,Faraday
8.6,-1.808513333333333e-09,3.1229455960660507e-09,Faraday
8.7,-1.8214053333333335e-09,3.207542346898219e-09,Faraday
8.8,-1.909805033333333e-09,3.3222439714275955e-09,Faraday
8.9,-2.1013383333333335e-09,3.634966984558573e-09,Faraday
9.0,-1.77352163e-09,3.0574765436280075e-09,Faraday
9.1,-2.4530966000000003e-09,4.1914852015750545e-09,Faraday
9.2,-1.4917463366666664e-09,2.5361500552821436e-09,Faraday
9.3,-2.040563266666666e-09,3.4960811042831943e-09,Faraday
9.4,-1.2854800000000002e-09,2.236195460073875e-09,Faraday
9.5,-2.2210466e-09,3.818256988247736e-09,Faraday
9.6,-2.600399933333333e-09,4.4466074934662276e-09,Faraday
9.7,-1.1252550666666667e-09,1.9920791259514527e-09,Faraday
9.8,-8.821549999999999e-10,1.532923704674342e-09,Faraday
9.9,-1.4125549633333332e-09,2.4131630579150267e-09,Faraday
10.0,-2.208155003333333e-09,3.829422434870329e-09,Faraday
10.1,-1.1178882966666667e-09,1.9027960229635236e-09,Faraday
10.2,-1.8471883033333331e-09,3.185099648934086e-09,Faraday
10.3,-2.736683303333333e-09,4.711417694026617e-09,Faraday
10.4,-1.5488383300000002e-09,2.6778833234649092e-09,Faraday
10.5,-1.788254933333333e-09,3.0447772879388897e-09,Faraday
10.6,-1.4641217e-09,2.5598943023069667e-09,Faraday
10.7,-1.2615383333333333e-09,2.1615217610796438e-09,Faraday
10.8,-2.8766499999999996e-09,4.973376303305029e-09,Faraday
10.9,-1.4678046333333333e-09,2.4611593132410796e-09,Faraday
11.0,-9.263549999999998e-10,1.5908328858439247e-09,Faraday
11.1,-1.44017997e-09,2.4849199458892942e-09,Faraday
11.2,-2.346280036666667e-09,4.0925997965433235e-09,Faraday
11.3,-1.5598882666666667e-09,2.66832524273532e-09,Faraday
11.4,-1.4880632666666669e-09,2.5391290441509672e-09,Faraday
11.5,-1.8250882666666665e-09,3.1085241329445234e-09,Faraday
11.6,-2.6353916000000004e-09,4.5120072394344816e-09,Faraday
11.7,-1.65933833e-09,2.8692748426556257e-09,Faraday
11.8,-1.9392716e-09,3.2967715528347075e-09,Faraday
11.9,-1.3296799999999997e-09,2.293563628806711e-09,Faraday
12.0,-1.7348466333333333e-09,2.995278113700463e-09,Faraday
12.1,-6.003800666666666e-10,1.1069308260970976e-09,Faraday
12.2,-1.5101630333333334e-10,2.5224055701662455e-10,Faraday
12.3,-7.440299633333332e-10,1.2695706545740385e-09,Faraday
