amu,p,err,type
1.0,4.898793333333333e-09,2.7119006657754505e-09,Faraday
1.1,1.510160333333333e-09,1.7130407495270896e-09,Faraday
1.2,3.462323333333333e-09,1.3991819336073967e-09,Faraday
1.3,2.6888263333333332e-09,2.8651945572439464e-09,Faraday
1.4,1.3996603333333333e-09,1.6025619351651695e-09,Faraday
1.5,-2.283663333333333e-09,3.220326778470367e-09,Faraday
1.6,-1.36283e-09,2.5205836401119482e-09,Faraday
1.7,-1.5101633333333336e-09,3.1358019006521017e-09,Faraday
1.8,1.289164e-09,2.6180120530102604e-09,Faraday
1.9,-1.0313269999999999e-09,1.3503263037899394e-09,Faraday
2.0,8.839999999999998e-10,4.050987094536342e-09,Faraday
2.1,4.1253233333333324e-09,8.293636616908972e-10,Faraday
2.2,5.1198233333333335e-09,1.5640076992564111e-09,Faraday
2.3,3.0571596666666666e-09,2.5446962582713745e-09,Faraday
2.4,-2.9098299999999997e-09,4.923545763654481e-09,Faraday
2.5,-7.366699999999995e-11,3.5227281817175446e-09,Faraday
2.6,-1.4733299999999997e-09,2.7432739701314922e-09,Faraday
2.7,-2.6519899999999996e-09,6.152379620927175e-10,Faraday
2.8,7.366699999999995e-11,1.6733755277184493e-09,Faraday
2.9,-2.025827e-09,2.520588835015937e-09,Faraday
3.0,-1.5838263333333332e-09,1.0732312406281942e-09,Faraday
3.1,-1.0313269999999999e-09,1.5679004100091944e-09,Faraday
3.2,-1.4733330000000003e-09,2.9574570890829507e-09,Faraday
3.3,6.629996666666667e-10,4.043444622670172e-09,Faraday
3.4,4.7883e-10,2.804890098880881e-09,Faraday
3.5,-3.5359899999999995e-09,1.4107695594958094e-09,Faraday
3.6,-1.2154966666666667e-09,2.156863706897896e-09,Faraday
3.7,5.525003333333332e-10,3.0079457574232173e-09,Faraday
3.8,-1.6206603333333332e-09,2.436848147513573e-09,Faraday
3.9,-3.1308233333333334e-09,1.4421555336832895e-09,Faraday
4.0,-2.0626596666666664e-09,1.6550376153913643e-09,Faraday
4.1,3.6832999999999985e-10,3.0004924740448854e-09,Faraday
4.2,-2.173163333333333e-09,3.315602945187094e-09,Faraday
4.3,-3.5359936666666668e-09,3.6179198777806473e-09,Faraday
4.4,-9.208299999999999e-10,1.2902128517035474e-09,Faraday
4.5,-6.261633333333332e-10,1.1068342775837461e-09,Faraday
4.6,-2.1363263333333333e-09,1.8368679414591383e-09,Faraday
4.7,-2.83616e-09,2.4617728818272414e-09,Faraday
4.8,5.525003333333334e-10,2.362210441853209e-09,Faraday
4.9,-1.0313269999999999e-09,1.4920855795519904e-09,Faraday
5.0,-2.7624929999999998e-09,2.488086388477498e-09,Faraday
5.1,-2.836156666666666e-09,8.931608664363508e-10,Faraday
5.2,-3.68333e-10,2.4716686565490524e-09,Faraday
5.3,-1.5101603333333337e-09,2.210915235494191e-09,Faraday
5.4,-1.988993e-09,1.754129717559964e-09,Faraday
5.5,-4.4199929999999995e-09,3.6963809272079898e-09,Faraday
5.6,2.0258233333333332e-09,1.2321286796975928e-09,Faraday
5.7,-8.471670000000001e-10,3.1532765078196045e-09,Faraday
5.8,-2.4678233333333336e-09,1.734298585403717e-09,Faraday
5.9,-1.7311633333333331e-09,5.160863625415162e-09,Faraday
6.0,-1.6206603333333332e-09,2.2654690381994486e-09,Faraday
6.1,-1.8784966666666664e-09,3.5925133931738275e-09,Faraday
6.2,-2.9466633333333335e-09,4.364856517702883e-09,Faraday
6.3,-1.473333333333333e-09,3.86327874394708e-09,Faraday
