amu,p,err,type
1.0,9.208263333333334e-09,3.5520453665505644e-09,Faraday
1.1,8.103263333333333e-09,3.8805897536371116e-09,Faraday
1.2,5.8932933333333325e-09,3.8805854823767685e-09,Faraday
1.3,8.471596666666666e-09,1.687866282035794e-09,Faraday
1.4,2.2099933333333334e-09,2.2099950000018856e-09,Faraday
1.5,-3.6832999999999985e-10,3.375819851058406e-09,Faraday
1.6,-7.366633333333332e-10,1.275938321406381e-09,Faraday
1.7,-3.6833666666666654e-10,5.67040854790317e-09,Faraday
1.8,7.366633333333334e-10,3.880622024899273e-09,Faraday
1.9,1.105e-09,2.92354574961638e-09,Faraday
2.0,4.419963333333333e-09,4.419950000060333e-09,Faraday
2.1,9.208293333333334e-09,4.4657523706575286e-09,Faraday
2.2,1.4733233333333334e-08,1.2759440949090728e-09,Faraday
2.3,1.32599e-08,1.913916142363611e-09,Faraday
2.4,-1.8416633333333333e-09,2.551876642812762e-09,Faraday
2.5,-1.4733300000000001e-09,5.103764832630908e-09,Faraday
2.6,-3.6833333333333325e-10,1.6879055611713983e-09,Faraday
2.7,-7.366666666666668e-10,3.3758209421462703e-09,Faraday
2.8,-1.1049966666666665e-09,2.2099900000075415e-09,Faraday
2.9,0.0,0.0,Faraday
3.0,-2.5783266666666664e-09,2.7808510477969387e-09,Faraday
3.1,-1.1049966666666667e-09,2.9235438597929962e-09,Faraday
3.2,-1.4733300000000001e-09,2.300229720440983e-09,Faraday
3.3,1.4733266666666664e-09,1.687911016621828e-09,Faraday
3.4,1.1049933333333332e-09,1.1049950000037706e-09,Faraday
3.5,-2.578323333333333e-09,2.551888189818146e-09,Faraday
3.6,-3.6832999999999985e-10,3.1898486902672983e-09,Faraday
3.7,-3.683366666666667e-10,2.551876642812762e-09,Faraday
3.8,-1.4733300000000001e-09,2.780846411940077e-09,Faraday
3.9,-1.4733300000000001e-09,2.551882416315454e-09,Faraday
4.0,-1.4733300000000001e-09,2.300229720440983e-09,Faraday
4.1,1.1049966666666667e-09,1.9139103688609176e-09,Faraday
4.2,7.366633333333332e-10,1.6879044700851208e-09,Faraday
4.3,-3.683366666666667e-10,4.6004706498502225e-09,Faraday
4.4,3.683333333333334e-10,2.780845749665618e-09,Faraday
4.5,1.4733233333333331e-09,6.379720474545364e-10,Faraday
4.6,1.1049966666666667e-09,1.9139103688609176e-09,Faraday
4.7,-1.4733266666666664e-09,1.275938321406381e-09,Faraday
4.8,-1.4733299999999997e-09,4.465793609964527e-09,Faraday
4.9,0.0,1.10499e-09,Faraday
5.0,-1.8416633333333333e-09,2.551876642812762e-09,Faraday
5.1,3.6832999999999985e-10,4.183451035544697e-09,Faraday
5.2,-1.1049966666666667e-09,1.9139103688609176e-09,Faraday
5.3,-1.1049933333333332e-09,1.1049950000037706e-09,Faraday
5.4,-7.366666666666667e-10,2.30023132172252e-09,Faraday
5.5,-2.946656666666666e-09,2.300240929410077e-09,Faraday
5.6,-2.578323333333333e-09,1.6879153809754012e-09,Faraday
5.7,-2.578323333333333e-09,2.551888189818146e-09,Faraday
5.8,-1.1049966666666667e-09,2.2099900000075415e-09,Faraday
5.9,-1.1049966666666667e-09,2.9235438597929962e-09,Faraday
6.0,-2.5783266666666664e-09,2.780851047796939e-09,Faraday
6.1,-3.6832999999999996e-10,6.379662739518446e-10,Faraday
6.2,-1.1049933333333332e-09,1.1049950000037706e-09,Faraday
6.3,-1.1049966666666665e-09,4.8165718618259334e-09,Faraday
6.4,7.366666666666667e-10,2.3002313217225206e-09,Faraday
6.5,-1.4733300000000001e-09,2.780846411940077e-09,Faraday
6.6,-2.578323333333333e-09,6.379720474545367e-10,Faraday
6.7,-2.5783300000000005e-09,4.183451035544698e-09,Faraday
6.8,1.1049966666666665e-09,1.9139045953582255e-09,Faraday
6.9,-7.366633333333332e-10,2.551876642812762e-09,Faraday
7.0,-2.20999e-09,1.105e-09,Faraday
7.1,-1.1049966666666667e-09,3.3149900000050275e-09,Faraday
7.2,-3.3333333332929968e-15,1.9139045953582255e-09,Faraday
7.3,-1.1049933333333332e-09,1.1049950000037706e-09,Faraday
7.4,-2.578323333333333e-09,6.379720474545366e-10,Faraday
7.5,-1.4733333333333334e-09,3.5520686977356354e-09,Faraday
7.6,1.4733300000000001e-09,2.551882416315454e-09,Faraday
7.7,-2.578323333333333e-09,1.6879153809754012e-09,Faraday
7.8,-2.2099933333333334e-09,2.2099950000018856e-09,Faraday
7.9,-3.6832999999999985e-10,3.1898486902672983e-09,Faraday
8.0,-3.6832999999999996e-10,2.300229720440982e-09,Faraday
8.1,-2.2099899999999997e-09,0.0,Faraday
8.2,-3.3149966666666665e-09,4.816571861825933e-09,Faraday
8.3,-2.9466600000000002e-09,2.7808503855295775e-09,Faraday
8.4,3.683333333333334e-10,2.780845749665618e-09,Faraday
8.5,-4.051656666666666e-09,1.275944094909073e-09,Faraday
8.6,-7.366633333333332e-10,4.600470649850223e-09,Faraday
8.7,1.8416566666666665e-09,1.275944094909073e-09,Faraday
8.8,-1.4733299999999997e-09,2.3002297204409824e-09,Faraday
8.9,-2.2099966666666667e-09,2.9235438597929962e-09,Faraday
9.0,-2.2099966666666667e-09,3.3149900000050275e-09,Faraday
9.1,-1.84166e-09,2.3002369262099938e-09,Faraday
9.2,-1.8416566666666665e-09,1.275944094909073e-09,Faraday
9.3,-1.1049966666666665e-09,2.2099900000075415e-09,Faraday
9.4,-2.2099933333333334e-09,2.2099950000018856e-09,Faraday
9.5,3.6832999999999996e-10,6.379662739518446e-10,Faraday
9.6,-1.8416566666666665e-09,6.379720474545364e-10,Faraday
9.7,-2.2099966666666667e-09,2.9235438597929962e-09,Faraday
9.8,-1.4733266666666664e-09,1.6879110166218279e-09,Faraday
9.9,-1.4733266666666664e-09,1.275938321406381e-09,Faraday
10.0,-1.8416566666666665e-09,1.275944094909073e-09,Faraday
10.1,-7.366666666666667e-10,2.3002313217225206e-09,Faraday
10.2,7.366633333333332e-10,1.6879044700851208e-09,Faraday
10.3,-1.8416566666666665e-09,6.379720474545364e-10,Faraday
10.4,-1.4733266666666664e-09,1.687911016621828e-09,Faraday
10.5,3.3333333332929968e-15,4.8165718618259334e-09,Faraday
10.6,7.366633333333332e-10,1.275938321406381e-09,Faraday
10.7,-7.366633333333332e-10,1.275938321406381e-09,Faraday
10.8,-3.6833233333333333e-09,6.379720474545365e-10,Faraday
10.9,7.366666666666667e-10,2.3002313217225206e-09,Faraday
11.0,3.6832999999999996e-10,2.300229720440982e-09,Faraday
11.1,-2.946656666666667e-09,6.379720474545367e-10,Faraday
11.2,-3.6833233333333333e-09,1.2759440949090732e-09,Faraday
11.3,0.0,3.31499e-09,Faraday
11.4,-1.1049966666666665e-09,1.9139045953582255e-09,Faraday
11.5,-3.6833233333333333e-09,1.2759440949090732e-09,Faraday
11.6,-7.366633333333332e-10,1.275938321406381e-09,Faraday
11.7,-1.4733300000000001e-09,2.780846411940077e-09,Faraday
