amu,p,err,type
1.0,2.1795133333333333e-09,1.9404534105804586e-09,Faraday
1.1,1.2429333333333335e-09,2.708141477717392e-10,Faraday
1.2,2.248296666666667e-09,1.8824236356711346e-09,Faraday
1.3,1.7115433333333336e-09,1.1973748563141507e-09,Faraday
1.4,-1.726533333333333e-10,1.0021942475709653e-09,Faraday
1.5,-4.4319410000000006e-10,8.603153820524948e-10,Faraday
1.6,-3.824187e-10,6.257987750101385e-10,Faraday
1.7,5.753333333333334e-10,1.0332704634133038e-09,Faraday
1.8,-4.8895866666666666e-11,5.4194481856765946e-11,Faraday
1.9,-1.2147599999999998e-09,2.1062185292245935e-09,Faraday
2.0,4.6078100000000004e-10,4.662564045318841e-10,Faraday
2.1,1.274245333333333e-09,1.387015132108274e-09,Faraday
2.2,8.357443333333334e-10,4.2627331053014954e-10,Faraday
2.3,2.0350399999999998e-10,4.6334471627396375e-10,Faraday
2.4,4.874853333333333e-10,5.353914805983872e-10,Faraday
2.5,1.2388854666666666e-09,2.0852049560894614e-09,Faraday
2.6,5.287392333333333e-10,9.776283612981485e-10,Faraday
2.7,-6.627203e-10,1.052899848181141e-09,Faraday
2.8,-5.2486866666666665e-11,6.256867008857815e-11,Faraday
2.9,-4.5415162999999995e-10,7.551815265331042e-10,Faraday
3.0,4.756071133333334e-10,8.321722025681191e-10,Faraday
3.1,3.658437666666666e-10,6.405652683356656e-10,Faraday
3.2,-2.833400333333333e-10,4.248299630042863e-10,Faraday
3.3,6.450404666666667e-10,1.1638946421556047e-09,Faraday
3.4,-5.7321508e-10,9.394790852333325e-10,Faraday
3.5,-4.502838666666666e-10,7.607059064937338e-10,Faraday
3.6,1.6814413333333334e-10,3.362743651458632e-10,Faraday
3.7,3.1823673333333334e-10,5.857035860680753e-10,Faraday
3.8,8.739596333333332e-10,1.5398202158096324e-09,Faraday
3.9,-1.2959774633333333e-09,2.2270001344896185e-09,Faraday
4.0,-3.204493e-10,4.885484503995176e-10,Faraday
4.1,7.221144666666665e-10,1.2891265876745593e-09,Faraday
4.2,2.686989e-10,5.331147240947018e-10,Faraday
4.3,9.917344666666668e-11,2.0236510567524863e-10,Faraday
