amu,p,err,type
1.0,5.524989999999999e-09,1.1049999999999996e-09,Faraday
1.1,5.1566266666666665e-09,5.2219754821363655e-09,Faraday
1.2,8.471596666666668e-09,1.6878662820357941e-09,Faraday
1.3,6.261626666666667e-09,1.6878761020979397e-09,Faraday
1.4,-3.6832999999999996e-10,1.2759325479036891e-09,Faraday
1.5,3.6832999999999996e-10,6.379662739518446e-10,Faraday
1.6,-7.366599999999999e-10,6.379662739518446e-10,Faraday
1.7,0.0,2.2099899999999997e-09,Faraday
1.8,0.0,1.10499e-09,Faraday
1.9,2.20999e-09,1.9139161423636096e-09,Faraday
2.0,9.208263333333334e-09,5.1037244181120646e-09,Faraday
2.1,1.32599e-08,3.984134159387708e-09,Faraday
2.2,1.5838263333333336e-08,1.2419940893016896e-08,Faraday
2.3,1.4364933333333332e-08,1.2550330214912011e-08,Faraday
2.4,2.946656666666666e-09,1.2759440949090732e-09,Faraday
2.5,2.5783299999999997e-09,4.465793609964527e-09,Faraday
2.6,1.84166e-09,1.687909925529203e-09,Faraday
2.7,7.366633333333332e-10,2.551876642812762e-09,Faraday
2.8,7.366599999999999e-10,6.379662739518446e-10,Faraday
2.9,2.2099933333333334e-09,2.9235514190849e-09,Faraday
3.0,1.105e-09,3.984124452134998e-09,Faraday
3.1,3.6832999999999996e-10,1.2759325479036891e-09,Faraday
3.2,0.0,2.2099899999999997e-09,Faraday
3.3,2.946656666666667e-09,6.379720474545365e-10,Faraday
3.4,1.84166e-09,1.6879099255292033e-09,Faraday
3.5,1.1049933333333332e-09,1.1049950000037706e-09,Faraday
3.6,7.366633333333332e-10,4.600470649850223e-09,Faraday
3.7,3.6832999999999996e-10,6.379662739518446e-10,Faraday
3.8,7.366666666666667e-10,2.3002313217225206e-09,Faraday
3.9,1.1049966666666667e-09,2.2099900000075415e-09,Faraday
4.0,2.2099966666666667e-09,3.98412306538507e-09,Faraday
4.1,3.6833666666666685e-10,3.5520666238308835e-09,Faraday
4.2,0.0,1.10499e-09,Faraday
4.3,-1.84166e-09,2.3002369262099938e-09,Faraday
4.4,0.0,2.2099899999999997e-09,Faraday
4.5,3.683333333333334e-10,2.780845749665618e-09,Faraday
4.6,1.4733299999999997e-09,2.3002297204409824e-09,Faraday
4.7,-1.4733299999999997e-09,4.982711366996889e-09,Faraday
4.8,1.4733333333333334e-09,3.552068697735635e-09,Faraday
4.9,3.6832999999999985e-10,3.1898486902672983e-09,Faraday
5.0,-2.20999e-09,1.1050000000000002e-09,Faraday
5.1,-3.33333333343086e-15,3.98412306538507e-09,Faraday
5.2,3.6832999999999996e-10,2.300229720440982e-09,Faraday
5.3,-3.683333333333334e-10,2.780845749665618e-09,Faraday
5.4,-2.9466599999999994e-09,3.3758263975951134e-09,Faraday
5.5,-3.6832999999999996e-10,4.4657936099645275e-09,Faraday
5.6,1.4733266666666664e-09,1.275938321406381e-09,Faraday
5.7,-1.1049966666666667e-09,1.9139103688609176e-09,Faraday
5.8,-2.5783299999999997e-09,3.880622974059705e-09,Faraday
5.9,3.683333333333334e-10,2.780845749665618e-09,Faraday
6.0,-3.6832999999999996e-10,1.2759325479036891e-09,Faraday
6.1,-3.683333333333334e-10,2.780845749665618e-09,Faraday
6.2,-2.2099966666666667e-09,3.98412583889281e-09,Faraday
6.3,-1.4733333333333334e-09,4.600472251131761e-09,Faraday
6.4,7.366666666666668e-10,3.3758209421462707e-09,Faraday
6.5,-1.1049966666666667e-09,1.9139103688609176e-09,Faraday
6.6,-1.4733300000000001e-09,2.551882416315454e-09,Faraday
6.7,-1.1049966666666667e-09,3.3149900000050275e-09,Faraday
6.8,-7.366599999999999e-10,6.379662739518446e-10,Faraday
6.9,0.0,2.2099899999999997e-09,Faraday
7.0,-2.9466600000000002e-09,2.7808503855295775e-09,Faraday
7.1,-2.2099966666666667e-09,2.9235438597929962e-09,Faraday
7.2,-1.4733266666666664e-09,1.687911016621828e-09,Faraday
7.3,-3.6832933333333337e-09,3.5520267011993784e-09,Faraday
