amu,p,err,type
1.0,5.442400000000004e-11,1.195571904475427e-09,Faraday
1.1,-5.798666666666677e-12,1.2409153139357792e-09,Faraday
1.2,-7.673276666666667e-10,2.6860433271048204e-09,Faraday
1.3,-4.708193333333332e-10,1.9846813954976078e-09,Faraday
1.4,7.351893333333334e-10,8.012153268786945e-10,Faraday
1.5,5.200829666666667e-10,7.937825237647295e-10,Faraday
1.6,3.47887467e-10,5.605382065248214e-10,Faraday
1.7,2.7569709999999994e-10,4.313965613235344e-10,Faraday
1.8,1.3293116666666667e-09,2.2940543314378674e-09,Faraday
1.9,7.263497e-10,1.1905089401797324e-09,Faraday
2.0,-1.35544e-10,8.437545855205766e-10,Faraday
2.1,1.1410926666666666e-09,7.352611242309315e-10,Faraday
2.2,1.7611786666666668e-09,1.538425292234021e-09,Faraday
2.3,2.2895559999999997e-09,2.708393989524419e-09,Faraday
2.4,6.295699999999999e-10,6.12256036002096e-10,Faraday
2.5,2.679592e-11,4.858094934950531e-11,Faraday
2.6,4.7855375e-10,8.296128691647237e-10,Faraday
2.7,1.6878844666666665e-09,2.9407929582062474e-09,Faraday
2.8,-6.3739747e-10,1.07503919681089e-09,Faraday
2.9,-2.641867333333333e-10,4.420391712906711e-10,Faraday
3.0,5.968808000000001e-10,1.0142735585382873e-09,Faraday
3.1,1.3814307666666664e-09,2.3443879412243195e-09,Faraday
3.2,4.2588239999999997e-10,7.821575629533221e-10,Faraday
3.3,7.572899333333333e-10,1.2580989400659247e-09,Faraday
3.4,9.919179966666665e-10,1.6297651205811926e-09,Faraday
3.5,8.897057999999998e-10,1.5262069119666965e-09,Faraday
3.6,-6.127191000000001e-10,1.0006010721019992e-09,Faraday
3.7,-5.5719258e-10,8.592353402359038e-10,Faraday
3.8,6.9541003e-10,1.2160095902366285e-09,Faraday
3.9,4.989041e-10,8.122100646373265e-10,Faraday
4.0,3.6685632999999995e-10,5.455243898695976e-10,Faraday
4.1,7.237719666666668e-11,1.2892618993300793e-10,Faraday
4.2,7.264423999999999e-10,1.382721089039319e-09,Faraday
4.3,1.2414641966666667e-09,2.1786241632116218e-09,Faraday
4.4,-7.053553666666665e-10,1.303406079346457e-09,Faraday
4.5,5.749649333333333e-10,9.37741800671967e-10,Faraday
4.6,1.3354815666666666e-09,2.38476206954387e-09,Faraday
4.7,1.116971e-10,2.888984975709116e-10,Faraday
4.8,-8.054499333333333e-10,1.5040526671427477e-09,Faraday
4.9,1.1510346666666669e-10,9.538924876448779e-11,Faraday
5.0,-2.3481213666666666e-10,3.7156339831455013e-10,Faraday
5.1,-7.408988666666665e-10,1.1787144650412386e-09,Faraday
5.2,7.163132503333333e-10,1.2939156343595582e-09,Faraday
5.3,7.021317333333332e-10,1.1147140464909433e-09,Faraday
5.4,-2.5442589999999995e-10,4.500532473347014e-10,Faraday
5.5,-5.046130333333334e-10,8.093142433725625e-10,Faraday
5.6,1.5156919999999998e-10,3.483792741781864e-10,Faraday
5.7,8.397045966666666e-10,1.4738841531115244e-09,Faraday
5.8,-2.854576666666667e-12,2.767095178166688e-12,Faraday
5.9,-2.6833046999999997e-10,4.380892121830594e-10,Faraday
6.0,-5.2671033333333326e-11,6.571052279812825e-11,Faraday
6.1,6.157578666666667e-10,9.979346535219747e-10,Faraday
6.2,4.0774130000000003e-10,6.048374516913366e-10,Faraday
6.3,7.179703666666665e-10,1.1964783700573207e-09,Faraday
6.4,3.692508333333333e-10,6.392150886777809e-10,Faraday
6.5,-1.9070393333333335e-10,3.1744204029714357e-10,Faraday
6.6,8.608836999999999e-10,1.4554647967459361e-09,Faraday
6.7,3.3462749999999994e-10,5.717226392342794e-10,Faraday
6.8,1.0902634e-09,1.926677673921009e-09,Faraday
6.9,-1.245880666666667e-10,1.0065577320061347e-10,Faraday
7.0,6.035108999999999e-10,1.104369161627655e-09,Faraday
7.1,6.086641633333333e-11,5.592240328670613e-11,Faraday
7.2,6.501016333333334e-11,5.657699240954784e-11,Faraday
7.3,1.4608987666666667e-09,2.5628366199554047e-09,Faraday
7.4,-4.975226000000001e-10,8.140692040294117e-10,Faraday
7.5,4.518495333333333e-10,7.570299801048327e-10,Faraday
7.6,1.08768467e-09,1.8334776654179311e-09,Faraday
7.7,-1.882179933333333e-10,3.1547708969085225e-10,Faraday
7.8,-5.025874333333334e-10,8.089060488687814e-10,Faraday
7.9,1.5827250300000002e-09,2.7442403618926136e-09,Faraday
8.0,1.4353916966666667e-09,2.4890525065642623e-09,Faraday
8.1,4.826975e-10,8.266845875519938e-10,Faraday
8.2,-1.5681754666666668e-10,2.47099840919962e-10,Faraday
8.3,1.5737929466666666e-09,2.7520258586155716e-09,Faraday
8.4,4.1225373666666666e-10,6.958107040575232e-10,Faraday
8.5,5.207279033333333e-10,8.88865907270158e-10,Faraday
8.6,6.028665999999999e-10,1.105024174416958e-09,Faraday
8.7,1.0766353366666667e-09,1.93889153120459e-09,Faraday
8.8,9.309590999999999e-10,1.586157699885219e-09,Faraday
8.9,2.262484e-10,3.7875248983143335e-10,Faraday
9.0,-4.171341366666667e-10,6.917068220796561e-10,Faraday
9.1,8.934815666666666e-10,1.619473045695779e-09,Faraday
9.2,5.685195033333334e-10,1.0391923761840155e-09,Faraday
9.3,1.0497433333333332e-11,9.128740685512615e-12,Faraday
9.4,8.876793333333334e-11,1.1467662032909471e-10,Faraday
9.5,2.21e-12,1.9981771618402607e-11,Faraday
9.6,8.186177999999999e-10,1.4929260717537623e-09,Faraday
9.7,1.9153296333333333e-10,3.1265457752587444e-10,Faraday
9.8,-7.710103999999998e-10,1.341970081939463e-09,Faraday
9.9,-8.264445533333332e-10,1.3899246073974567e-09,Faraday
10.0,1.5101663333333332e-11,8.922619205872249e-11,Faraday
10.1,-1.1096006666666669e-10,1.937309267859506e-10,Faraday
10.2,-1.8186426333333333e-10,3.211046359176492e-10,Faraday
10.3,2.6980133333333336e-11,7.24255427409649e-11,Faraday
10.4,3.6897493333333336e-10,7.341745427105283e-10,Faraday
10.5,4.6842462e-10,8.384553292627802e-10,Faraday
10.6,-4.656621e-10,8.409936052921153e-10,Faraday
10.7,3.5599076666666665e-10,5.529682181662915e-10,Faraday
10.8,6.298473333333334e-11,1.3697925886390004e-10,Faraday
10.9,-1.1299509333333334e-09,1.892985601739858e-09,Faraday
11.0,3.4171789999999994e-10,5.657989562442741e-10,Faraday
11.1,-3.7578872000000004e-10,6.317207049930698e-10,Faraday
11.2,3.282741e-10,6.73251394134561e-10,Faraday
11.3,-1.5782125800000002e-09,2.6527688619216167e-09,Faraday
11.4,-4.119774333333334e-10,6.95862788500724e-10,Faraday
11.5,1.07571413e-09,1.8435831097349922e-09,Faraday
11.6,1.0405383333333334e-09,1.778515096769168e-09,Faraday
11.7,2.407055666666666e-10,4.6147292976284456e-10,Faraday
11.8,7.815078666666665e-10,1.33279797416376e-09,Faraday
11.9,1.0205561999999999e-09,1.7000273504797473e-09,Faraday
12.0,3.5286006666666666e-10,6.515473109161017e-10,Faraday
12.1,-7.055391666666666e-10,1.2074471719644065e-09,Faraday
12.2,5.616129e-10,9.491559153143544e-10,Faraday
12.3,6.755199699999999e-10,1.1376722945089476e-09,Faraday
12.4,2.1888176666666668e-10,3.853930394500442e-10,Faraday
12.5,1.6630219666666667e-10,3.356644022499512e-10,Faraday
12.6,4.1667370000000006e-10,6.917955535103489e-10,Faraday
12.7,2.6768586666666664e-10,4.3805070319396046e-10,Faraday
12.8,-7.885062999999999e-10,1.4224723707774395e-09,Faraday
12.9,2.897859333333333e-10,5.155579197108151e-10,Faraday
13.0,-1.3711176333333334e-10,2.648625649181685e-10,Faraday
13.1,5.2303e-10,8.870507126314764e-10,Faraday
13.2,-1.277193e-10,2.7293051130826323e-10,Faraday
13.3,4.721996333333333e-10,7.395659535408612e-10,Faraday
13.4,-1.1666923333333335e-10,1.875763012598962e-10,Faraday
13.5,-1.8315339999999998e-10,3.2037405149607546e-10,Faraday
13.6,-1.9337466666666667e-10,3.1375910060561324e-10,Faraday
