amu,p,err,type
1.0,3.388656666666666e-08,4.982720976869298e-09,Faraday
1.1,3.20449e-08,5.8471103974527434e-09,Faraday
1.2,4.53049e-08,3.984134159387712e-09,Faraday
1.3,4.4936566666666666e-08,6.085865454751145e-09,Faraday
1.4,4.788293333333333e-09,3.880585482376768e-09,Faraday
1.5,5.893323333333334e-09,6.379720474545364e-10,Faraday
1.6,1.0313233333333333e-08,3.5520780302990722e-09,Faraday
1.7,1.8416566666666667e-08,5.561711367316117e-09,Faraday
1.8,5.267156666666667e-08,6.7516615239016e-09,Faraday
1.9,4.184256666666667e-07,4.443877173520137e-08,Faraday
2.0,1.3359366666666666e-06,1.40337362214534e-07,Faraday
2.1,2.54444e-06,2.6095157845853316e-07,Faraday
2.2,3.307993333333333e-06,3.473302667970838e-07,Faraday
2.3,3.0225366666666667e-06,2.8292793540640925e-07,Faraday
2.4,1.9411066666666664e-07,1.8302127153239137e-08,Faraday
2.5,2.9466366666666664e-09,6.0858046293841326e-09,Faraday
2.6,-4.05166e-09,3.552072327064864e-09,Faraday
2.7,-2.2099933333333334e-09,2.2099950000018856e-09,Faraday
2.8,1.4733266666666664e-09,1.275938321406381e-09,Faraday
2.9,-1.4733299999999997e-09,2.3002297204409824e-09,Faraday
3.0,7.366633333333332e-10,6.0858551658853444e-09,Faraday
3.1,4.7882933333333335e-09,2.551836228293919e-09,Faraday
3.2,6.261626666666667e-09,2.780813961061281e-09,Faraday
3.3,5.893293333333334e-09,4.465763505385539e-09,Faraday
3.4,-1.84166e-09,2.3002369262099938e-09,Faraday
3.5,7.366633333333332e-10,1.6879044700851208e-09,Faraday
3.6,-7.366700000000001e-10,3.1898486902672987e-09,Faraday
3.7,-3.6832999999999996e-10,5.222014981479851e-09,Faraday
3.8,-2.5783299999999997e-09,4.183451035544697e-09,Faraday
3.9,-1.4733300000000001e-09,2.780846411940077e-09,Faraday
4.0,-1.4733300000000001e-09,3.375819851058406e-09,Faraday
4.1,-7.366633333333332e-10,6.0858551658853444e-09,Faraday
4.2,3.33333333343086e-15,3.98412306538507e-09,Faraday
4.3,-2.578323333333333e-09,1.6879153809754012e-09,Faraday
4.4,-7.366700000000001e-10,4.183451035544697e-09,Faraday
4.5,-3.3149633333333336e-09,3.984080076132173e-09,Faraday
4.6,3.33333333343086e-15,2.9235438597929962e-09,Faraday
4.7,-1.4733299999999997e-09,2.3002297204409824e-09,Faraday
4.8,-3.6832999999999996e-10,2.300229720440982e-09,Faraday
4.9,-2.2099966666666667e-09,4.816571861825933e-09,Faraday
5.0,3.33333333343086e-15,4.816571861825933e-09,Faraday
5.1,-2.2099899999999997e-09,1.105e-09,Faraday
5.2,3.6832999999999996e-10,1.2759325479036891e-09,Faraday
5.3,-1.4733300000000001e-09,3.880622974059706e-09,Faraday
5.4,-2.5783299999999997e-09,4.183451035544697e-09,Faraday
5.5,-1.4733300000000001e-09,3.1898486902672983e-09,Faraday
5.6,3.6832999999999985e-10,3.1898486902672983e-09,Faraday
5.7,-7.366633333333334e-10,2.780845087402988e-09,Faraday
5.8,-2.5783299999999997e-09,4.465793609964527e-09,Faraday
5.9,-2.2099966666666667e-09,2.9235438597929967e-09,Faraday
6.0,0.0,1.10499e-09,Faraday
6.1,7.366666666666668e-10,3.3758209421462707e-09,Faraday
6.2,-2.2099966666666667e-09,3.3149900000050275e-09,Faraday
6.3,3.683333333333334e-10,3.880622499475224e-09,Faraday
6.4,0.0,4.41999e-09,Faraday
6.5,-2.2099966666666667e-09,5.847099058518962e-09,Faraday
6.6,3.683333333333334e-10,2.780845749665618e-09,Faraday
6.7,1.8416633333333333e-09,4.46579525954038e-09,Faraday
6.8,-2.66666666666197e-14,6.721389302371448e-09,Faraday
6.9,-3.6833266666666666e-09,3.1898544637699903e-09,Faraday
7.0,-1.8416333333333335e-09,5.561654412441799e-09,Faraday
7.1,1.8416633333333333e-09,2.7808450874029885e-09,Faraday
7.2,-1.1049966666666667e-09,4.8165718618259334e-09,Faraday
7.3,-7.366633333333334e-10,6.474697753573778e-09,Faraday
7.4,0.0,5.52499e-09,Faraday
7.5,3.33333333343086e-15,2.9235438597929962e-09,Faraday
7.6,-2.946633333333333e-09,5.670370548159383e-09,Faraday
7.7,-7.366633333333332e-10,4.600470649850223e-09,Faraday
7.8,3.683366666666667e-10,5.450824075324146e-09,Faraday
7.9,3.6833666666666685e-10,4.465792785176372e-09,Faraday
8.0,-1.4733300000000001e-09,7.017680974994517e-09,Faraday
8.1,-3.6832999999999996e-10,3.375819851058406e-09,Faraday
8.2,3.33333333343086e-15,3.98412306538507e-09,Faraday
8.3,1.1049733333333333e-09,6.721389302371447e-09,Faraday
8.4,-1.8416333333333335e-09,6.085811589544433e-09,Faraday
8.5,3.3333333332929968e-15,5.847099058518961e-09,Faraday
8.6,-3.6832999999999985e-10,4.183451035544697e-09,Faraday
8.7,3.683366666666667e-10,4.6004706498502225e-09,Faraday
8.8,-1.8416633333333333e-09,3.5520666238308835e-09,Faraday
8.9,3.6833333333333325e-10,4.982710997382181e-09,Faraday
9.0,-3.6832999999999996e-10,3.375819851058406e-09,Faraday
9.1,-1.1049966666666665e-09,5.063735232033103e-09,Faraday
9.2,3.3333333332929968e-15,6.1523688446104505e-09,Faraday
9.3,-3.6832999999999996e-10,3.375819851058406e-09,Faraday
9.4,1.4733333333333334e-09,4.600472251131761e-09,Faraday
9.5,-3.6832999999999996e-10,5.22201498147985e-09,Faraday
9.6,-1.4733299999999997e-09,4.465793609964527e-09,Faraday
9.7,-1.4733266666666664e-09,1.275938321406381e-09,Faraday
9.8,-2.66666666666197e-14,6.721389302371448e-09,Faraday
9.9,-7.366633333333334e-10,6.474697753573778e-09,Faraday
10.0,-3.33333333343086e-15,3.98412306538507e-09,Faraday
10.1,2.2099966666666667e-09,3.827820737721835e-09,Faraday
10.2,-3.6832999999999996e-10,6.283284838903931e-09,Faraday
10.3,3.683366666666667e-10,5.4508240753241465e-09,Faraday
10.4,-7.366633333333334e-10,3.8806220248992726e-09,Faraday
10.5,3.6833666666666685e-10,3.552066623830884e-09,Faraday
10.6,-7.366633333333332e-10,4.982710627774137e-09,Faraday
10.7,-7.366633333333334e-10,5.4508240753241465e-09,Faraday
10.8,2.2099733333333337e-09,5.741684918561217e-09,Faraday
10.9,-3.6832999999999985e-10,4.183451035544697e-09,Faraday
11.0,-1.1050266666666664e-09,7.655601060924826e-09,Faraday
11.1,0.0,6.62999e-09,Faraday
11.2,1.1049966666666667e-09,2.9235438597929962e-09,Faraday
11.3,3.3333333332929968e-15,5.063735232033103e-09,Faraday
11.4,3.3333333335687238e-15,3.827820737721835e-09,Faraday
11.5,3.683366666666667e-10,5.4508240753241465e-09,Faraday
11.6,3.683333333333334e-10,2.780845749665618e-09,Faraday
11.7,3.683333333333334e-10,3.880622499475224e-09,Faraday
11.8,-7.366633333333332e-10,4.600470649850223e-09,Faraday
11.9,2.5782999999999997e-09,6.660570907970277e-09,Faraday
12.0,5.893293333333334e-09,3.552026701199378e-09,Faraday
12.1,5.8932933333333325e-09,4.465752370657528e-09,Faraday
12.2,5.1566266666666665e-09,6.085813707798928e-09,Faraday
12.3,2.9466633333333335e-09,3.8806220248992726e-09,Faraday
12.4,3.683366666666667e-10,4.6004706498502225e-09,Faraday
12.5,-1.8416633333333333e-09,5.4508240753241465e-09,Faraday
12.6,-1.8416633333333333e-09,5.670408547903169e-09,Faraday
12.7,1.1050033333333333e-09,4.816571861825933e-09,Faraday
12.8,2.5783e-09,6.283247907738482e-09,Faraday
12.9,2.5783299999999997e-09,5.222014981479851e-09,Faraday
13.0,4.7882933333333335e-09,3.5520267011993775e-09,Faraday
13.1,7.366626666666667e-09,4.18341097503381e-09,Faraday
13.2,6.261626666666667e-09,3.8805897536371116e-09,Faraday
13.3,2.9466633333333335e-09,3.8806220248992726e-09,Faraday
13.4,1.1049733333333335e-09,7.734937142862464e-09,Faraday
13.5,2.5783e-09,5.670361454096202e-09,Faraday
13.6,-3.6833666666666685e-10,3.5520666238308835e-09,Faraday
13.7,3.314966666666667e-09,5.0636883151941066e-09,Faraday
13.8,8.103263333333333e-09,3.8805897536371116e-09,Faraday
13.9,2.7256566666666666e-08,4.183462481406203e-09,Faraday
14.0,4.935656666666667e-08,2.300240929410071e-09,Faraday
14.1,5.561793333333333e-08,5.4503186240194545e-09,Faraday
14.2,6.040596666666667e-08,4.465396074631377e-09,Faraday
14.3,2.54149e-08,3.3149999999999994e-09,Faraday
14.4,-3.6832999999999996e-10,3.375819851058406e-09,Faraday
14.5,3.3333333332929968e-15,5.741736880085445e-09,Faraday
14.6,2.5783033333333334e-09,5.4507747464955224e-09,Faraday
14.7,4.7882933333333335e-09,4.6004314184686345e-09,Faraday
14.8,1.2891566666666666e-08,2.3002409294100772e-09,Faraday
14.9,5.6722933333333325e-08,4.599977456828818e-09,Faraday
15.0,1.0902566666666667e-07,7.104156060598136e-09,Faraday
15.1,1.2560066666666667e-07,4.183462481406199e-09,Faraday
15.2,1.3075733333333333e-07,3.5520780302990677e-09,Faraday
15.3,8.2874e-08,6.1523796209271745e-09,Faraday
15.4,2.2099666666666667e-09,7.734945000026395e-09,Faraday
15.5,2.5782999999999997e-09,6.0858094712289505e-09,Faraday
15.6,7.366700000000001e-10,4.183451035544697e-09,Faraday
15.7,3.6833333333333325e-10,6.085855468496876e-09,Faraday
15.8,3.683299999999999e-09,6.474650536523187e-09,Faraday
15.9,2.0258233333333336e-08,4.600481858820153e-09,Faraday
16.0,3.3886566666666676e-08,7.017692521999899e-09,Faraday
16.1,4.0516566666666677e-08,6.6606237195425895e-09,Faraday
16.2,4.346323333333333e-08,7.521579510537218e-09,Faraday
16.3,2.394156666666667e-08,5.670419590588806e-09,Faraday
16.4,1.8416633333333333e-09,3.375822033243656e-09,Faraday
16.5,-7.366933333333332e-10,7.3573892417102235e-09,Faraday
16.6,1.1049733333333337e-09,5.741684918561217e-09,Faraday
16.7,1.4733033333333334e-09,5.670360154966643e-09,Faraday
16.8,5.893299999999999e-09,7.189524001635992e-09,Faraday
16.9,2.5046566666666668e-08,6.751661523901605e-09,Faraday
17.0,3.86749e-08,6.152379620927176e-09,Faraday
17.1,4.346323333333334e-08,4.600481858820152e-09,Faraday
17.2,4.53049e-08,5.525000000000003e-09,Faraday
17.3,1.6943233333333332e-08,7.104156060598146e-09,Faraday
17.4,3.314966666666666e-09,6.152328433482183e-09,Faraday
17.5,3.33333333343086e-15,4.816571861825933e-09,Faraday
17.6,-7.366633333333332e-10,2.551876642812762e-09,Faraday
17.7,6.261626666666667e-09,5.221975482136366e-09,Faraday
17.8,2.65199e-08,2.9235551987263746e-09,Faraday
17.9,9.981733333333333e-08,3.5520780302990714e-09,Faraday
18.0,1.5764566666666667e-07,3.375830761950805e-09,Faraday
18.1,1.9042733333333333e-07,1.6879153809754147e-09,Faraday
18.2,1.9705733333333333e-07,3.3758307619508e-09,Faraday
18.3,7.256066666666667e-08,2.7808556836580553e-09,Faraday
18.4,2.20999e-09,1.9139161423636096e-09,Faraday
18.5,1.4733299999999997e-09,4.982711366996889e-09,Faraday
18.6,-3.683333333333334e-10,3.880622499475224e-09,Faraday
18.7,-3.6832999999999996e-10,5.103764832630908e-09,Faraday
18.8,1.4733299999999997e-09,4.982711366996889e-09,Faraday
18.9,6.261626666666667e-09,5.221975482136366e-09,Faraday
19.0,1.0681596666666666e-08,3.5520267011993775e-09,Faraday
19.1,1.104993e-08,6.152339209820929e-09,Faraday
19.2,1.325993e-08,6.90067234787307e-09,Faraday
19.3,6.62996e-09,2.209955000152718e-09,Faraday
19.4,-7.366633333333332e-10,2.551876642812762e-09,Faraday
19.5,3.6832999999999996e-10,3.375819851058406e-09,Faraday
19.6,2.9466633333333335e-09,4.6004706498502225e-09,Faraday
19.7,2.5783299999999997e-09,4.465793609964527e-09,Faraday
19.8,-1.105e-09,2.92354574961638e-09,Faraday
19.9,3.314996666666667e-09,3.827820737721835e-09,Faraday
20.0,4.051633333333333e-09,4.982667383383456e-09,Faraday
20.1,4.788323333333333e-09,2.300240929410077e-09,Faraday
20.2,2.2099966666666667e-09,3.3149900000050275e-09,Faraday
20.3,2.5783e-09,6.283247907738482e-09,Faraday
20.4,7.366666666666668e-10,3.3758209421462703e-09,Faraday
20.5,3.6832999999999996e-10,4.465793609964527e-09,Faraday
20.6,3.6833233333333333e-09,1.2759440949090732e-09,Faraday
20.7,1.1049966666666667e-09,4.8165718618259334e-09,Faraday
20.8,2.5783e-09,5.561659048350591e-09,Faraday
20.9,0.0,3.31499e-09,Faraday
21.0,1.1049966666666665e-09,1.9139045953582255e-09,Faraday
21.1,-3.3333333335687238e-15,3.827820737721835e-09,Faraday
21.2,2.5783299999999997e-09,3.1898486902672987e-09,Faraday
21.3,2.5783299999999997e-09,4.183451035544697e-09,Faraday
21.4,-3.6833666666666685e-10,3.5520666238308835e-09,Faraday
21.5,-7.366633333333332e-10,6.0858551658853444e-09,Faraday
21.6,2.2099666666666667e-09,5.524945000036954e-09,Faraday
21.7,1.4733300000000001e-09,2.780846411940077e-09,Faraday
21.8,-1.10499e-09,0.0,Faraday
