amu,p,err,type
1.0,7.587566666666667e-08,7.993766842567605e-09,Faraday
1.1,7.440233333333334e-08,7.52157951053722e-09,Faraday
1.2,8.508399999999998e-08,6.6300000000000005e-09,Faraday
1.3,6.8509e-08,5.847110397452745e-09,Faraday
1.4,5.8932933333333325e-09,5.670369898519262e-09,Faraday
1.5,3.6832966666666666e-09,4.600427415255384e-09,Faraday
1.6,6.629960000000001e-09,2.923504173539008e-09,Faraday
1.7,1.43649e-08,6.152379620927174e-09,Faraday
1.8,4.346323333333334e-08,7.357452570919724e-09,Faraday
1.9,4.515756666666667e-07,3.604965476025167e-08,Faraday
2.0,1.9488466666666666e-06,6.033475394275939e-08,Faraday
2.1,3.837656666666667e-06,2.4083908867402144e-07,Faraday
2.2,4.28187e-06,2.996812152938514e-07,Faraday
2.3,3.996409999999999e-06,1.598479586982573e-07,Faraday
2.4,1.6280233333333335e-07,1.1068401344969971e-08,Faraday
2.5,-7.366633333333332e-10,1.275938321406381e-09,Faraday
2.6,-2.2099966666666667e-09,3.3149900000050275e-09,Faraday
2.7,-7.366633333333332e-10,2.551876642812762e-09,Faraday
2.8,-1.1049966666666665e-09,5.524990000003017e-09,Faraday
2.9,1.4733299999999997e-09,4.982711366996889e-09,Faraday
3.0,9.576596666666667e-09,4.183430785376201e-09,Faraday
3.1,1.6943233333333335e-08,4.982720976869301e-09,Faraday
3.2,2.062656666666667e-08,5.22202626700913e-09,Faraday
3.3,1.731156666666667e-08,4.600481858820155e-09,Faraday
3.4,3.683333333333334e-10,2.780845749665618e-09,Faraday
3.5,-2.2099966666666667e-09,2.9235438597929962e-09,Faraday
3.6,-1.1050033333333333e-09,4.816571861825933e-09,Faraday
3.7,-1.4733299999999997e-09,4.982711366996889e-09,Faraday
3.8,0.0,1.10499e-09,Faraday
3.9,-3.683366666666667e-10,4.6004706498502225e-09,Faraday
4.0,-2.5783e-09,4.982664796080507e-09,Faraday
4.1,-7.366666666666667e-10,4.465794434748798e-09,Faraday
4.2,-7.366633333333334e-10,3.5520666238308835e-09,Faraday
4.3,-2.2099933333333334e-09,1.9139103688609176e-09,Faraday
4.4,-2.2099933333333334e-09,2.9235514190849e-09,Faraday
4.5,-1.4733333333333334e-09,3.5520686977356354e-09,Faraday
4.6,-7.366666666666668e-10,3.3758209421462707e-09,Faraday
4.7,1.8416633333333333e-09,3.8806220248992726e-09,Faraday
4.8,-2.946656666666666e-09,2.300240929410077e-09,Faraday
4.9,3.683333333333334e-10,3.880622499475224e-09,Faraday
5.0,3.3333333332929968e-15,1.9139045953582255e-09,Faraday
5.1,3.6832999999999996e-10,3.375819851058406e-09,Faraday
5.2,-2.209966666666667e-09,5.063688315194107e-09,Faraday
5.3,-1.1049933333333332e-09,1.1049950000037706e-09,Faraday
5.4,1.841633333333333e-09,6.6605670369296134e-09,Faraday
5.5,-1.8416666666666666e-09,4.183453236673422e-09,Faraday
5.6,3.6832999999999985e-10,4.183451035544697e-09,Faraday
5.7,0.0,3.31499e-09,Faraday
5.8,-3.6832999999999985e-10,3.375819851058406e-09,Faraday
5.9,-2.2099966666666667e-09,3.3149900000050275e-09,Faraday
6.0,-3.6832999999999996e-10,1.2759325479036891e-09,Faraday
6.1,-3.3149933333333337e-09,2.9235495292594815e-09,Faraday
6.2,-1.4733333333333334e-09,3.5520686977356354e-09,Faraday
6.3,-1.1049966666666667e-09,3.98412306538507e-09,Faraday
6.4,-1.8416633333333333e-09,3.5520666238308835e-09,Faraday
6.5,0.0,1.10499e-09,Faraday
6.6,-7.366633333333334e-10,3.5520666238308835e-09,Faraday
6.7,-3.3333333332929968e-15,5.741736880085445e-09,Faraday
6.8,0.0,2.2099899999999997e-09,Faraday
6.9,2.9466600000000002e-09,2.551882416315454e-09,Faraday
7.0,3.683323333333333e-09,2.551888189818146e-09,Faraday
7.1,1.1049933333333332e-09,1.1049950000037706e-09,Faraday
7.2,3.6833333333333325e-10,1.6879055611713983e-09,Faraday
7.3,2.9466633333333335e-09,3.8806220248992726e-09,Faraday
7.4,2.5783e-09,4.982664796080507e-09,Faraday
7.5,-3.6832999999999996e-10,6.379662739518446e-10,Faraday
7.6,7.366666666666667e-10,2.3002313217225206e-09,Faraday
7.7,1.84166e-09,2.3002369262099938e-09,Faraday
7.8,2.578323333333333e-09,1.6879153809754012e-09,Faraday
7.9,1.8416566666666665e-09,6.379720474545364e-10,Faraday
8.0,1.4733299999999997e-09,4.982711366996889e-09,Faraday
8.1,1.4733266666666664e-09,1.275938321406381e-09,Faraday
8.2,7.366599999999999e-10,6.379662739518446e-10,Faraday
8.3,0.0,1.10499e-09,Faraday
8.4,1.8416633333333333e-09,2.780845087402988e-09,Faraday
8.5,3.6833233333333333e-09,2.300240929410077e-09,Faraday
8.6,7.366633333333334e-10,2.780845087402988e-09,Faraday
8.7,1.105e-09,2.92354574961638e-09,Faraday
8.8,2.2099966666666667e-09,3.3149900000050275e-09,Faraday
8.9,7.366633333333332e-10,1.275938321406381e-09,Faraday
9.0,1.4733233333333331e-09,6.379720474545364e-10,Faraday
9.1,1.1049966666666665e-09,1.9139045953582255e-09,Faraday
9.2,1.1049966666666665e-09,1.9139045953582255e-09,Faraday
9.3,1.4733266666666664e-09,1.275938321406381e-09,Faraday
9.4,-7.366599999999999e-10,6.379662739518446e-10,Faraday
9.5,1.4733333333333334e-09,3.552068697735635e-09,Faraday
9.6,2.2099966666666667e-09,2.9235438597929967e-09,Faraday
9.7,7.366666666666667e-10,2.3002313217225206e-09,Faraday
9.8,3.6833333333333325e-10,1.6879055611713983e-09,Faraday
9.9,1.8416633333333333e-09,3.5520666238308835e-09,Faraday
10.0,1.1049966666666667e-09,3.98412306538507e-09,Faraday
10.1,3.6832999999999996e-10,1.2759325479036891e-09,Faraday
10.2,-1.1049933333333332e-09,1.1049950000037706e-09,Faraday
10.3,2.578323333333333e-09,1.275944094909073e-09,Faraday
10.4,2.5783299999999997e-09,3.880622974059706e-09,Faraday
10.5,-3.33333333343086e-15,2.9235438597929967e-09,Faraday
10.6,1.105e-09,3.984124452134997e-09,Faraday
10.7,7.366666666666667e-10,2.3002313217225206e-09,Faraday
10.8,-3.3333333335687238e-15,3.827820737721835e-09,Faraday
10.9,0.0,1.10499e-09,Faraday
11.0,-3.3149900000000004e-09,1.9139161423636096e-09,Faraday
11.1,1.4733266666666664e-09,1.687911016621828e-09,Faraday
11.2,3.6833333333333325e-10,1.6879055611713983e-09,Faraday
11.3,-7.366633333333332e-10,2.551876642812762e-09,Faraday
11.4,7.366666666666667e-10,2.3002313217225206e-09,Faraday
11.5,3.3333333335687238e-15,3.827820737721835e-09,Faraday
11.6,7.366633333333332e-10,1.275938321406381e-09,Faraday
11.7,-2.2099899999999997e-09,1.105e-09,Faraday
11.8,7.366633333333332e-10,1.275938321406381e-09,Faraday
