amu,p,err,type
1.0,3.75696e-09,4.1182046595209414e-09,Faraday
1.1,4.19899e-09,2.3776765444441762e-09,Faraday
1.2,6.372126666666667e-09,2.6710735633885736e-09,Faraday
1.3,6.482596666666665e-09,3.4171207735509327e-09,Faraday
1.4,-4.0517e-10,3.84267815550561e-09,Faraday
1.5,-7.366633333333332e-10,1.9053800356184413e-09,Faraday
1.6,-5.893336666666666e-10,2.370810166715238e-09,Faraday
1.7,1.8048299999999999e-09,2.804890098880881e-09,Faraday
1.8,1.8416999999999992e-10,4.406616320579771e-09,Faraday
1.9,-1.6943270000000002e-09,2.451834170413448e-09,Faraday
2.0,4.861963e-09,4.197500666884639e-09,Faraday
2.1,4.825126666666666e-09,3.960006295580012e-09,Faraday
2.2,4.2357963333333325e-09,5.631471632382634e-09,Faraday
2.3,4.86199e-09,1.954944564431432e-09,Faraday
2.4,1.3996596666666667e-09,9.965398709335883e-10,Faraday
2.5,-3.6833666666666685e-10,5.1383374723867e-09,Faraday
2.6,2.5783666666666656e-10,4.7864800772732075e-09,Faraday
2.7,-8.839966666666665e-10,2.81936316570486e-09,Faraday
2.8,2.0258266666666665e-09,1.9900177951549408e-09,Faraday
2.9,-2.6151596666666663e-09,1.882823152837338e-09,Faraday
3.0,-1.8784966666666664e-09,4.705005309256657e-09,Faraday
3.1,1.8048263333333334e-09,1.7725938859085386e-09,Faraday
3.2,1.65749e-09,7.245969569353709e-10,Faraday
3.3,-9.576633333333333e-10,3.1745006127158537e-09,Faraday
3.4,-3.6832999999999996e-10,3.016726220060415e-09,Faraday
3.5,-1.0681633333333335e-09,2.406595204751795e-09,Faraday
3.6,4.788300000000001e-10,4.79667324995147e-09,Faraday
3.7,-3.314966666666668e-10,4.97617042314e-09,Faraday
3.8,2.2100333333333325e-10,4.4075396867337826e-09,Faraday
3.9,5.156669999999999e-10,2.513308571737064e-09,Faraday
4.0,-1.2523300000000002e-09,2.238357976665261e-09,Faraday
4.1,-8.471633333333334e-10,2.6110018479758555e-09,Faraday
4.2,-6.261633333333332e-10,4.096444713423255e-09,Faraday
4.3,6.630003333333334e-10,2.497877344787036e-09,Faraday
4.4,1.5469966666666666e-09,2.722420048437297e-09,Faraday
4.5,1.3259733333333334e-09,5.377098783176047e-09,Faraday
4.6,-1.9521633333333333e-09,3.1955855316566528e-09,Faraday
4.7,-1.1049936666666666e-09,1.0882926442553646e-09,Faraday
4.8,7.366670000000001e-10,3.3412830681142537e-09,Faraday
4.9,5.156663333333332e-10,3.7018774306560084e-09,Faraday
5.0,3.683666666666676e-11,4.1068638935486195e-09,Faraday
5.1,1.7679969999999998e-09,3.6515131903139827e-09,Faraday
5.2,3.3149966666666657e-10,1.6050952668300824e-09,Faraday
