amu,p,err,type
1.0,1.4493899999999999e-09,1.9860506721383017e-09,Faraday
1.1,1.81588e-09,3.2640684051195984e-09,Faraday
1.2,3.9282666666666664e-09,1.832293307479273e-09,Faraday
1.3,3.5562499999999996e-09,5.33396112471773e-10,Faraday
1.4,1.89693e-10,1.9422192384298436e-09,Faraday
1.5,6.206406666666667e-10,2.3285979732090577e-10,Faraday
1.6,8.600513333333332e-10,6.54103154926907e-10,Faraday
1.7,8.526879666666666e-10,9.453403556171202e-10,Faraday
1.8,-1.0442183e-09,9.317888156458359e-10,Faraday
1.9,7.440299666666666e-10,1.2696067170163376e-09,Faraday
2.0,2.9171929999999992e-09,2.3758228640045953e-09,Faraday
2.1,3.3039399999999997e-09,7.086660585212189e-10,Faraday
2.2,5.508416666666667e-09,6.129236380931424e-10,Faraday
2.3,5.28005e-09,2.8152266480693884e-10,Faraday
2.4,3.3463e-09,2.270339646022154e-09,Faraday
2.5,-3.720133333333334e-10,1.1072204740178595e-09,Faraday
2.6,-2.5967533333333346e-10,2.890293824566169e-09,Faraday
2.7,-7.771832999999999e-10,2.2545786208395283e-09,Faraday
2.8,-4.25421e-10,5.89048948073927e-10,Faraday
2.9,4.585746666666666e-10,4.531499097167882e-10,Faraday
3.0,1.1234136999999999e-09,2.3842943970395036e-09,Faraday
3.1,-1.1970803e-09,2.5224050470341533e-09,Faraday
3.2,1.5525216666666668e-09,2.676644293744377e-09,Faraday
3.3,-8.379543333333333e-10,1.0995716331191583e-09,Faraday
3.4,2.0810836666666662e-10,2.4403665432942652e-09,Faraday
3.5,-6.758916333333333e-10,2.2778475967522503e-09,Faraday
3.6,-5.524696666666667e-11,9.392445000034354e-10,Faraday
3.7,6.095886999999999e-10,1.393130432385629e-09,Faraday
3.8,-7.661299999999998e-10,1.3497838200248956e-09,Faraday
3.9,1.2891669999999996e-10,6.819132469879655e-10,Faraday
4.0,1.2155033333333325e-10,1.776361266381457e-09,Faraday
4.1,-5.635499666666666e-10,1.8802120281074693e-09,Faraday
4.2,1.0607963666666665e-09,1.2515260073369242e-09,Faraday
4.3,-4.235829999999999e-11,2.70733208258364e-09,Faraday
4.4,3.222887e-10,7.795542363293077e-10,Faraday
4.5,1.926377e-09,2.217890884332906e-09,Faraday
4.6,1.2596936666666665e-09,1.4317269086457559e-09,Faraday
4.7,2.3941370000000005e-10,8.671432546897717e-10,Faraday
4.8,-5.7091333333333334e-11,2.7626740945383576e-10,Faraday
4.9,-1.4935846666666667e-09,1.5902012623832661e-09,Faraday
5.0,-6.574716666666665e-10,1.2587123496789617e-09,Faraday
5.1,-3.480719666666666e-10,6.60387466887208e-10,Faraday
5.2,-6.427379666666666e-10,5.165272869832757e-10,Faraday
5.3,-1.2523329999999998e-10,1.3830216001699576e-09,Faraday
5.4,3.517550333333333e-10,6.527942460507776e-10,Faraday
5.5,-6.869383333333332e-10,1.9525664697608457e-09,Faraday
5.6,1.1234200000000005e-10,1.2299738302061553e-09,Faraday
5.7,-9.208000000000004e-12,2.9303675535488713e-09,Faraday
5.8,5.414463666666667e-10,8.737832972314723e-10,Faraday
5.9,1.4917470333333335e-09,2.8242364185009907e-09,Faraday
6.0,2.8453686666666666e-09,2.914530165595363e-09,Faraday
6.1,-8.839996666666667e-10,3.3278570174513706e-09,Faraday
6.2,1.3812533333333317e-10,2.0581915479919094e-09,Faraday
6.3,1.263377e-09,1.2238199286688382e-09,Faraday
6.4,-3.5544133333333324e-10,1.7302622348723134e-09,Faraday
6.5,1.9889966666666666e-10,3.187299007017279e-10,Faraday
6.6,1.1989183666666667e-09,1.1484372286041599e-09,Faraday
6.7,2.2468066666666663e-10,7.711486188733877e-10,Faraday
6.8,1.3996633333333332e-09,2.426804971363445e-09,Faraday
6.9,5.304003333333333e-10,2.4312914507315517e-09,Faraday
7.0,1.1712933666666666e-09,1.1240572123757772e-09,Faraday
7.1,-1.1989179999999998e-09,1.0399139741113204e-09,Faraday
7.2,1.3260003333333318e-10,1.9948746533103284e-09,Faraday
7.3,-1.8784966666666655e-10,1.8793673174502993e-09,Faraday
7.4,1.3480933666666666e-09,1.3502668135609358e-09,Faraday
7.5,-1.1786663333333333e-10,1.3837277145486404e-09,Faraday
7.6,-1.47333e-11,6.63489927872059e-10,Faraday
7.7,1.1105186666666667e-09,1.1555384742471075e-09,Faraday
7.8,6.887803666666665e-10,1.7199054974699344e-09,Faraday
7.9,-1.6648629666666666e-09,2.4905707245877003e-09,Faraday
8.0,1.6759169999999988e-10,1.942876801569433e-09,Faraday
8.1,-2.3204996666666664e-10,2.4370850021059997e-09,Faraday
8.2,-1.6574696666666664e-10,7.79391392585717e-10,Faraday
8.3,-2.357332999999999e-10,1.5558572693491744e-09,Faraday
8.4,-9.705516333333335e-10,8.367417072167512e-10,Faraday
8.5,7.937546999999999e-10,1.324616333785889e-09,Faraday
8.6,2.044250333333333e-10,1.6720398444893599e-09,Faraday
8.7,2.0995003333333323e-10,1.8902507408515946e-09,Faraday
8.8,4.622583666666665e-10,2.1998862735627956e-09,Faraday
8.9,6.464220333333332e-10,1.3567948607369881e-09,Faraday
9.0,1.6575333333333327e-11,3.925072974179376e-10,Faraday
9.1,1.0957850333333333e-09,1.0278276405769614e-09,Faraday
9.2,2.136333666666666e-10,2.5496762637362418e-09,Faraday
9.3,9.042546999999999e-10,1.515701795764051e-09,Faraday
9.4,1.1307803666666667e-09,2.279251154442464e-09,Faraday
9.5,4.659387e-10,1.1370750543649132e-09,Faraday
9.6,8.269086666666664e-10,3.0274700469410643e-09,Faraday
9.7,1.158405e-09,1.872963734980205e-09,Faraday
9.8,1.128938033333333e-09,1.5390450259286447e-09,Faraday
9.9,6.81417e-11,3.4262755897383196e-09,Faraday
10.0,1.0957917e-09,3.6673933417301542e-09,Faraday
10.1,-5.893299999999993e-11,1.2707560116194611e-09,Faraday
10.2,8.932049999999998e-10,1.347780870709701e-09,Faraday
10.3,4.5857533333333326e-10,1.8778969341061648e-09,Faraday
10.4,5.617086666666667e-10,3.0352640232318065e-09,Faraday
10.5,3.4439133333333337e-10,3.770101494341145e-10,Faraday
10.6,1.3002103333333332e-09,1.2382021392488114e-09,Faraday
10.7,1.4880670000000003e-09,4.4621293374427196e-09,Faraday
10.8,5.801213666666666e-10,5.377972657105122e-10,Faraday
10.9,-2.2099699999999996e-10,7.968208688513373e-10,Faraday
11.0,5.635473333333332e-10,1.4374708680840571e-09,Faraday
11.1,1.9521699999999995e-10,2.662474437129303e-09,Faraday
11.2,6.685216666666667e-10,9.75637814065411e-10,Faraday
11.3,1.2707533333333324e-10,1.7754588615694065e-09,Faraday
11.4,-5.1566633333333344e-11,1.6587173529870404e-10,Faraday
11.5,-8.084913333333333e-10,4.6260365137259055e-09,Faraday
11.6,9.613436666666668e-10,9.335062258712222e-10,Faraday
11.7,-9.834463333333333e-10,1.636849769566631e-09,Faraday
11.8,-5.39608e-10,2.4645139040167735e-09,Faraday
11.9,8.876833000000001e-10,2.5467777619173353e-09,Faraday
12.0,-8.821550033333333e-10,1.5327245571035259e-09,Faraday
12.1,-3.241303666666667e-10,1.1983629867228476e-09,Faraday
12.2,-8.434833666666667e-10,2.594043111723474e-09,Faraday
12.3,-1.1086802999999998e-09,2.5076461265065628e-09,Faraday
12.4,-1.860083300000001e-10,3.2634851837587934e-09,Faraday
12.5,5.1750533e-10,9.889586328255275e-10,Faraday
12.6,9.042583666666667e-10,2.619914577311635e-09,Faraday
12.7,5.027750333333332e-10,1.8291158144934406e-09,Faraday
12.8,7.863919999999999e-10,2.7541699270546105e-09,Faraday
12.9,-2.762469666666667e-10,8.50557008016925e-10,Faraday
13.0,6.722086666666666e-10,3.108303904499258e-09,Faraday
13.1,2.112385333333333e-09,1.904447113696081e-09,Faraday
13.2,-8.655796333333333e-10,1.085953411207545e-09,Faraday
13.3,1.9797850333333334e-09,1.7697918607378674e-09,Faraday
13.4,1.8232433666666668e-09,1.7567360970515758e-09,Faraday
13.5,7.47717e-10,2.5868783825040944e-09,Faraday
13.6,7.735033333333332e-11,2.0499660194257693e-09,Faraday
13.7,-3.922716666666666e-10,8.21771727327202e-10,Faraday
13.8,2.1179103333333336e-10,2.3494731718068915e-10,Faraday
13.9,1.841670000000001e-11,1.776029475196569e-10,Faraday
14.0,-1.6188183366666663e-09,1.4110558749266094e-09,Faraday
14.1,-9.908130333333332e-10,1.6311456508113254e-09,Faraday
14.2,3.1768683e-09,2.8348902526081443e-09,Faraday
14.3,6.703636333333332e-10,1.3388843417176494e-09,Faraday
14.4,-6.814129666666667e-10,5.534161138450012e-10,Faraday
14.5,1.1933936666666666e-09,1.15745184493366e-09,Faraday
14.6,1.6335519999999996e-09,1.5025127415539608e-09,Faraday
14.7,-1.8121933000000001e-09,1.8125993346690467e-09,Faraday
14.8,-2.2597183e-09,1.9306082981828994e-09,Faraday
14.9,5.469713666666667e-10,6.227040852408979e-10,Faraday
15.0,9.53980366666667e-10,2.4664057424149224e-09,Faraday
15.1,-2.0571350333333333e-09,2.232371086021319e-09,Faraday
15.2,-1.5064766999999995e-09,1.3699418961330693e-09,Faraday
15.3,1.0037053e-09,1.9099851917563053e-09,Faraday
15.4,1.0884183666666669e-09,9.918355819358385e-10,Faraday
15.5,9.687133333333331e-10,1.1560974881835585e-09,Faraday
15.6,-1.4309679999999996e-09,1.1788155044161912e-09,Faraday
15.7,8.711083666666666e-10,2.4506025859632978e-09,Faraday
15.8,3.5912203333333334e-10,1.154639657149495e-09,Faraday
15.9,-1.4678019999999998e-09,1.391112919224029e-09,Faraday
16.0,3.7754133333333356e-10,3.370277741703988e-09,Faraday
16.1,1.5506793333333335e-09,1.8160425004691752e-09,Faraday
16.2,1.567251333333333e-09,8.537883279158442e-10,Faraday
16.3,-1.6298686666666666e-09,1.931176981057234e-09,Faraday
16.4,-1.9779436666666663e-09,2.1730270695369475e-09,Faraday
16.5,1.1712963666666665e-09,1.5129973701202203e-09,Faraday
16.6,-1.8784996666666652e-10,2.0499660668606206e-09,Faraday
16.7,-6.961470333333333e-10,1.8189528166412955e-09,Faraday
16.8,-1.1970566666666661e-10,1.059992505181208e-09,Faraday
16.9,3.950366666666667e-09,1.5348640495605248e-09,Faraday
17.0,5.895166666666666e-09,5.663320789372024e-10,Faraday
17.1,7.057196666666667e-09,1.926117232162501e-09,Faraday
17.2,8.832563333333332e-09,2.731810719840109e-09,Faraday
17.3,3.6354333333333326e-09,4.616214350897641e-09,Faraday
17.4,-1.39598e-09,4.425930067827552e-09,Faraday
17.5,-6.187973333333331e-10,1.870938504959565e-09,Faraday
17.6,3.62805e-10,7.855616763825741e-10,Faraday
17.7,1.2154966666666666e-10,2.48889057111805e-09,Faraday
17.8,1.9263763333333333e-09,2.156200164156921e-09,Faraday
17.9,1.58051e-08,5.240176120131842e-09,Faraday
