amu,p,err,type
1.0,5.85646e-09,2.1765473146017283e-09,Faraday
1.1,9.134596666666665e-09,1.977663899916599e-09,Faraday
1.2,7.734929999999999e-09,1.0540509274698252e-09,Faraday
1.3,5.046126666666666e-09,3.882156277255378e-09,Faraday
1.4,2.2100333333333354e-10,3.080145050177562e-09,Faraday
1.5,9.576663333333334e-10,2.114942053130613e-09,Faraday
1.6,-1.2154930000000002e-09,6.900672347873069e-10,Faraday
1.7,-9.944966666666663e-10,4.789879878465986e-09,Faraday
1.8,1.0313299999999998e-09,3.6654146814241898e-09,Faraday
1.9,7.734959999999999e-10,2.9235211821876707e-10,Faraday
2.0,7.292960000000001e-09,1.1049550003054424e-09,Faraday
2.1,1.1897096666666666e-08,4.366216441729993e-09,Faraday
2.2,1.32599e-08,1.4491939138707421e-09,Faraday
2.3,1.2928399999999998e-08,1.3578467328826191e-09,Faraday
2.4,-2.173160333333333e-09,2.2328962688715144e-09,Faraday
2.5,-7.734966666666666e-10,3.2835309668302705e-09,Faraday
2.6,-2.799323333333333e-09,2.1606447147398696e-09,Faraday
2.7,6.261633333333334e-10,1.7863101858673184e-09,Faraday
2.8,-1.9153269999999997e-09,3.0004988819706293e-09,Faraday
2.9,-1.1050033333333321e-10,2.1312372782260384e-09,Faraday
3.0,-3.683299999999999e-10,1.6733735467013932e-09,Faraday
3.1,-7.734966666666666e-10,1.01274344581159e-09,Faraday
3.2,-2.5046599999999995e-09,2.2136746117485286e-09,Faraday
3.3,-1.9521633333333333e-09,3.324796192270036e-09,Faraday
3.4,2.246823333333333e-09,9.903989516014912e-10,Faraday
3.5,-2.7993263333333332e-09,2.114947129802618e-09,Faraday
3.6,-3.0571566666666657e-09,1.061797100831102e-09,Faraday
3.7,-1.9153233333333333e-09,7.761264931268184e-10,Faraday
3.8,4.419966666666667e-10,9.94494500002053e-10,Faraday
3.9,1.473366666666666e-10,1.977701800103679e-09,Faraday
4.0,-2.13633e-09,3.7640235329763805e-09,Faraday
4.1,6.261669999999999e-10,2.5922301231308538e-09,Faraday
4.2,4.051669999999999e-10,1.902174280203315e-09,Faraday
4.3,-1.2154929999999998e-09,9.821404202185143e-10,Faraday
4.4,-2.836156666666666e-09,8.931608664363508e-10,Faraday
4.5,-3.683329999999999e-10,2.1033636729693225e-09,Faraday
4.6,-7.366633333333332e-10,1.9465883823071922e-09,Faraday
4.7,-4.788329999999999e-10,1.8566969901594066e-09,Faraday
4.8,-2.7993269999999996e-09,2.9943879415010672e-09,Faraday
4.9,-6.998366666666663e-10,4.006026273020851e-09,Faraday
5.0,-1.3259936666666665e-09,1.5666016730618965e-09,Faraday
5.1,-2.87299e-09,1.1214525179426905e-09,Faraday
5.2,-1.6574933333333333e-09,1.992062919446405e-09,Faraday
5.3,-4.788329999999999e-10,1.4251117686928978e-09,Faraday
5.4,8.103299999999999e-10,1.1815349839090672e-09,Faraday
5.5,-3.1308233333333334e-09,9.654268917599784e-10,Faraday
5.6,-3.86749e-09,1.380144557646046e-09,Faraday
5.7,-2.209993e-09,2.6125682466735673e-09,Faraday
5.8,3.6833000000000165e-11,1.895744106879143e-09,Faraday
5.9,-2.9834899999999996e-09,1.054102817565725e-09,Faraday
6.0,-2.2099936666666666e-09,2.430994500002074e-09,Faraday
6.1,5.156669999999999e-10,2.0682403296684357e-09,Faraday
6.2,-1.6943299999999997e-09,2.9450433862338934e-09,Faraday
6.3,-1.3259966666666667e-09,3.0079446737154813e-09,Faraday
6.4,-2.173159666666667e-09,1.6025629464580583e-09,Faraday
6.5,-6.998329999999999e-10,1.830202703054227e-09,Faraday
6.6,-3.68336666666667e-11,1.508358873279278e-09,Faraday
6.7,-1.8048293333333333e-09,2.4568085106211135e-09,Faraday
6.8,-2.98349e-09,8.630325891876854e-10,Faraday
6.9,-6.629963333333334e-10,7.968214235513083e-10,Faraday
7.0,-3.3149733333333323e-10,1.3578404667118789e-09,Faraday
7.1,-2.87299e-09,1.1694220794905488e-09,Faraday
7.2,-2.2468263333333333e-09,1.3503273948788618e-09,Faraday
7.3,-1.69433e-09,3.3412819271650812e-09,Faraday
7.4,-1.6206596666666663e-09,1.2807158058524666e-09,Faraday
7.5,-9.944966666666667e-10,2.1765917359565465e-09,Faraday
7.6,-1.9889936666666666e-09,1.8190532305406384e-09,Faraday
7.7,-5.893329999999999e-10,1.6101586425774945e-09,Faraday
7.8,3.6832999999999996e-10,1.8501073906127722e-09,Faraday
7.9,4.4199966666666655e-10,5.741736880085444e-10,Faraday
8.0,-2.0994899999999997e-09,1.2304759241854347e-09,Faraday
8.1,-2.13633e-09,2.9491872552959397e-09,Faraday
8.2,-7.366666666666668e-11,2.3002313217225206e-10,Faraday
8.3,-2.3941566666666666e-09,1.6879153809754014e-10,Faraday
8.4,-3.97799e-09,2.2072357712759185e-09,Faraday
8.5,-1.7311603333333334e-09,2.0504571708622282e-09,Faraday
8.6,-7.734966666666666e-10,1.672162579277007e-09,Faraday
8.7,-2.6888263333333332e-09,3.0308681660310354e-09,Faraday
8.8,-2.946656666666666e-09,1.241999027106436e-09,Faraday
8.9,3.6832999999999996e-10,8.145035949589172e-10,Faraday
9.0,-5.156670000000001e-10,2.8609233422563077e-09,Faraday
9.1,-2.1363263333333333e-09,1.27593889875665e-09,Faraday
9.2,-9.944929999999999e-10,8.839955000038178e-10,Faraday
9.3,1.8048269999999997e-09,2.431831395719489e-09,Faraday
9.4,-2.9098263333333328e-09,3.7150545585307804e-09,Faraday
9.5,-3.941156666666666e-09,1.4714905141839458e-09,Faraday
9.6,-2.504656666666666e-09,3.375830761950802e-10,Faraday
9.7,-1.9521603333333336e-09,2.620344763297443e-09,Faraday
9.8,-5.488126666666667e-09,3.572602638978107e-09,Faraday
9.9,-1.952160333333333e-09,1.7999343443693534e-09,Faraday
10.0,-2.0258233333333332e-09,6.660623719542586e-10,Faraday
10.1,-8.103330000000001e-10,3.026829777633192e-09,Faraday
10.2,-3.0571566666666657e-09,1.8957540935821114e-09,Faraday
10.3,-3.5728233333333334e-09,3.008631804214888e-09,Faraday
10.4,-7.734966666666665e-10,1.7541217803029905e-09,Faraday
10.5,-5.893366666666668e-10,3.5365640175364185e-09,Faraday
10.6,-3.2781566666666665e-09,2.0504624071982724e-09,Faraday
10.7,-3.2781326666666663e-09,4.339559846643473e-09,Faraday
10.8,5.524966666666667e-10,9.441071470094556e-10,Faraday
10.9,-2.8361596666666667e-09,1.9900177211171594e-09,Faraday
11.0,-3.941156666666667e-09,2.114951910406791e-09,Faraday
11.1,-1.952163333333333e-09,3.3703908987138767e-09,Faraday
11.2,-1.2523300000000002e-09,2.7983580099231407e-09,Faraday
11.3,-3.4623299999999996e-09,4.222670475753465e-09,Faraday
11.4,-5.009293333333333e-09,4.85356966119096e-09,Faraday
11.5,-3.241299333333333e-09,4.662379510250139e-09,Faraday
11.6,-1.694327e-09,2.9179763487230324e-09,Faraday
11.7,-3.6833000000000003e-09,5.044765730447748e-09,Faraday
11.8,-5.9669599999999994e-09,5.1816833657316415e-09,Faraday
11.9,-5.082963333333333e-09,5.646270003111197e-09,Faraday
12.0,-3.0203263333333336e-09,3.6151094544094146e-09,Faraday
12.1,-5.377629666666667e-09,6.391139348764845e-09,Faraday
12.2,-6.445793333333333e-09,6.995858729350767e-09,Faraday
12.3,-5.451293333333333e-09,5.7547958001160505e-09,Faraday
12.4,-2.5783029999999994e-09,5.396746288397945e-09,Faraday
12.5,-5.561793333333333e-09,4.947008920654311e-09,Faraday
12.6,-7.477126666666667e-09,5.8054939558174835e-09,Faraday
12.7,-3.6832969999999998e-09,5.409180281543313e-09,Faraday
12.8,-4.235796333333333e-09,4.366212417797642e-09,Faraday
12.9,-4.825129666666666e-09,6.541259132677005e-09,Faraday
