amu,p,err,type
1.0,1.2995696666666665e-09,3.6003602801710474e-10,Faraday
1.1,2.3165333333333334e-09,1.5359731946337255e-09,Faraday
1.2,1.8643099999999997e-09,5.902846781003212e-10,Faraday
1.3,1.6513233333333331e-09,5.795181281317549e-10,Faraday
1.4,-6.338989999999998e-10,2.0388041051599337e-09,Faraday
1.5,5.62441e-10,7.595189647777072e-10,Faraday
1.6,8.015820333333332e-10,1.3154348218488527e-09,Faraday
1.7,-1.1370416666666667e-09,1.9819967822392756e-09,Faraday
1.8,-1.6130204333333333e-09,2.8137135364435314e-09,Faraday
1.9,-2.9798130333333334e-10,5.076388207523701e-10,Faraday
2.0,-2.0470133333333333e-10,5.905892306470998e-10,Faraday
2.1,-5.504713333333331e-10,1.437640879177527e-09,Faraday
2.2,-4.754236666666666e-10,1.4073468359684235e-09,Faraday
2.3,1.2722193333333332e-09,1.7694446380278002e-09,Faraday
2.4,7.640116666666665e-10,1.157128514342436e-09,Faraday
2.5,-1.0278308666666668e-09,1.7893539957326088e-09,Faraday
2.6,9.549008399999999e-10,1.6611145135521788e-09,Faraday
2.7,4.1050413e-10,6.971448356710532e-10,Faraday
2.8,-1.3840096666666666e-10,2.629428013063361e-10,Faraday
2.9,-1.3212083333333332e-09,2.30096306626309e-09,Faraday
3.0,3.1731876666666665e-10,4.910679745738906e-10,Faraday
3.1,9.167783333333332e-10,1.5985134921713494e-09,Faraday
3.2,-8.998349333333332e-10,1.517439867767584e-09,Faraday
3.3,-7.449508000000002e-11,1.2688220631301776e-10,Faraday
3.4,-1.538709e-10,2.5061574070778154e-10,Faraday
3.5,-1.6842013333333333e-10,3.326461734280485e-10,Faraday
3.6,-6.129954666666667e-10,1.0959529296443452e-09,Faraday
3.7,-7.331641666666666e-10,1.2793910986734443e-09,Faraday
3.8,8.254317333333332e-10,1.4863226825634137e-09,Faraday
3.9,6.918187999999999e-10,1.2190875406457445e-09,Faraday
4.0,-8.014900333333333e-10,1.4112506624618472e-09,Faraday
4.1,-2.5525466666666664e-10,4.4906059791173315e-10,Faraday
