amu,p,err,type
1.0,6.551703333333334e-10,9.503333571596512e-10,Faraday
1.1,6.488136666666667e-10,8.489760787091315e-10,Faraday
1.2,1.9791400000000003e-09,1.2532296148352065e-09,Faraday
1.3,2.8484999999999994e-09,3.083540725740459e-09,Faraday
1.4,5.73402e-10,1.928683505062455e-10,Faraday
1.5,1.476086666666667e-10,7.149278796027846e-11,Faraday
1.6,3.9356046666666666e-10,6.165425310674465e-10,Faraday
1.7,8.641986999999999e-10,1.452578352913945e-09,Faraday
1.8,1.2348346666666667e-10,2.759711931820481e-10,Faraday
1.9,-1.4954336666666668e-10,3.49055518635651e-10,Faraday
2.0,1.0898023333333333e-09,1.5448986269345741e-09,Faraday
2.1,1.0174246666666666e-09,1.1291934705467141e-09,Faraday
2.2,3.09215e-10,1.7425270239798292e-10,Faraday
2.3,-1.7854666666666667e-10,8.980562418965382e-10,Faraday
2.4,7.676026666666667e-10,1.058380819811722e-09,Faraday
2.5,2.351804333333333e-10,3.705315091225081e-10,Faraday
2.6,-3.491767333333333e-10,6.547362762609104e-10,Faraday
2.7,6.036028666666668e-10,1.0084004257374763e-09,Faraday
2.8,1.91118628e-09,3.3210535969335452e-09,Faraday
2.9,9.794870333333332e-10,1.6399013019660734e-09,Faraday
3.0,4.687928666666666e-10,7.423879158617302e-10,Faraday
3.1,6.163103666666667e-10,9.974933145452773e-10,Faraday
3.2,4.298416000000001e-10,6.805101298828476e-10,Faraday
3.3,6.959624999999998e-10,1.2156072736284978e-09,Faraday
3.4,-1.0443137999999999e-09,1.870769714519986e-09,Faraday
3.5,1.2849274999999999e-09,2.2368228245573027e-09,Faraday
3.6,1.1880557966666667e-09,2.0333886997891543e-09,Faraday
3.7,8.326140999999998e-10,1.384234161762261e-09,Faraday
3.8,-3.5092656666666667e-10,6.542738659733119e-10,Faraday
3.9,1.6159669666666665e-09,2.7155680840597058e-09,Faraday
4.0,1.9697512e-09,3.366061698670523e-09,Faraday
4.1,-7.011195333333332e-10,1.3073509849742161e-09,Faraday
4.2,5.96696e-10,9.186745521821098e-10,Faraday
4.3,1.8167087333333333e-09,3.1158816619785872e-09,Faraday
4.4,-3.8527340000000005e-10,7.191109300981805e-10,Faraday
4.5,-3.034113e-10,5.985016720446067e-10,Faraday
4.6,3.5460953333333335e-10,5.544480733373715e-10,Faraday
4.7,1.2773763000000003e-09,2.14751108193892e-09,Faraday
4.8,3.701716666666666e-10,6.365212248195996e-10,Faraday
4.9,2.209076e-10,3.838477935845275e-10,Faraday
5.0,-3.585692333333333e-10,6.464293215503171e-10,Faraday
5.1,8.920999333333332e-10,1.524115914707278e-09,Faraday
5.2,2.0875223333333336e-10,2.986508963469946e-10,Faraday
5.3,-3.661200033333333e-10,6.398887740635086e-10,Faraday
5.4,-5.930140000000001e-11,1.405140683012559e-10,Faraday
5.5,1.4907334333333332e-09,2.537047487568998e-09,Faraday
5.6,1.0083086666666667e-10,1.0507437894759758e-10,Faraday
5.7,4.036896333333333e-10,6.074886574095876e-10,Faraday
5.8,1.4134753333333334e-10,1.646890341711413e-10,Faraday
5.9,-4.5240236666666667e-10,8.527243571583396e-10,Faraday
6.0,6.705474999999998e-10,1.1422778323240847e-09,Faraday
6.1,-2.578366666666665e-12,9.70022422936879e-11,Faraday
6.2,5.278183033333333e-10,8.828652807888569e-10,Faraday
6.3,1.5249887e-09,2.6028404805734233e-09,Faraday
6.4,1.3370433000000002e-10,1.741659983728934e-10,Faraday
6.5,-8.613445033333332e-10,1.5510812687455257e-09,Faraday
6.6,1.1713887e-09,1.9521164210029046e-09,Faraday
6.7,1.5376962e-09,2.591836787775069e-09,Faraday
6.8,6.838074333333333e-10,1.1304727874099858e-09,Faraday
6.9,-1.558968e-10,3.435455864481306e-10,Faraday
7.0,9.088588e-11,1.1518709450557907e-10,Faraday
7.1,8.130924699999999e-10,1.4011737211524053e-09,Faraday
7.2,-2.717376333333333e-10,5.30376382742787e-10,Faraday
7.3,4.482583033333333e-10,7.602843077858026e-10,Faraday
7.4,1.1882399633333332e-09,2.03323039048841e-09,Faraday
7.5,1.0939466666666668e-10,1.9276729281401279e-10,Faraday
7.6,-6.707320333333332e-10,1.2375480236557702e-09,Faraday
7.7,3.99638e-11,3.659129669361281e-11,Faraday
7.8,9.708311999999998e-10,1.647336656854539e-09,Faraday
7.9,9.014004033333332e-10,1.516384992839294e-09,Faraday
8.0,2.633579633333333e-10,4.418037337168315e-10,Faraday
8.1,9.192645999999999e-10,1.596343418015719e-09,Faraday
8.2,6.316883033333333e-10,1.0798502844121665e-09,Faraday
8.3,-3.1648713333333334e-10,5.87264021879021e-10,Faraday
8.4,5.2118766666666656e-11,5.0776406894376963e-11,Faraday
8.5,8.299437e-10,1.3865660939797242e-09,Faraday
8.6,7.220217466666665e-10,1.193239118027645e-09,Faraday
8.7,8.242345333333333e-10,1.3915453523169926e-09,Faraday
8.8,-4.896038e-10,9.158659000941077e-10,Faraday
8.9,2.599505666666667e-10,3.5085055631260346e-10,Faraday
9.0,1.5855792333333332e-09,2.6460767558688587e-09,Faraday
9.1,1.2352024333333332e-09,2.088276651843573e-09,Faraday
9.2,-4.1823923333333327e-10,7.861410972525881e-10,Faraday
9.3,1.4739742333333334e-09,2.4557196167635796e-09,Faraday
9.4,1.4053719999999997e-09,2.323649679198437e-09,Faraday
9.5,-1.1124557666666665e-09,2.003269836169472e-09,Faraday
9.6,7.130899699999998e-10,1.200903724623212e-09,Faraday
9.7,1.8011466999999997e-09,3.1292519677733957e-09,Faraday
9.8,-1.3315220333333335e-10,2.679322691098406e-10,Faraday
9.9,3.6777729999999996e-10,5.431657793197855e-10,Faraday
10.0,7.208249333333333e-10,1.1940981737660865e-09,Faraday
10.1,2.1351325666666668e-09,3.6056200993282647e-09,Faraday
10.2,-1.0506678300000003e-10,1.9627697770575737e-10,Faraday
10.3,-1.99818e-11,7.952692440607771e-11,Faraday
10.4,2.825112666666666e-10,4.252685081440939e-10,Faraday
10.5,1.6000365999999997e-09,2.729239598016024e-09,Faraday
10.6,2.800250333333333e-10,4.2750741693416646e-10,Faraday
10.7,7.343612333333333e-10,1.2780142922596534e-09,Faraday
10.8,6.785586999999999e-10,1.1349091674322177e-09,Faraday
10.9,3.4669036666666667e-10,5.611337777861205e-10,Faraday
11.0,-2.457701333333333e-10,4.570808912067133e-10,Faraday
11.1,3.4070999999999995e-12,1.642770903412889e-11,Faraday
11.2,1.0425641e-09,1.776596415029218e-09,Faraday
11.3,8.661324333333332e-10,1.450909813497897e-09,Faraday
11.4,-2.4577013333333333e-10,4.5712596718117345e-10,Faraday
11.5,6.400678966666665e-10,1.0726145837607088e-09,Faraday
11.6,8.639224633333331e-10,1.4529484944354454e-09,Faraday
11.7,7.461478666666665e-10,1.2677284552241552e-09,Faraday
11.8,-5.732154666666668e-10,1.0347440482583234e-09,Faraday
11.9,1.1079429666666666e-09,1.8156750943291874e-09,Faraday
12.0,2.066530333333333e-09,3.4735929758928764e-09,Faraday
12.1,7.184307666666666e-10,1.1960809036894215e-09,Faraday
12.2,1.4160541e-09,2.4101311992702114e-09,Faraday
12.3,1.1627328666666666e-09,1.959605982721405e-09,Faraday
12.4,-3.866546333333334e-10,7.178126962732155e-10,Faraday
12.5,4.6197869999999994e-10,7.483756779313382e-10,Faraday
12.6,3.4190206666666665e-10,5.66186554142222e-10,Faraday
12.7,1.3412824333333332e-09,2.2834558854758944e-09,Faraday
12.8,9.024129666666668e-11,1.1487871822767277e-10,Faraday
12.9,5.6501997e-10,9.464480938041471e-10,Faraday
13.0,1.0553637000000001e-09,1.7655551198239861e-09,Faraday
13.1,-1.2974513333333333e-10,2.704536792203488e-10,Faraday
13.2,-1.37388e-10,2.6486847688147035e-10,Faraday
13.3,-3.4337546666666664e-10,6.595787051868968e-10,Faraday
13.4,-3.698957e-10,7.323578408925312e-10,Faraday
13.5,1.5372354666666665e-09,2.5923129026952074e-09,Faraday
13.6,8.103300000000002e-12,1.0483630241319082e-10,Faraday
13.7,7.1327413e-10,1.2005683675973723e-09,Faraday
13.8,3.114254666666666e-10,4.965000428429521e-10,Faraday
13.9,8.216562299999999e-10,1.3937710783634359e-09,Faraday
14.0,4.961416000000001e-10,8.143672895832507e-10,Faraday
14.1,1.793319233333333e-09,3.0404154839236955e-09,Faraday
14.2,1.6274774666666666e-09,2.8011886707516247e-09,Faraday
14.3,2.1509712e-09,3.6875694230002898e-09,Faraday
14.4,1.0627304533333334e-09,1.854820444185283e-09,Faraday
14.5,4.974307666666667e-10,8.133280191414184e-10,Faraday
14.6,6.479870333333333e-10,1.0656999016057585e-09,Faraday
14.7,2.191395766666667e-09,3.748274992408042e-09,Faraday
14.8,1.321392e-10,1.7304938335743935e-10,Faraday
14.9,9.764482666666665e-10,1.6424608474671481e-09,Faraday
15.0,1.0830808e-09,1.8373305199963124e-09,Faraday
15.1,9.717520666666666e-10,1.6466559650621658e-09,Faraday
15.2,7.114324633333332e-10,1.2021365425169067e-09,Faraday
15.3,4.994566000000001e-10,8.117384471839867e-10,Faraday
15.4,1.4557420666666665e-09,2.4715868015205966e-09,Faraday
15.5,1.4953378666666668e-09,2.5328293757101015e-09,Faraday
15.6,1.6119153666666665e-09,2.7189620024620647e-09,Faraday
15.7,-2.0258306666666664e-10,3.987701711204128e-10,Faraday
15.8,1.5753582666666664e-09,2.6549453711651965e-09,Faraday
15.9,2.2635886666666666e-09,3.78143870452733e-09,Faraday
16.0,8.553583333333333e-10,1.2689007962186535e-09,Faraday
16.1,1.4571226666666666e-09,2.183225754772129e-09,Faraday
16.2,1.8226936666666663e-09,2.8234995700853807e-09,Faraday
16.3,2.3932419999999997e-09,3.860631978272987e-09,Faraday
16.4,3.13543e-10,3.9838207804568715e-10,Faraday
16.5,7.337166e-10,1.1827949763740416e-09,Faraday
16.6,1.1986453666666667e-09,2.0242185340082535e-09,Faraday
16.7,1.9975603866666666e-09,3.4376586537504525e-09,Faraday
16.8,1.484195333333333e-09,2.351088304003559e-09,Faraday
16.9,6.370286666666666e-10,4.061881644291636e-10,Faraday
17.0,2.523446333333333e-09,2.695806494238845e-09,Faraday
17.1,2.9846900000000004e-09,2.7749749147514827e-09,Faraday
17.2,2.7636899999999996e-09,2.2002419344244844e-09,Faraday
17.3,1.5261833333333333e-09,7.866962184562304e-10,Faraday
17.4,1.2496589999999999e-09,1.5051014892361906e-09,Faraday
17.5,1.4360356666666665e-09,2.297646016133541e-09,Faraday
17.6,8.979006666666666e-10,1.4234431988436815e-09,Faraday
17.7,1.7294133333333332e-09,2.8085994190849524e-09,Faraday
17.8,1.3609876666666667e-09,1.7882721048292212e-09,Faraday
17.9,2.8554966666666666e-09,2.3187052647832006e-09,Faraday
18.0,6.291003333333333e-09,4.036660236412439e-09,Faraday
18.1,7.228963333333333e-09,1.979656161820363e-09,Faraday
18.2,9.010223333333333e-09,3.776115939908802e-09,Faraday
18.3,5.894243333333333e-09,1.3626735348326584e-09,Faraday
18.4,1.9005e-09,5.251071560167505e-10,Faraday
18.5,1.9178156666666667e-09,2.657778124865643e-09,Faraday
18.6,2.494073333333333e-09,4.06065448107683e-09,Faraday
18.7,1.1366726666666667e-09,1.695190618706443e-09,Faraday
18.8,7.578420000000001e-10,7.795599017804854e-10,Faraday
18.9,2.3318223333333333e-09,2.8616015752362054e-09,Faraday
19.0,2.6106466666666666e-09,2.6201477884717364e-09,Faraday
19.1,3.26186e-09,3.3956231443874924e-09,Faraday
19.2,1.8861366666666666e-09,1.0464074243492987e-09,Faraday
19.3,1.4137513333333333e-09,1.073818698761729e-09,Faraday
19.4,2.2841233333333335e-09,3.478277277232845e-09,Faraday
19.5,1.8197471333333332e-09,3.017566767273104e-09,Faraday
19.6,6.3481913e-10,1.0770891466626703e-09,Faraday
19.7,1.373787933333333e-09,2.3511616293329227e-09,Faraday
19.8,1.1587732966666666e-09,1.963124126083754e-09,Faraday
19.9,-7.431126666666669e-11,2.2392232233927314e-10,Faraday
20.0,1.39229633e-09,2.3352924756758083e-09,Faraday
20.1,1.2119973e-09,2.012761098554314e-09,Faraday
20.2,4.840786333333333e-10,7.292397203496962e-10,Faraday
