amu,p,err,type
1.0,6.989086666666666e-09,2.6010495846356587e-09,Faraday
1.1,4.46419e-09,6.185039470367186e-10,Faraday
1.2,5.8896399999999995e-09,6.553125151406769e-10,Faraday
1.3,5.94489e-09,8.562145817492253e-10,Faraday
1.4,2.7937999999999996e-09,1.1271066135463847e-09,Faraday
1.5,1.0221209999999999e-09,3.716513470673826e-10,Faraday
1.6,-1.7495866666666663e-10,6.145500708862812e-10,Faraday
1.7,1.1068383333333334e-09,1.9124132064726083e-09,Faraday
1.8,1.6759137000000002e-10,3.3390020947887964e-10,Faraday
1.9,-4.843556666666667e-10,1.0160580240273356e-09,Faraday
2.0,1.0460626666666663e-09,7.21939889869879e-10,Faraday
2.1,2.9687599999999996e-09,1.930858807707078e-09,Faraday
2.2,4.14374e-09,1.0378179765739266e-09,Faraday
2.3,3.6630666666666665e-09,8.211480174933957e-10,Faraday
2.4,1.2044436666666667e-09,1.7149522325972617e-09,Faraday
2.5,1.699854333333333e-09,2.1645282882097733e-09,Faraday
2.6,-2.0074199999999996e-10,4.966448224767876e-10,Faraday
2.7,-2.983496333333333e-10,5.072173208599084e-10,Faraday
2.8,-2.799329333333333e-10,4.2747645812208567e-10,Faraday
2.9,1.5285833333333333e-10,3.492705631517396e-10,Faraday
3.0,-5.009297000000001e-10,8.114236856182904e-10,Faraday
3.1,5.156633333333334e-10,8.942480926417139e-10,Faraday
3.2,-1.9705793333333334e-10,3.0793253572999285e-10,Faraday
3.3,7.606056666666664e-10,1.4466190059723164e-09,Faraday
3.4,-2.6151596666666663e-10,3.492711871971453e-10,Faraday
3.5,1.8416663333333332e-11,8.636119825042976e-11,Faraday
3.6,5.340806666666668e-11,1.4537442470360232e-10,Faraday
3.7,9.005717333333331e-10,1.6124898159264456e-09,Faraday
3.8,-2.8729929999999996e-10,4.2236418393996185e-10,Faraday
3.9,1.6390833333333333e-10,3.378985046346511e-10,Faraday
4.0,2.8177469999999995e-10,5.218999114824317e-10,Faraday
4.1,1.0331716666666667e-09,1.7847744772507936e-09,Faraday
4.2,1.602246e-10,2.440394246382539e-10,Faraday
4.3,9.392496666666669e-11,2.0885577353404272e-10,Faraday
4.4,5.1566400000000005e-11,1.4714841812629182e-10,Faraday
4.5,-4.070046333333333e-10,6.052363603323112e-10,Faraday
4.6,-3.535966e-10,5.551399509336992e-10,Faraday
4.7,9.57667e-11,3.0065926608483234e-10,Faraday
