amu,p,err,type
1.0,2.0856775e-08,3.937341323333368e-09,Faraday
1.2,1.71274e-08,2.706686165775413e-09,Faraday
1.4,3.0387424999999998e-09,2.9972029234497474e-09,Faraday
1.6,1.3812474999999998e-09,4.370382035454273e-09,Faraday
1.8,1.381225e-10,1.6107918860233223e-09,Faraday
2.0,8.2874225e-09,2.287536276438349e-09,Faraday
2.2,1.6298650000000003e-08,3.431350993829858e-09,Faraday
2.4,3.72935875e-09,4.256637363679181e-09,Faraday
2.6,9.6687e-10,1.997524787101705e-09,Faraday
2.8,-6.906199999999999e-10,2.2827879453985956e-09,Faraday
3.0,-1.3812375e-10,3.4154194416789005e-09,Faraday
3.2,-1.2499999999848738e-15,1.670593521591631e-09,Faraday
3.4,-4.1437249999999996e-10,3.177294863576112e-09,Faraday
3.6,1.3812375e-10,2.1651396041426025e-09,Faraday
3.8,1.1049974999999998e-09,4.049265608914252e-09,Faraday
4.0,-1.2500000000365726e-15,2.0460531622993954e-09,Faraday
4.2,1.5193712499999999e-09,2.828786648978864e-09,Faraday
4.4,-5.524974999999999e-10,3.235100446679692e-09,Faraday
4.6,1.933745e-09,3.431343173090428e-09,Faraday
4.8,2.7624749999999993e-10,3.6767408384280072e-09,Faraday
5.0,9.668725e-10,3.3639596449666704e-09,Faraday
5.2,2.7625000000000005e-10,3.5805995368054535e-09,Faraday
5.4,1.3812474999999998e-09,3.5806015207055044e-09,Faraday
5.6,8.287475e-10,3.861848932658885e-09,Faraday
5.8,-6.906224999999999e-10,2.5015414676540655e-09,Faraday
6.0,1.2431225e-09,4.741251572566498e-09,Faraday
6.2,1.2431124999999998e-09,4.886212439235088e-09,Faraday
6.4,5.524975000000001e-10,4.650752677958237e-09,Faraday
6.6,2.7625e-10,3.72388048950477e-09,Faraday
6.8,1.38124625e-09,2.997199368352956e-09,Faraday
7.0,2.34811875e-09,2.3946670447919268e-09,Faraday
7.2,9.6687125e-10,2.7977843067094435e-09,Faraday
7.4,4.1436375000000006e-10,3.4408350870098696e-09,Faraday
7.6,8.287487500000001e-10,4.0814453615580756e-09,Faraday
7.8,1.5193600000000002e-09,4.046553061094979e-09,Faraday
8.0,1.7956087499999998e-09,4.417508181673845e-09,Faraday
8.2,5.524875000000001e-10,4.2999449017956696e-09,Faraday
8.4,1.3812375000000001e-09,3.431318560789923e-09,Faraday
8.6,1.24312375e-09,3.802105654164122e-09,Faraday
