amu,p,err,type
1.0,8.361126666666666e-09,2.535034457563316e-09,Faraday
1.1,7.440293333333333e-09,1.5002000803337314e-09,Faraday
1.2,5.598656666666667e-09,8.999703235848018e-10,Faraday
1.3,4.86196e-09,3.951775783454825e-09,Faraday
1.4,2.6151566666666666e-09,2.7808556836580583e-10,Faraday
1.5,1.98899e-09,1.0127492285852407e-09,Faraday
1.6,6.261633333333334e-10,2.297573890026898e-09,Faraday
1.7,1.1050333333333342e-10,2.9793930992961187e-09,Faraday
1.8,4.7883e-10,1.06179196677174e-09,Faraday
1.9,2.0626596666666664e-09,1.2807158058524668e-09,Faraday
2.0,5.4144899999999996e-09,8.77066559617912e-10,Faraday
2.1,3.7201333333333333e-09,5.190306997513089e-09,Faraday
2.2,6.7404600000000005e-09,2.2833282282011055e-09,Faraday
2.3,6.335293333333333e-09,1.5482646030421718e-09,Faraday
2.4,3.682999999999976e-11,3.4171615716556334e-09,Faraday
2.5,1.3259936666666665e-09,1.998181945304364e-09,Faraday
2.6,-4.0516633333333345e-10,2.9862171331134535e-09,Faraday
2.7,1.2154966666666667e-09,1.9170975560816754e-09,Faraday
2.8,-1.3259929999999998e-09,6.721423004297526e-10,Faraday
2.9,-1.2523300000000002e-09,4.28581242086025e-09,Faraday
3.0,1.6206626666666664e-09,1.8795779064354672e-09,Faraday
3.1,-2.2099966666666667e-10,4.4199900000037706e-10,Faraday
3.2,2.9466633333333347e-10,1.3904179740640344e-09,Faraday
3.3,-5.524966666666666e-10,2.6817489778376595e-09,Faraday
3.4,1.952160333333333e-09,2.9325850176150615e-09,Faraday
3.5,1.473306666666666e-10,7.357389241710223e-10,Faraday
3.6,-4.419973333333332e-10,2.201690553538424e-09,Faraday
3.7,9.208330000000001e-10,3.922869697717093e-09,Faraday
3.8,2.3204966666666663e-09,3.996363724704413e-09,Faraday
3.9,1.767993e-09,1.5666043886466676e-09,Faraday
4.0,-1.0681596666666666e-09,9.397869249783874e-10,Faraday
4.1,1.7311633333333331e-09,2.763225104860864e-09,Faraday
4.2,2.20999e-09,5.847110397452741e-10,Faraday
4.3,-2.9466633333333336e-10,1.3321147345857012e-09,Faraday
4.4,3.6833299999999983e-10,2.050452392587304e-09,Faraday
4.5,6.629966666666667e-10,2.5100660429824017e-09,Faraday
4.6,2.2836603333333335e-09,2.9116931925497117e-09,Faraday
4.7,1.1049966666666667e-09,1.884982960276918e-09,Faraday
4.8,-1.7311626666666666e-09,2.344921828944482e-09,Faraday
4.9,-6.629996666666664e-10,4.365788939653442e-09,Faraday
5.0,2.2099936666666666e-09,2.362214020371637e-09,Faraday
5.1,2.578306666666666e-10,1.4421493528897528e-09,Faraday
5.2,-2.0626566666666663e-09,1.0502345372978997e-09,Faraday
5.3,1.4364966666666667e-09,2.2182605618216566e-09,Faraday
5.4,1.5469966666666664e-09,5.548145319846383e-09,Faraday
5.5,8.83993e-10,5.847059372257134e-10,Faraday
5.6,4.0516333333333337e-10,2.1803227376086626e-09,Faraday
5.7,5.156633333333334e-10,3.861696502851219e-09,Faraday
5.8,3.683366666666656e-11,1.7999312134357615e-09,Faraday
5.9,-7.366633333333335e-11,3.5520666238308844e-10,Faraday
6.0,1.0313299999999998e-09,3.773743377178686e-09,Faraday
6.1,-2.578336666666666e-10,2.7786498531841566e-09,Faraday
6.2,7.734966666666667e-10,1.7225129811218649e-09,Faraday
6.3,-5.156633333333334e-10,8.439519077141383e-10,Faraday
6.4,-8.103300000000001e-10,2.6203386416263068e-09,Faraday
6.5,2.0994966666666663e-09,3.756990000004436e-09,Faraday
6.6,-1.2891633333333332e-09,2.763225104860864e-09,Faraday
6.7,-8.471633333333332e-10,1.7691450979312952e-09,Faraday
6.8,1.8416633333333333e-10,3.8680161655686406e-09,Faraday
6.9,1.2891663333333331e-09,3.9384019009745984e-09,Faraday
7.0,7.366700000000009e-11,3.30453745057716e-09,Faraday
7.1,7.366633333333332e-10,1.5043100501672962e-09,Faraday
7.2,1.1050333333333348e-10,3.765104787404108e-09,Faraday
7.3,2.909823333333333e-09,2.7808556836580614e-10,Faraday
7.4,1.915326333333333e-09,1.420827945727537e-09,Faraday
7.5,5.893306666666665e-10,1.59492376778338e-09,Faraday
7.6,1.1049966666666665e-09,2.7224188307704114e-09,Faraday
7.7,1.5101626666666666e-09,1.6915233800809058e-09,Faraday
7.8,-2.2099966666666667e-10,2.488080970266107e-09,Faraday
