amu,p,err,type
1.0,1.51384e-08,3.978876887478965e-09,Faraday
1.2,1.7099775000000002e-08,5.664597500201203e-09,Faraday
1.4,2.679621375e-09,3.2979778358183986e-09,Faraday
1.6,-1.5608076249999998e-09,2.221361542656018e-09,Faraday
1.8,-1.7955999999999997e-10,3.1197817472197813e-09,Faraday
2.0,1.1008485e-08,3.341661647153575e-09,Faraday
2.2,4.2044987500000005e-08,1.879887122602521e-08,Faraday
2.4,3.549786125e-09,4.789828262512742e-09,Faraday
2.6,-1.6298711249999998e-09,2.6799623712665094e-09,Faraday
2.8,-1.4364951249999998e-09,3.262483843931773e-09,Faraday
3.0,-5.386874999999999e-10,2.858038481185254e-09,Faraday
3.2,-1.0773723750000001e-09,2.525831657327313e-09,Faraday
3.4,-4.97248625e-10,2.5718512194577964e-09,Faraday
3.6,2.209986250000001e-10,3.4581788748184845e-09,Faraday
3.8,-6.215601249999999e-10,2.5314788247042727e-09,Faraday
4.0,-1.7403699999999999e-09,2.267457046794366e-09,Faraday
4.2,2.3481225000000003e-10,2.4234005960220883e-09,Faraday
4.4,-4.5581249999999997e-10,2.701798132978163e-09,Faraday
4.6,-1.408871375e-09,2.5382317790751177e-09,Faraday
4.8,-9.530602499999999e-10,2.4623173358085004e-09,Faraday
5.0,-2.7625000000000008e-11,3.1668471293250913e-09,Faraday
5.2,8.287483749999997e-10,1.6002016167517261e-09,Faraday
5.4,-1.0911861249999998e-09,2.5843256382761737e-09,Faraday
5.6,-1.933734625e-09,2.805388566160587e-09,Faraday
5.8,-1.657502499999999e-10,2.9831990959515137e-09,Faraday
6.0,-1.1878725e-09,3.060975234686581e-09,Faraday
6.2,-1.32599725e-09,2.6703476743232067e-09,Faraday
6.4,-1.477931375e-09,1.8204302405524858e-09,Faraday
6.6,-8.97808875e-10,2.2354495898164224e-09,Faraday
6.8,-4.55812625e-10,2.543506441698318e-09,Faraday
7.0,-5.524991249999998e-10,2.58470702546721e-09,Faraday
7.2,-7.596849999999999e-10,1.425446497798597e-09,Faraday
7.4,-4.83436375e-10,2.0990248945681514e-09,Faraday
7.6,-8.42559875e-10,3.2296704122849273e-09,Faraday
7.8,-1.3259975e-09,2.6282072823926417e-09,Faraday
8.0,-1.4226824999999999e-09,3.0931110393986827e-09,Faraday
8.2,-8.149363750000002e-10,3.1108236693453732e-09,Faraday
8.4,-1.1878736249999999e-09,3.834539463219911e-09,Faraday
8.6,-2.1133061249999996e-09,2.0523900454210125e-09,Faraday
8.8,-8.70185875e-10,1.9920042321780515e-09,Faraday
9.0,-1.187873375e-09,2.9293588857396246e-09,Faraday
9.2,-1.3950602499999998e-09,2.700833343231135e-09,Faraday
9.4,-6.077477499999998e-10,1.7551187716652233e-09,Faraday
9.6,5.939361249999998e-10,2.2537103100970084e-09,Faraday
9.8,-4.972486250000001e-10,2.9085913917021234e-09,Faraday
10.0,-1.1602475e-09,3.1840125379049176e-09,Faraday
10.2,-2.2376161249999996e-09,1.4704020122217729e-09,Faraday
10.4,-6.2155975e-10,1.4503133166931059e-09,Faraday
10.6,2.624361249999999e-10,2.8868832792244714e-09,Faraday
10.8,-4.696238750000001e-10,3.3717297114758445e-09,Faraday
11.0,-8.978125e-10,3.2272378711645304e-09,Faraday
11.2,-9.5306025e-10,2.5650192561672486e-09,Faraday
11.4,-7.87311375e-10,3.103808314908543e-09,Faraday
11.6,-1.077372625e-09,2.842319397474179e-09,Faraday
11.8,-2.085681375e-09,2.726227097875321e-09,Faraday
12.0,1.464121125e-09,2.1795944284637937e-09,Faraday
12.2,1.02212225e-09,3.1090366679600635e-09,Faraday
12.4,-1.53316225e-09,4.992039582558293e-09,Faraday
12.6,-1.422683625e-09,2.4803165285836828e-09,Faraday
12.8,-1.1740600000000002e-09,2.521814652716911e-09,Faraday
13.0,-1.795627499999998e-10,3.1476139008348507e-09,Faraday
13.2,-8.287502499999998e-10,3.3919740764382006e-09,Faraday
13.4,-1.3812525e-10,3.0380953840500014e-09,Faraday
13.6,-3.038725e-10,2.3169184060653864e-09,Faraday
13.8,-1.5193737500000004e-10,1.9120269374681144e-09,Faraday
14.0,-6.07751e-10,2.383896203202228e-09,Faraday
14.2,4.696222499999999e-10,2.5560352026427154e-09,Faraday
14.4,-2.6243862500000005e-10,3.2821722442954903e-09,Faraday
14.6,-1.201688625e-09,3.4755068872872113e-09,Faraday
14.8,-1.42268275e-09,2.0549362811888388e-09,Faraday
15.0,2.624375e-10,3.1136243141933026e-09,Faraday
15.2,6.491863749999999e-10,3.724555609822425e-09,Faraday
15.4,-6.768111249999998e-10,3.6060547877802662e-09,Faraday
15.6,-1.1188075e-09,2.1118669956142056e-09,Faraday
15.8,1.3811374999999897e-11,2.5863504729932226e-09,Faraday
16.0,4.419981249999999e-09,3.979286141434478e-09,Faraday
16.2,6.0912825e-09,6.312828398497664e-09,Faraday
16.4,-6.0775125e-10,2.936050061525555e-09,Faraday
16.6,-2.6243862499999995e-10,3.7485965277186046e-09,Faraday
16.8,-1.7956137500000002e-10,2.882650771018277e-09,Faraday
17.0,1.6160525e-08,6.4113810232273666e-09,Faraday
17.2,2.5995025000000004e-08,8.188457947231054e-09,Faraday
17.4,-2.624375000000001e-10,2.9371987857614558e-09,Faraday
17.6,-1.4503088749999998e-09,2.54488031335949e-09,Faraday
17.8,2.2514212499999996e-09,3.9453599911992e-09,Faraday
18.0,6.56640875e-08,1.7430805856581076e-08,Faraday
18.2,1.18980125e-07,3.311488133943712e-08,Faraday
18.4,-1.712746375e-09,2.793574503440194e-09,Faraday
18.6,-1.6989312499999998e-09,2.3838549588755695e-09,Faraday
18.8,-1.1878725e-09,3.107914278822282e-09,Faraday
19.0,5.66311125e-10,2.1143427673228412e-09,Faraday
19.2,3.314991249999999e-10,3.3018115702811405e-09,Faraday
19.4,-8.839989999999999e-10,3.6999156670600323e-09,Faraday
19.6,-8.563749999999998e-10,3.2441174920549875e-09,Faraday
19.8,-2.4862250000000004e-10,2.021826496390684e-09,Faraday
20.0,-1.4917472500000003e-09,2.8357147129211284e-09,Faraday
20.2,-9.806765e-10,3.723594888646569e-09,Faraday
20.4,-1.174058875e-09,2.3454931048646365e-09,Faraday
20.6,-1.1878749999999999e-09,3.900387212935219e-09,Faraday
20.8,-1.39506e-09,3.191094666518999e-09,Faraday
21.0,-1.850862125e-09,4.133128187485788e-09,Faraday
21.2,-1.43648625e-09,3.639048334445019e-09,Faraday
21.4,-1.7541825000000002e-09,2.9717394596996073e-09,Faraday
21.6,-2.9972951249999997e-09,3.68356004466973e-09,Faraday
21.8,-1.6160463750000001e-09,2.7803655866526896e-09,Faraday
22.0,-1.7956174999999997e-09,1.900881283177884e-09,Faraday
22.2,-1.62986075e-09,2.547807183357639e-09,Faraday
22.4,-1.0911854999999998e-09,2.735804896033393e-09,Faraday
22.6,-1.7818076249999997e-09,2.5809537674593382e-09,Faraday
22.8,-5.524988750000001e-10,3.342762145371289e-09,Faraday
23.0,-1.6713075000000001e-09,2.441331492565715e-09,Faraday
23.2,-1.9751725e-09,3.807444865233489e-09,Faraday
23.4,-1.1464349999999997e-09,2.667689981179597e-09,Faraday
23.6,-5.939366250000001e-10,2.9306633013747656e-09,Faraday
23.8,-1.9889853749999995e-09,3.741150800712298e-09,Faraday
24.0,-2.5691062499999997e-09,3.186047624529433e-09,Faraday
24.2,-2.1409237499999996e-09,4.247268938374862e-09,Faraday
24.4,-1.0911861249999998e-09,2.518003932612408e-09,Faraday
24.6,-1.2845575e-09,3.371310073342621e-09,Faraday
24.8,-2.541493875e-09,2.9661966644028193e-09,Faraday
25.0,-1.5194012499999993e-10,3.2544200754165723e-09,Faraday
25.2,-2.1685573749999998e-09,2.754550358102697e-09,Faraday
25.4,-2.2099851250000002e-09,3.6733992190308045e-09,Faraday
25.6,-2.721045125e-09,3.552674566639153e-09,Faraday
25.8,-2.2099949999999997e-09,2.8016804608867465e-09,Faraday
26.0,-2.2652425e-09,2.0588075446776746e-09,Faraday
26.2,-2.831555e-09,2.6108571381390656e-09,Faraday
26.4,-2.2514325e-09,2.547278460440027e-09,Faraday
26.6,-1.436486e-09,3.0610931339202524e-09,Faraday
26.8,-1.1049986250000002e-09,2.8029232632706843e-09,Faraday
27.0,-6.629977499999998e-10,1.995997073515014e-09,Faraday
27.2,-1.215487625e-09,3.5590756871729226e-09,Faraday
27.4,-2.1409221249999995e-09,2.818994388604532e-09,Faraday
27.6,-2.071860125e-09,3.4102877163472556e-09,Faraday
27.8,-6.491860000000001e-10,3.189727260434973e-09,Faraday
28.0,4.66860625e-09,4.441530320740291e-09,Faraday
28.2,1.14919225e-08,5.9373708297787126e-09,Faraday
28.4,-2.472431125e-09,3.062224133925043e-09,Faraday
28.6,-2.9972949999999996e-09,3.3460984086203608e-09,Faraday
28.8,-1.146435e-09,3.2603108658049773e-09,Faraday
29.0,-1.39505875e-09,2.6101857579733804e-09,Faraday
29.2,-6.62997625e-10,2.7176122010364664e-09,Faraday
29.4,-1.9199209999999996e-09,3.38883535376671e-09,Faraday
29.6,-2.2099823749999994e-09,2.8016552753153892e-09,Faraday
29.8,-9.9449725e-10,2.1090243139403685e-09,Faraday
30.0,-1.4641213749999997e-09,2.576427380076302e-09,Faraday
30.2,-4.83426125e-10,4.318134200088884e-09,Faraday
30.4,-3.1354286249999998e-09,2.5493363497737958e-09,Faraday
30.6,-9.668722499999999e-10,2.564891365035662e-09,Faraday
30.8,-1.1740597499999999e-09,2.545907343113691e-09,Faraday
31.0,-1.947547375e-09,4.217186650506098e-09,Faraday
31.2,-5.939276249999999e-10,4.204753094223859e-09,Faraday
31.4,-9.254349999999999e-10,2.2951258564807037e-09,Faraday
31.6,-1.86467125e-09,3.186418972875114e-09,Faraday
31.8,-2.34810875e-09,3.563363057540076e-09,Faraday
32.0,2.8315549999999997e-09,2.7008346656067007e-09,Faraday
32.2,5.8426462499999995e-09,4.232655322597447e-09,Faraday
32.4,-1.6298565000000001e-09,2.681239672048414e-09,Faraday
32.6,-2.513868625e-09,2.6961888773289357e-09,Faraday
32.8,-2.168556125e-09,2.7803931352932514e-09,Faraday
33.0,-8.425611249999998e-10,3.2063615412134954e-09,Faraday
33.2,-1.8508724999999998e-09,3.810810318230981e-09,Faraday
33.4,-1.6436735000000003e-09,3.125624929936549e-09,Faraday
33.6,-7.458750000000002e-10,3.954572103560275e-09,Faraday
33.8,-1.215496625e-09,2.41009474960194e-09,Faraday
34.0,-2.458607625e-09,3.2596567216050718e-09,Faraday
34.2,-1.74035925e-09,2.693571924888148e-09,Faraday
34.4,-9.8067375e-10,4.53775297838651e-09,Faraday
34.6,-9.806726249999997e-10,4.5408302363775765e-09,Faraday
34.8,-1.5746110000000001e-09,3.4448934478635806e-09,Faraday
35.0,-2.63817125e-09,3.966747559649367e-09,Faraday
35.2,-2.2099874999999998e-10,3.0399619012060356e-09,Faraday
35.4,-1.7127447499999999e-09,2.830791029235001e-09,Faraday
35.6,-1.0083113749999998e-09,4.088891135260195e-09,Faraday
35.8,-8.287362499999999e-10,3.77641848490247e-09,Faraday
36.0,-1.2154873749999999e-09,4.486556963229597e-09,Faraday
36.2,-1.546985e-09,2.860187264863264e-09,Faraday
36.4,-2.5967450000000002e-09,3.063966270809315e-09,Faraday
36.6,-1.6851089999999997e-09,4.881573684178582e-09,Faraday
36.8,-1.146433875e-09,3.2193932806779615e-09,Faraday
37.0,-1.754181375e-09,2.9303648865560818e-09,Faraday
37.2,-1.754172625e-09,3.571521571283587e-09,Faraday
37.4,-7.734887499999999e-10,4.999230218024821e-09,Faraday
37.6,-8.978009999999998e-10,4.131309427213708e-09,Faraday
37.8,-4.97248625e-10,4.055721999299013e-09,Faraday
38.0,-2.72104375e-09,2.797882474152538e-09,Faraday
38.2,-1.7127376249999999e-09,4.207684945153126e-09,Faraday
38.4,-3.3149887500000005e-10,3.310779317875192e-09,Faraday
38.6,-1.035935e-09,4.47483265017654e-09,Faraday
38.8,-1.8508615e-09,4.774629379888244e-09,Faraday
39.0,-1.4364949999999998e-09,2.6905199654767212e-09,Faraday
39.2,-8.011238749999998e-10,3.1397416547940206e-09,Faraday
39.4,-1.5746098749999998e-09,4.4525079324036645e-09,Faraday
39.6,-2.7486725e-09,4.5150176529088535e-09,Faraday
39.8,-8.83987625e-10,3.916988527686213e-09,Faraday
40.0,-8.701737499999999e-10,4.343311063975888e-09,Faraday
40.2,-6.353651249999999e-10,4.388179830080428e-09,Faraday
40.4,-1.864672375e-09,4.57031036002864e-09,Faraday
40.6,-7.59674875e-10,4.542751553486859e-09,Faraday
40.8,-5.663e-10,3.854339397028497e-09,Faraday
41.0,-5.801224999999998e-10,2.067891544937016e-09,Faraday
41.2,-2.058047625e-09,4.13995305151875e-09,Faraday
41.4,-1.1049983750000001e-09,3.093429008547955e-09,Faraday
41.6,-6.07746125e-10,3.493309888304477e-09,Faraday
41.8,-1.546986e-09,3.778725779464668e-09,Faraday
42.0,-1.477933875e-09,3.2161398974263024e-09,Faraday
42.2,-1.2431123749999998e-09,3.848591944085819e-09,Faraday
42.4,-1.18786125e-09,4.229495340640358e-09,Faraday
42.6,-1.4503111249999997e-09,3.6002456593030043e-09,Faraday
42.8,-1.7956362500000007e-10,3.538425855948536e-09,Faraday
43.0,-7.32061125e-10,3.771791021532853e-09,Faraday
43.2,-4.2818625e-10,3.8620484619099944e-09,Faraday
43.4,-1.93374475e-09,2.66315187417309e-09,Faraday
43.6,-5.801151250000001e-10,4.194289831128759e-09,Faraday
43.8,3.881294875e-09,3.9380658989079336e-09,Faraday
44.0,1.9378837500000004e-08,7.70402900360538e-09,Faraday
44.2,5.3467862500000004e-08,1.5164726265056914e-08,Faraday
44.4,-4.4199237499999977e-10,4.052682028359876e-09,Faraday
44.6,-1.3536109999999997e-09,3.468104537824125e-09,Faraday
44.8,1.3812587499999994e-10,3.3468060374407045e-09,Faraday
45.0,-1.5746110000000001e-09,3.5358468807937858e-09,Faraday
45.2,-1.1049237499999982e-10,3.5196467744431773e-09,Faraday
45.4,-3.176762499999999e-10,4.477384253142029e-09,Faraday
45.6,-1.3536211249999999e-09,2.7689576907496868e-09,Faraday
45.8,-6.629901249999998e-10,4.508662573041571e-09,Faraday
46.0,-1.215485125e-09,3.3919504768923326e-09,Faraday
46.2,-1.5607987500000003e-09,4.262231096327192e-09,Faraday
46.4,-1.07737e-09,3.726575499003303e-09,Faraday
46.6,-2.071897500000001e-10,3.0015254156502653e-09,Faraday
46.8,-1.60223625e-09,4.612317082861459e-09,Faraday
47.0,-9.254276249999999e-10,4.3451150071167415e-09,Faraday
47.2,-1.2431123750000002e-09,4.160052372654114e-09,Faraday
47.4,-1.906109e-09,3.9988566340616835e-09,Faraday
47.6,-3.5912362499999996e-10,2.7563281326907117e-09,Faraday
47.8,-1.312183625e-09,3.6263168619089823e-09,Faraday
48.0,-1.7817963749999999e-09,2.8919920281108727e-09,Faraday
48.2,-6.906137499999998e-10,4.258265133260417e-09,Faraday
48.4,-1.077362125e-09,4.631843137646285e-09,Faraday
48.6,-4.4198875000000006e-10,3.953777471451312e-09,Faraday
48.8,-1.3812750000000026e-11,3.4890314273059772e-09,Faraday
49.0,-1.38124725e-09,1.9731430055892877e-09,Faraday
49.2,-7.596763749999999e-10,4.443361795446517e-09,Faraday
49.4,-1.45029625e-09,3.484007031881322e-09,Faraday
49.6,-1.1740501250000001e-09,4.147529320976197e-09,Faraday
49.8,-7.320624999999999e-10,3.5620101618197875e-09,Faraday
50.0,-5.248651250000001e-10,4.515525403191445e-09,Faraday
50.2,-8.701760000000001e-10,3.5302556970422735e-09,Faraday
50.4,-1.6574849999999999e-09,3.3333323340251737e-09,Faraday
50.6,-1.1049012500000014e-10,3.5052466138555964e-09,Faraday
50.8,-8.563741250000001e-10,3.5126065420495863e-09,Faraday
51.0,-1.2431212500000001e-09,2.1228361912003986e-09,Faraday
51.2,8.750000000307707e-15,3.830530034381432e-09,Faraday
51.4,-3.729248750000001e-10,4.3382896617915624e-09,Faraday
51.6,-1.0221112499999999e-09,5.045684693654987e-09,Faraday
51.8,-1.58842375e-09,3.0905480796822034e-09,Faraday
52.0,-5.524876249999999e-10,3.610168693652019e-09,Faraday
52.2,-7.320498750000001e-10,3.917852699220087e-09,Faraday
52.4,-5.248635e-10,4.5282530422487276e-09,Faraday
52.6,-1.5193974999999994e-10,2.68983013944751e-09,Faraday
52.8,6.9062375e-10,2.5022397068851707e-09,Faraday
53.0,-1.3812499999999987e-10,4.199717589073273e-09,Faraday
53.2,-1.988996125e-09,2.63682002537637e-09,Faraday
53.4,-1.9337500000000002e-10,2.36461000498125e-09,Faraday
53.6,-1.5193887499999995e-10,1.9156730840103796e-09,Faraday
53.8,-2.1409326249999996e-09,2.4960899620717045e-09,Faraday
54.0,-5.52500125e-10,3.323399568097206e-09,Faraday
54.2,-2.0718775e-10,3.3591281195444895e-09,Faraday
54.4,-7.734973750000001e-10,3.916567278562512e-09,Faraday
54.6,-1.7265575e-09,3.6619761576494266e-09,Faraday
54.8,-1.243116249999999e-10,2.5728270746293813e-09,Faraday
55.0,5.11062625e-10,2.484181162275405e-09,Faraday
55.2,3.59123875e-10,2.158683565275734e-09,Faraday
55.4,-6.768127500000001e-10,3.047090439745137e-09,Faraday
55.6,-9.530599999999996e-10,2.3838514740886974e-09,Faraday
55.8,6.077489999999999e-10,2.034086367364754e-09,Faraday
56.0,-6.768086250000001e-10,2.096113551780528e-09,Faraday
56.2,-1.0911825e-09,2.916042025327922e-09,Faraday
56.4,-1.3259974999999998e-09,3.479802490096077e-09,Faraday
56.6,5.386847499999999e-10,2.011176474232415e-09,Faraday
56.8,-1.24311125e-10,3.6219839165082854e-09,Faraday
57.0,-4.696249999999999e-10,3.4368043521022755e-09,Faraday
57.2,4.1433624999999946e-11,2.531477251737634e-09,Faraday
57.4,-4.558113749999999e-10,2.7306985065276896e-09,Faraday
57.6,-8.701863749999998e-10,3.6402369488383556e-09,Faraday
57.8,-4.143749999999994e-11,2.9954166445075953e-09,Faraday
58.0,-1.2983697499999999e-09,1.5489666733886775e-09,Faraday
58.2,-7.73498625e-10,2.2312015164956647e-09,Faraday
58.4,-5.939363749999997e-10,4.0358622993343046e-09,Faraday
58.6,-5.110599999999999e-10,2.930065769929844e-09,Faraday
58.8,-8.1493525e-10,2.2768111388851825e-09,Faraday
59.0,-1.7403711249999998e-09,2.913837224413218e-09,Faraday
59.2,-6.215599999999999e-10,3.307584048987201e-09,Faraday
59.4,4.14363750000001e-11,3.2161405281378995e-09,Faraday
59.6,-8.70185e-10,2.615190606377669e-09,Faraday
59.8,-6.630000000000001e-10,2.7476124960097367e-09,Faraday
60.0,1.2431213749999998e-09,2.326687649938914e-09,Faraday
60.2,-6.768023749999999e-10,3.527289668755315e-09,Faraday
60.4,-2.9006225e-10,2.4237613072484058e-09,Faraday
60.6,-1.4226852500000001e-09,3.964568847642172e-09,Faraday
60.8,-2.0718837500000009e-10,3.149553865677348e-09,Faraday
61.0,-6.21550125e-10,3.473222591597872e-09,Faraday
61.2,-5.93935e-10,2.0477050628796966e-09,Faraday
61.4,1.933749999999999e-10,3.1219122339589967e-09,Faraday
61.6,-6.077587499999999e-10,4.707765688047318e-09,Faraday
61.8,6.906137499999989e-11,3.2296701703461447e-09,Faraday
62.0,-1.174061e-09,2.7929099432244495e-09,Faraday
62.2,-6.491875e-10,3.772483944457967e-09,Faraday
62.4,-6.353747500000001e-10,3.535868325685493e-09,Faraday
62.6,-1.53318225e-09,2.3532904151992766e-09,Faraday
62.8,-9.254375000000001e-10,2.9854992970678886e-09,Faraday
63.0,-2.2100250000000024e-10,3.836925555343757e-09,Faraday
63.2,-4.00561625e-10,3.1708045654764e-09,Faraday
63.4,-8.149352499999999e-10,2.2123112521544227e-09,Faraday
63.6,-5.524974999999999e-10,1.023024513486079e-09,Faraday
63.8,-1.063561375e-09,3.1664002631281895e-09,Faraday
