amu,p,err,type
1.0,2.4444114285714287e-09,2.2938020442259694e-10,Faraday
1.1,2.3742814285714286e-09,1.753948413749742e-10,Faraday
1.2,2.5298514285714283e-09,1.9487763164171944e-10,Faraday
1.3,2.1906557142857142e-09,2.3220288319033566e-10,Faraday
1.4,9.635948571428573e-10,2.5945796097147644e-10,Faraday
1.5,2.0466100000000003e-10,1.0755535183956833e-10,Faraday
1.6,4.025299428571429e-11,4.680978675177049e-11,Faraday
1.7,6.6693171428571424e-12,3.392352447283974e-11,Faraday
1.8,1.2194442857142858e-11,2.6707462723669398e-11,Faraday
1.9,3.0426485714285715e-11,4.9029407787586305e-11,Faraday
2.0,2.1886800000000002e-10,1.0907287197099011e-10,Faraday
2.1,4.751095714285714e-10,1.3039770516750813e-10,Faraday
2.2,5.866357142857143e-10,8.678449254660318e-11,Faraday
2.3,4.5624571428571423e-10,2.9788970060042257e-11,Faraday
2.4,1.5450185714285716e-10,4.757811308934873e-11,Faraday
2.5,1.2036571428571427e-11,2.339915753545515e-11,Faraday
2.6,-7.89297142857143e-13,3.0025508835688757e-11,Faraday
2.7,-2.7940642857142857e-11,2.780090315582434e-11,Faraday
2.8,-2.8098528571428576e-11,3.338189120809436e-11,Faraday
2.9,-9.826587142857141e-12,2.5527694757383734e-11,Faraday
3.0,-1.1365558571428571e-11,2.875641291974739e-11,Faraday
3.1,-3.5517785714285706e-12,2.5771954934173713e-11,Faraday
3.2,-1.1010485714285713e-11,2.9420408732285855e-11,Faraday
3.3,-1.554875857142857e-11,3.287607121068981e-11,Faraday
3.4,-2.0166207142857146e-11,2.6336098081490554e-11,Faraday
3.5,-1.921906271428571e-11,2.1430147941628748e-11,Faraday
3.6,-2.525712857142856e-12,3.282002050959887e-11,Faraday
3.7,-7.890000000000006e-14,2.653655885585017e-11,Faraday
3.8,-9.629238571428572e-12,2.527161672677237e-11,Faraday
3.9,-1.5193699999999998e-11,2.75285341552482e-11,Faraday
4.0,-1.2944228571428572e-11,2.444473528916634e-11,Faraday
4.1,-4.0253414285714285e-12,1.178392867400544e-11,Faraday
4.2,-3.944285714285697e-14,2.3301427554827844e-11,Faraday
4.3,-7.892928571428568e-13,3.167221181379492e-11,Faraday
4.4,2.7625142857142865e-12,4.6874390877017575e-11,Faraday
4.5,-1.2036557142857143e-11,1.722951136015056e-11,Faraday
4.6,-8.366269999999998e-12,3.4981695781317307e-11,Faraday
4.7,-2.0125699999999994e-12,2.9918370321860217e-11,Faraday
4.8,-1.0023834285714285e-11,3.681422199735987e-11,Faraday
4.9,-1.4798945714285715e-11,2.7419893195344418e-11,Faraday
5.0,-1.3851807142857144e-11,4.20337012189373e-11,Faraday
5.1,-1.9850455714285712e-11,2.852126300045392e-11,Faraday
5.2,-1.5864491428571428e-11,4.395664164872601e-11,Faraday
5.3,-1.49963e-12,3.803954673420325e-11,Faraday
5.4,-1.2352029999999999e-11,4.463789718272617e-11,Faraday
5.5,-2.2967914285714284e-11,3.6282523791486656e-11,Faraday
5.6,-1.0142285714285712e-11,3.1396460767494085e-11,Faraday
5.7,-1.0339598571428572e-11,4.794335254998355e-11,Faraday
5.8,-1.8271814285714286e-11,3.723421729136559e-11,Faraday
5.9,-3.6425239999999996e-11,3.1229480262584694e-11,Faraday
6.0,-2.2968151428571427e-11,2.26560499164759e-11,Faraday
6.1,-1.0773612857142858e-11,3.523242081227872e-11,Faraday
