amu,p,err,type
1.0,1.546998e-09,2.773520418181557e-09,Faraday
1.2,4.419972e-09,3.125380153136575e-09,Faraday
1.4,-8.839939999999999e-10,3.1642300738220662e-09,Faraday
1.6,-3.3149899999999995e-09,1.1050000000000002e-09,Faraday
1.8,-6.629959999999998e-10,2.420924803681436e-09,Faraday
2.0,7.071954e-09,2.773490338441798e-09,Faraday
2.2,1.41439e-08,2.6381513413752442e-09,Faraday
2.4,1.325996e-09,2.519781550071355e-09,Faraday
2.6,-2.2099599999999993e-10,2.1255013608746525e-09,Faraday
2.8,-4.000000000034314e-15,1.9139074821108777e-09,Faraday
3.0,-1.767998e-09,3.1834633640298107e-09,Faraday
3.2,-2.65199e-09,1.2598938447345478e-09,Faraday
3.4,-6.629939999999998e-10,2.8814786430025817e-09,Faraday
3.6,-8.839959999999999e-10,2.860213469320078e-09,Faraday
3.8,-2.6519939999999997e-09,2.543893655418795e-09,Faraday
4.0,-2.430992e-09,2.395580377491016e-09,Faraday
4.2,-4.4199799999999996e-10,3.183465793764714e-09,Faraday
4.4,-1.325996e-09,2.1255026605676126e-09,Faraday
4.6,-2.65199e-09,1.4825130690823605e-09,Faraday
4.8,-2.209992e-09,1.7471552449682313e-09,Faraday
5.0,-2.0000000000585163e-15,2.067257688356727e-09,Faraday
5.2,2.2100200000000003e-10,3.937884396490075e-09,Faraday
5.4,-8.83998e-10,2.395574611668357e-09,Faraday
5.6,-2.209992e-09,1.7471552449682313e-09,Faraday
5.8,-8.839979999999998e-10,3.259273948300449e-09,Faraday
6.0,-1.325994e-09,4.30807514907528e-09,Faraday
6.2,-1.767994e-09,3.459189814115438e-09,Faraday
6.4,-1.546996e-09,2.9855398582299987e-09,Faraday
6.6,-1.325992e-09,9.245057436381884e-10,Faraday
6.8,-1.104996e-09,2.4708472889031404e-09,Faraday
7.0,-2.87299e-09,1.2598938447345476e-09,Faraday
7.2,-6.62998e-10,1.4825085969464055e-09,Faraday
7.4,2.20998e-10,1.8156899322626643e-09,Faraday
7.6,-8.839979999999995e-10,4.2366240711349405e-09,Faraday
7.8,-2.651992e-09,2.007328881877606e-09,Faraday
8.0,-1.988992e-09,1.4407402802101425e-09,Faraday
8.2,-1.325994e-09,2.125501620813308e-09,Faraday
8.4,-2.210020000000001e-10,3.1642304230365397e-09,Faraday
8.6,-1.546998e-09,2.5438906148103146e-09,Faraday
8.8,4.4199799999999996e-10,2.661182436459402e-09,Faraday
9.0,-6.62996e-10,1.849009993234217e-09,Faraday
9.2,-1.7679939999999998e-09,2.0073250285093344e-09,Faraday
9.4,-8.839979999999998e-10,1.8156923665836125e-09,Faraday
9.6,4.42e-10,1.6758088793326044e-09,Faraday
9.8,-1.767996e-09,2.291368571417527e-09,Faraday
10.0,-2.209994e-09,2.4708484069404175e-09,Faraday
10.2,-2.210020000000001e-10,3.16423042303654e-09,Faraday
10.4,2.0000000000585163e-15,2.81720043661611e-09,Faraday
10.6,-2.651992e-09,2.543898433511055e-09,Faraday
10.8,-2.872994e-09,3.5463355199529556e-09,Faraday
11.0,-6.62984e-10,4.2509736087489414e-09,Faraday
11.2,-1.546992e-09,1.2598907750356775e-09,Faraday
11.4,-1.7679919999999998e-09,1.6758128356173908e-09,Faraday
11.6,-1.5469939999999999e-09,2.7735212150044927e-09,Faraday
11.8,-6.62996e-10,1.849009993234217e-09,Faraday
12.0,4.42002e-10,2.1540307774310004e-09,Faraday
12.2,-1.104996e-09,2.2099912500007777e-09,Faraday
12.4,-6.62996e-10,3.2779514723497666e-09,Faraday
12.6,-1.325994e-09,3.4414945939344435e-09,Faraday
12.8,-1.988994e-09,2.6381433831541455e-09,Faraday
13.0,-4.420000000000001e-10,2.2913671246877923e-09,Faraday
13.2,-6.63e-10,4.392278693924146e-09,Faraday
13.4,-8.840020000000002e-10,3.9378846770975905e-09,Faraday
13.6,-2.4309939999999997e-09,2.3955755342046722e-09,Faraday
13.8,-1.325994e-09,3.1642311214701113e-09,Faraday
14.0,1.104998e-09,3.6648628555609005e-09,Faraday
14.2,-8.839979999999998e-10,3.937885799527457e-09,Faraday
14.4,-1.988996e-09,2.3955743810368315e-09,Faraday
14.6,-4.42e-10,2.8814778760386134e-09,Faraday
14.8,-2.209994e-09,3.0261598272530156e-09,Faraday
15.0,-1.3260000000000002e-09,4.014654736101226e-09,Faraday
15.2,-6.629979999999999e-10,3.4591872586085884e-09,Faraday
