amu,p,err,type
1.0,1.3259976e-09,2.4460135256306944e-09,Faraday
1.2,3.6243899999999997e-09,2.0261011944125594e-09,Faraday
1.4,1.0828979999999998e-09,1.9711089236951113e-09,Faraday
1.6,-1.8121958e-09,3.1878731876328142e-09,Faraday
1.8,6.629800000000001e-11,2.0592657439291316e-09,Faraday
2.0,1.5911921999999998e-09,1.5021457325852908e-09,Faraday
2.2,1.0077499999999999e-08,2.440274354452794e-09,Faraday
2.4,-1.4806939999999998e-09,1.9100762597550916e-09,Faraday
2.6,-1.149198e-09,2.3265354962519912e-09,Faraday
2.8,6.850957999999999e-10,1.1834289049531873e-09,Faraday
3.0,-1.6000000000137258e-15,2.8204490504744628e-09,Faraday
3.2,-1.5248975999999998e-09,3.244630040731655e-09,Faraday
3.4,4.4199799999999996e-10,1.2791218358000539e-09,Faraday
3.6,-9.944954e-10,9.343585572596313e-10,Faraday
3.8,-5.304002e-10,2.4402655494126456e-09,Faraday
4.0,-7.513943999999999e-10,1.5219289244693064e-09,Faraday
4.2,6.187997999999996e-10,3.37395216007877e-09,Faraday
4.4,-1.2375955999999998e-09,1.7143492437004484e-09,Faraday
4.6,-2.7845759999999995e-09,3.351045645821614e-09,Faraday
4.8,-1.32598e-10,3.294115228793689e-09,Faraday
5.0,-2.0000000000171572e-16,9.72769645677074e-10,Faraday
5.2,7.513979999999999e-10,1.947738235010033e-09,Faraday
5.4,-2.2983922e-09,2.285237154613105e-09,Faraday
5.6,-1.3259800000000005e-10,2.1418115651407104e-09,Faraday
5.8,4.1989800000000005e-10,2.340660140242491e-09,Faraday
6.0,-1.0386957999999998e-09,2.3107361657982934e-09,Faraday
6.2,-2.121594e-09,2.4983678690457096e-09,Faraday
6.4,-1.546996e-09,3.0632538394785365e-09,Faraday
6.6,-3.9779619999999994e-10,2.4380130138972183e-09,Faraday
6.8,1.3260019999999992e-10,1.732058020910443e-09,Faraday
7.0,-8.839981999999999e-10,2.4032079654747317e-09,Faraday
7.2,-1.6795957999999998e-09,2.0500570789927286e-09,Faraday
7.4,-2.8729979999999997e-10,3.0827251405535166e-09,Faraday
7.6,-1.0828942e-09,1.5037692866870236e-09,Faraday
7.8,-1.6795939999999998e-09,2.298552350737307e-09,Faraday
8.0,-1.4143939999999997e-09,2.4738096988410402e-09,Faraday
8.2,5.524979999999999e-10,2.3993944104857998e-09,Faraday
8.4,-1.1491977999999998e-09,2.4191603323610445e-09,Faraday
8.6,-1.2154975999999998e-09,1.9059204890337896e-09,Faraday
8.8,-2.4530961999999998e-09,2.9093118617264456e-09,Faraday
9.0,-3.9779799999999994e-10,1.7464511313863034e-09,Faraday
9.2,-1.2817942e-09,1.4249736491013438e-09,Faraday
9.4,-1.0165975999999996e-09,4.23763437334656e-09,Faraday
9.6,-3.5359980000000004e-10,2.9787805005404815e-09,Faraday
9.8,-1.326020000000001e-10,2.239355620891979e-09,Faraday
10.0,-1.7237939999999995e-09,1.825085772787268e-09,Faraday
10.2,-9.723982e-10,2.376898236488302e-09,Faraday
10.4,-1.0828961999999999e-09,2.1813518069954233e-09,Faraday
10.6,7.071979999999998e-10,1.8582326073639166e-09,Faraday
10.8,-2.3646936e-09,2.5779880271200448e-09,Faraday
11.0,-1.9005944e-09,2.4415194174809054e-09,Faraday
11.2,1.3259980000000016e-10,3.4427354559129573e-09,Faraday
11.4,4.4200020000000014e-10,2.0345115471164574e-09,Faraday
11.6,-1.7237962e-09,2.622592267143751e-09,Faraday
11.8,-2.0552921999999997e-09,2.1563040216709237e-09,Faraday
12.0,8.840200000000029e-11,4.053547978391276e-09,Faraday
12.2,-6.629958e-10,1.6050967641635191e-09,Faraday
12.4,-2.6519999999999997e-10,3.285949039486157e-09,Faraday
12.6,-1.7680019999999986e-10,3.831489375288701e-09,Faraday
12.8,-8.83983999999999e-11,2.5335520004377845e-09,Faraday
13.0,-1.0386997999999999e-09,2.9953356755462647e-09,Faraday
13.2,-3.3149800000000003e-10,1.6031942907272653e-09,Faraday
13.4,-1.149198e-09,2.6062447057250785e-09,Faraday
13.6,1.3260159999999995e-10,3.1179721362084524e-09,Faraday
13.8,-4.419982e-10,2.3086221004250998e-09,Faraday
14.0,1.45859e-08,2.5161507556185905e-09,Faraday
14.2,1.7967200000000002e-08,1.4525602225037024e-09,Faraday
14.4,-2.3646938e-09,2.3094191313785376e-09,Faraday
14.6,-1.7016944000000001e-09,1.8049028112577973e-09,Faraday
14.8,-1.3259958e-09,2.563020257738553e-09,Faraday
15.0,-1.149198e-09,3.0388421713410026e-09,Faraday
15.2,-1.7680199999999994e-10,2.982056354450734e-09,Faraday
15.4,-1.5027957999999997e-09,2.246432986754379e-09,Faraday
15.6,-6.629979999999999e-10,1.6050972460634588e-09,Faraday
15.8,1.5469979999999998e-10,2.7653624609985938e-09,Faraday
16.0,2.696194e-09,3.4491157885869818e-09,Faraday
16.2,3.845389999999999e-09,2.2825673429276954e-09,Faraday
16.4,-1.6132939999999997e-09,1.8300964636544435e-09,Faraday
16.6,9.944975999999999e-10,1.6050971255872026e-09,Faraday
16.8,-7.735019999999999e-10,3.76267248244117e-09,Faraday
17.0,5.524971999999999e-09,2.926649374134181e-09,Faraday
17.2,9.3703e-09,1.8677442075937485e-09,Faraday
17.4,-4.419980000000005e-11,2.074037536774636e-09,Faraday
17.6,-1.5469957999999998e-09,2.420924917790347e-09,Faraday
17.8,9.502976e-10,1.4796233063076562e-09,Faraday
18.0,3.63102e-08,4.151918947908305e-09,Faraday
18.2,4.6255200000000004e-08,2.885298676047248e-09,Faraday
18.4,-1.5027998e-09,3.1830810087476877e-09,Faraday
18.6,-1.7679921999999999e-09,1.5171084822036292e-09,Faraday
18.8,-6.187958e-10,2.5708685062597424e-09,Faraday
19.0,1.3259983999999999e-09,3.120517002488898e-09,Faraday
19.2,6.850965999999999e-10,1.553688459082547e-09,Faraday
19.4,2.8730020000000004e-10,2.3160139303769744e-09,Faraday
19.6,2.0773782e-09,3.4025669291773237e-09,Faraday
