amu,p,err,type
1.0,5.303971999999999e-09,2.860193766446602e-09,Faraday
1.2,4.861989999999999e-09,1.6758154731353927e-09,Faraday
1.4,4.419959999999998e-10,2.9855370823488354e-09,Faraday
1.6,1.325996e-09,1.9766762658766357e-09,Faraday
1.8,4.42e-10,3.277951303802422e-09,Faraday
2.0,2.43099e-09,1.4407437315497853e-09,Faraday
2.2,1.03869e-08,1.8490186586403075e-09,Faraday
2.4,3.09399e-09,2.1255099388146835e-09,Faraday
2.6,1.5469939999999999e-09,1.8490144753435544e-09,Faraday
2.8,1.5469939999999999e-09,1.4825078515913497e-09,Faraday
3.0,-4.41998e-10,2.0073244780229227e-09,Faraday
3.2,-8.839959999999999e-10,1.210461374860842e-09,Faraday
3.4,1.104996e-09,3.0261589143797457e-09,Faraday
3.6,1.9889920000000004e-09,1.4407402802101425e-09,Faraday
3.8,1.325992e-09,9.245057436381885e-10,Faraday
4.0,-4.4199799999999996e-10,2.00732172561351e-09,Faraday
4.2,2.43098e-09,4.582714356912287e-09,Faraday
4.4,2.209996e-09,2.8172004366178848e-09,Faraday
4.6,4.4199799999999996e-10,1.8490102920400415e-09,Faraday
4.8,-6.62996e-10,1.2598855126875614e-09,Faraday
5.0,1.3259960000000001e-09,2.395574150403197e-09,Faraday
5.2,1.546992e-09,1.2598907750356775e-09,Faraday
5.4,1.3259979999999997e-09,3.1642290261799947e-09,Faraday
5.6,1.546996e-09,2.2913692947842345e-09,Faraday
5.8,1.104996e-09,1.7471505015538872e-09,Faraday
6.0,-2.210020000000001e-10,3.5290766597114322e-09,Faraday
6.2,-8.839959999999999e-10,2.125501620813308e-09,Faraday
6.4,6.62998e-10,3.546334585190743e-09,Faraday
6.6,4.4199799999999996e-10,1.2598859512154263e-09,Faraday
6.8,1.7679919999999998e-09,1.259890336505523e-09,Faraday
7.0,1.7679919999999998e-09,1.6758128356173908e-09,Faraday
7.2,3.0939759999999992e-09,4.0899548765090296e-09,Faraday
7.4,1.9889940000000002e-09,2.3955787630612358e-09,Faraday
7.6,-4.41998e-10,3.0860866660092356e-09,Faraday
7.8,1.546998e-09,3.1834640582422164e-09,Faraday
8.0,1.7679939999999998e-09,2.7735248006877457e-09,Faraday
8.2,1.325996e-09,2.860214241989575e-09,Faraday
8.4,1.5469939999999999e-09,2.420925944774024e-09,Faraday
8.6,-8.839820000000001e-10,4.515609799038221e-09,Faraday
8.8,1.9889919999999996e-09,2.125507599379499e-09,Faraday
9.0,2.209979999999999e-10,2.395575072935515e-09,Faraday
9.2,2.20998e-10,3.529076972824481e-09,Faraday
