amu,p,err,type
1.0,1.5469939999999999e-09,2.985537452466473e-09,Faraday
1.2,5.524938e-09,4.207664088032694e-09,Faraday
1.4,8.83998e-10,3.779671886568992e-09,Faraday
1.6,-2.6519759999999997e-09,4.250976857956298e-09,Faraday
1.8,-1.767982e-09,4.85441817957312e-09,Faraday
2.0,1.325996e-09,3.0662419115392706e-09,Faraday
2.2,1.0165918e-08,2.7513988954021193e-09,Faraday
2.4,-1.9889980000000002e-09,3.698027456647665e-09,Faraday
2.6,-1.767998e-09,3.6313926447122184e-09,Faraday
2.8,6.630000000000001e-10,2.661183059299003e-09,Faraday
3.0,-8.839939999999999e-10,2.7514201805758418e-09,Faraday
3.2,-2.6519759999999997e-09,4.1785560211489325e-09,Faraday
3.4,-1.326002e-09,4.378355566890382e-09,Faraday
3.6,-2.2100000000000004e-10,2.8602128898213156e-09,Faraday
3.8,-1.3259959999999997e-09,3.6145420816584772e-09,Faraday
4.0,-8.839820000000001e-10,4.378322379310368e-09,Faraday
4.2,0.0,3.405829003355864e-09,Faraday
4.4,-4.42e-10,2.291367124687792e-09,Faraday
4.6,-6.630000000000001e-10,2.8814807521567797e-09,Faraday
4.8,-1.546984e-09,4.59601062958736e-09,Faraday
5.0,-2.2100000000000004e-10,3.6980276060489327e-09,Faraday
5.2,-6.62998e-10,3.1834668350824704e-09,Faraday
5.4,-1.5469939999999999e-09,2.4209259447740236e-09,Faraday
5.6,-1.767984e-09,5.447053567964978e-09,Faraday
5.8,-2.2100199999999993e-10,3.779671886568992e-09,Faraday
6.0,-1.104996e-09,2.923546694527043e-09,Faraday
6.2,-1.10498e-09,4.350346170375411e-09,Faraday
6.4,-1.3259819999999998e-09,4.648841470965643e-09,Faraday
6.6,2.209979999999999e-10,3.066240830417598e-09,Faraday
6.8,-1.546996e-09,2.661183889752829e-09,Faraday
7.0,-2.210020000000001e-10,3.859589624574094e-09,Faraday
7.2,-2.2100199999999993e-10,4.648875936193609e-09,Faraday
7.4,-4.419980000000001e-10,3.1834640582422164e-09,Faraday
7.6,2.20998e-10,3.5290769728244805e-09,Faraday
7.8,4.4199799999999996e-10,3.875375125084022e-09,Faraday
8.0,-1.104998e-09,4.060019722873277e-09,Faraday
8.2,-1.999999999975798e-15,3.6648613480075888e-09,Faraday
8.4,-2.2100000000000004e-10,1.9766771043976807e-09,Faraday
8.6,-1.325998e-09,3.1642307722604553e-09,Faraday
8.8,-2.209839999999999e-10,5.264673267856231e-09,Faraday
9.0,-1.325996e-09,3.351623033707699e-09,Faraday
9.2,-2.651976e-09,3.2779191107896487e-09,Faraday
9.4,-2.2099760000000002e-09,3.664830443128304e-09,Faraday
9.6,2.0000000000585163e-15,3.664859840446835e-09,Faraday
9.8,-8.839959999999999e-10,2.125501620813308e-09,Faraday
10.0,-2.2100199999999993e-10,4.014656662788239e-09,Faraday
10.2,-4.42002e-10,4.7270134165369154e-09,Faraday
10.4,8.839959999999999e-10,1.44073529493797e-09,Faraday
10.6,2.209979999999999e-10,2.264567824126714e-09,Faraday
10.8,-1.988994e-09,3.6145420816584772e-09,Faraday
11.0,8.839979999999998e-10,3.6145393302770963e-09,Faraday
11.2,-2.209979999999999e-10,2.395575072935515e-09,Faraday
