amu,p,err,type
1.0,3.3812936e-09,2.5410148036905056e-09,Faraday
1.2,6.453153999999999e-09,2.8015234945347146e-09,Faraday
1.4,6.187962000000001e-10,1.1121537036905917e-09,Faraday
1.6,-5.303962e-10,3.074592886242372e-09,Faraday
1.8,2.5414918e-09,1.6975310133444393e-09,Faraday
2.0,4.1326918e-09,2.268074560969326e-09,Faraday
2.2,8.817817999999998e-09,2.07812949996385e-09,Faraday
2.4,1.1049958e-09,2.0300099975193967e-09,Faraday
2.6,1.104998e-10,2.1298069391498136e-09,Faraday
2.8,1.2596959999999997e-09,1.8827114262626656e-09,Faraday
3.0,-2.209759999999996e-11,2.465157522739328e-09,Faraday
3.2,1.3259980000000016e-10,3.3079844949228826e-09,Faraday
3.4,1.5469918e-09,7.852468736112229e-10,Faraday
3.6,-7.071957999999999e-10,2.5325878894775198e-09,Faraday
3.8,4.1989839999999997e-10,2.17574794948135e-09,Faraday
4.0,1.9226958e-09,2.5205069980419017e-09,Faraday
4.2,1.2817958e-09,1.5263358204139416e-09,Faraday
4.4,2.4309839999999997e-10,7.906692206117549e-10,Faraday
4.6,-2.7624939999999997e-09,2.609056265219284e-09,Faraday
4.8,1.3259940000000003e-10,1.8791429723281565e-09,Faraday
5.0,2.1436918e-09,1.6288890899524744e-09,Faraday
5.2,6.850963999999999e-10,1.8644674051681085e-09,Faraday
5.4,-1.9889918000000003e-09,1.715418840040589e-09,Faraday
5.6,8.619002e-10,2.6946953916723497e-09,Faraday
5.8,1.6574939999999999e-09,2.628869546036851e-09,Faraday
6.0,1.8784921999999997e-09,1.3328837983951187e-09,Faraday
6.2,-1.458594e-09,1.7179026686864419e-09,Faraday
6.4,2.430979999999999e-10,2.8617070746445203e-09,Faraday
6.6,8.397957999999998e-10,1.6175999819109173e-09,Faraday
6.8,2.430976e-10,4.515609921359461e-10,Faraday
7.0,-1.3260020000000005e-10,3.5250959593747515e-09,Faraday
7.2,4.862016e-10,3.2069677377582553e-09,Faraday
7.4,-1.0607982e-09,2.4641671793267594e-09,Faraday
7.6,-1.325994e-09,1.5390820943115737e-09,Faraday
7.8,-6.630001999999997e-10,2.830172157457952e-09,Faraday
8.0,1.2817962e-09,2.883175685495457e-09,Faraday
8.2,-1.325984e-10,7.631660623172391e-10,Faraday
8.4,-7.513962000000001e-10,2.1560161434071407e-09,Faraday
8.6,-1.9999999981560006e-16,3.0920167304447427e-09,Faraday
8.8,1.6132939999999997e-09,1.7655737727662357e-09,Faraday
9.0,6.629979999999993e-11,1.4919478498596053e-09,Faraday
9.2,-6.629961999999999e-10,9.914207049899148e-10,Faraday
9.4,8.839998000000001e-10,3.3824468643424684e-09,Faraday
9.6,1.8121958e-09,2.6446147940537955e-09,Faraday
9.8,-1.325996000000001e-10,1.36098340572187e-09,Faraday
10.0,-1.4806962e-09,2.4492588011851057e-09,Faraday
10.2,1.1712979999999997e-09,2.9973728945728453e-09,Faraday
10.4,1.0386954e-09,1.050035966324154e-09,Faraday
10.6,-2.8729799999999996e-10,1.2220076928035273e-09,Faraday
10.8,1.7680059999999996e-10,1.949621653642137e-09,Faraday
11.0,-1.5469799999999995e-10,2.746531286208114e-09,Faraday
11.2,-4.861979999999998e-10,1.7638407952873749e-09,Faraday
11.4,-4.1989579999999997e-10,1.2776885959725086e-09,Faraday
11.6,-3.314983999999999e-10,1.7348771494899284e-09,Faraday
11.8,1.3701962000000001e-09,2.624919123607849e-09,Faraday
12.0,9.72394e-10,1.9049549525067515e-09,Faraday
12.2,-8.618961999999999e-10,2.1403848748255996e-09,Faraday
12.4,3.79999999997056e-15,3.0089612822504377e-09,Faraday
12.6,7.955975999999998e-10,2.8252069309907727e-09,Faraday
12.8,-1.4806958e-09,2.2491492239685207e-09,Faraday
13.0,-1.7458962e-09,3.1732849776504785e-09,Faraday
13.2,4.861979999999999e-10,1.955872937736626e-09,Faraday
13.4,6.629799999999998e-11,2.1134012939146222e-09,Faraday
13.6,-4.419976e-10,1.9843825430894868e-09,Faraday
13.8,4.419998000000001e-10,2.1821931886408912e-09,Faraday
14.0,6.6520540000000004e-09,2.4100215971916106e-09,Faraday
14.2,7.712836e-09,1.022905608514295e-09,Faraday
14.4,-1.3701943999999997e-09,1.72003594172805e-09,Faraday
14.6,-1.414398e-09,3.2633896460766064e-09,Faraday
14.8,1.988979999999999e-10,2.193910884486993e-09,Faraday
15.0,-8.618962e-10,2.4490070269156435e-09,Faraday
15.2,-2.872998000000001e-10,2.297486941257817e-09,Faraday
15.4,-2.651958000000001e-10,3.1945692450513885e-09,Faraday
15.6,2.0331918e-09,1.0955641979666002e-09,Faraday
15.8,-1.85639e-09,8.39363702455616e-10,Faraday
16.0,9.060998e-10,4.1517630802648415e-09,Faraday
16.2,3.13819e-09,1.3319719685488876e-09,Faraday
16.4,2.0000000006375426e-16,1.2304661581490976e-09,Faraday
16.6,-8.397958e-10,1.5243315353715542e-09,Faraday
16.8,2.4310060000000005e-10,2.558730508895046e-09,Faraday
17.0,1.1072e-08,2.258366981914145e-09,Faraday
17.2,1.0873118000000002e-08,3.270098016133462e-09,Faraday
17.4,-1.1933961999999999e-09,3.3728675425566593e-09,Faraday
17.6,1.3259922e-09,9.278010154522357e-10,Faraday
17.8,4.83989e-09,9.582331657796029e-10,Faraday
18.0,4.0420800000000004e-08,6.342642247123827e-09,Faraday
18.2,4.8796699999999994e-08,9.449397663343412e-09,Faraday
18.4,1.524896e-09,2.8187190098660066e-09,Faraday
18.6,1.2375962e-09,2.7926048118704876e-09,Faraday
18.8,-8.176940000000001e-10,2.194188336966542e-09,Faraday
19.0,1.3480958e-09,2.229792844779129e-09,Faraday
19.2,2.4309936e-09,2.6874423651074455e-09,Faraday
19.4,5.083002000000001e-10,2.6237545256178596e-09,Faraday
19.6,1.5469979999999998e-10,1.399029755545142e-09,Faraday
19.8,2.7558600000000004e-08,2.830827984000441e-09,Faraday
20.0,1.7372720000000004e-07,4.30994613655437e-09,Faraday
20.2,1.883576e-07,5.526664256131377e-09,Faraday
20.4,-1.3701958e-09,1.8762191064421824e-09,Faraday
20.6,4.4200199999999934e-11,1.7447011327159157e-09,Faraday
20.8,1.1712958e-09,1.9464859113228125e-09,Faraday
21.0,-2.2099839999999986e-10,2.4485079542595525e-09,Faraday
21.2,8.176976e-10,1.3569396417189304e-09,Faraday
21.4,1.4364940000000001e-09,3.3076166109572004e-09,Faraday
21.6,-1.999999999934439e-15,2.5342727675055024e-09,Faraday
21.8,1.3259944e-09,1.7242902988726404e-09,Faraday
22.0,8.243254000000001e-09,3.6761382494990585e-09,Faraday
22.2,1.0806836000000001e-08,3.6493010911584146e-09,Faraday
22.4,-6.629958e-10,9.696285790335906e-10,Faraday
22.6,1.0386958e-09,2.167594873627957e-09,Faraday
22.8,1.767997999999999e-10,2.134957917032605e-09,Faraday
23.0,1.7679999999999997e-10,2.0857788473613396e-09,Faraday
23.2,2.210160000000001e-11,3.1857662959910132e-09,Faraday
23.4,3.977979999999999e-10,2.603902638554387e-09,Faraday
23.6,7.955979999999999e-10,3.084505682774875e-09,Faraday
23.8,1.3922977999999998e-09,2.395065117845275e-09,Faraday
24.0,5.082976e-10,7.437197639694672e-10,Faraday
24.2,3.0939780000000006e-10,3.447166782086297e-09,Faraday
24.4,8.39798e-10,2.1234914745697707e-09,Faraday
24.6,1.5248962000000004e-09,3.2153321850754703e-09,Faraday
24.8,6.62998e-10,2.3191768132400986e-09,Faraday
25.0,2.651961999999999e-10,2.378437870216962e-09,Faraday
25.2,7.292998e-10,3.411740588468033e-09,Faraday
25.4,1.7900962e-09,2.357555044539194e-09,Faraday
25.6,5.08298e-10,2.4417666012173436e-09,Faraday
25.8,1.4585962e-09,3.040649858834818e-09,Faraday
26.0,6.408800000000002e-10,5.014882214927884e-09,Faraday
26.2,2.2099819999999996e-10,1.1901168728413608e-09,Faraday
26.4,8.83998e-11,1.6020525016367907e-09,Faraday
26.6,-9.28198e-10,3.421565999088721e-09,Faraday
26.8,2.0773782e-09,3.732013805210426e-09,Faraday
27.0,1.4585979999999999e-09,2.922918561664009e-09,Faraday
27.2,2.4309760000000003e-10,2.484891466627526e-09,Faraday
27.4,-1.6574922e-09,1.820733733354276e-09,Faraday
27.6,3.3812737999999994e-09,2.9428778659446944e-09,Faraday
27.8,2.07076e-08,1.8099751586693116e-09,Faraday
28.0,1.1527279999999999e-07,4.832767240412061e-09,Faraday
28.2,1.339032e-07,4.330522451159887e-09,Faraday
28.4,6.188141999999997e-10,5.164338985235497e-09,Faraday
28.6,1.5248940000000001e-09,2.437763591097381e-09,Faraday
28.8,-2.8730000000000003e-10,2.3461318894299183e-09,Faraday
29.0,1.3260019999999987e-10,3.0113940182746266e-09,Faraday
29.2,2.3867975999999997e-09,3.761539611797049e-09,Faraday
29.4,-2.21002e-11,2.806777880827088e-09,Faraday
29.6,-7.955975999999999e-10,2.6547531792368753e-09,Faraday
29.8,4.420200000000005e-11,2.075510270829923e-09,Faraday
30.0,9.944961999999999e-10,1.9250431842643687e-09,Faraday
30.2,1.5911958e-09,2.673315136899913e-09,Faraday
