amu,p,err,type
1.0,1.4365480000000002e-09,4.7817366824199015e-11,Faraday
1.2,1.4541200000000001e-09,3.613505707758064e-11,Faraday
1.4,6.413964e-10,3.9894772192606846e-11,Faraday
1.6,6.629954e-11,1.4950757377403996e-11,Faraday
1.8,1.3536139999999999e-11,5.111201994509706e-11,Faraday
2.0,9.56038e-10,3.413638996730622e-11,Faraday
2.2,1.943632e-09,3.23614472791315e-11,Faraday
2.4,8.304064e-10,5.112633895850547e-11,Faraday
2.6,5.989070799999998e-11,4.210558860116219e-11,Faraday
2.8,2.9613841999999996e-11,5.66732084794378e-11,Faraday
3.0,1.5138460000000005e-11,3.535636506717001e-11,Faraday
3.2,7.237622e-12,3.6111576145003977e-11,Faraday
3.4,-1.160244000000001e-12,3.7698396091171835e-11,Faraday
3.6,1.4199227999999999e-11,2.3289131042761554e-11,Faraday
3.8,3.3148800000000013e-12,5.055151873620613e-11,Faraday
4.0,2.602258e-11,3.581930633180939e-11,Faraday
4.2,1.95031898e-11,1.973261796449524e-11,Faraday
4.4,8.72945e-12,3.9012610994572e-11,Faraday
4.6,1.9889979999999998e-12,3.934322878174236e-11,Faraday
4.8,-1.2000000000077094e-16,4.477645231075146e-11,Faraday
5.0,-6.2985480000000005e-12,3.805282092009106e-11,Faraday
5.2,3.5912199999999997e-12,2.8406030737978862e-11,Faraday
5.4,-4.475209799999999e-12,3.728110953044759e-11,Faraday
5.6,1.005548e-11,3.540662041909677e-11,Faraday
5.8,2.4530917999999998e-11,3.383878138462761e-11,Faraday
6.0,1.6906368e-11,4.131993532921028e-11,Faraday
6.2,7.3481598e-12,4.1135795224850466e-11,Faraday
6.4,1.4199217999999998e-11,3.935584701217368e-11,Faraday
6.6,2.6518600000000008e-12,5.1251916892278284e-11,Faraday
6.8,9.116218000000001e-12,3.3268790204644055e-11,Faraday
7.0,7.900739999999999e-12,3.832231210376013e-11,Faraday
7.2,-1.1050599999999987e-12,4.5411181288676035e-11,Faraday
7.4,2.215504e-11,3.9948267316030114e-11,Faraday
7.6,1.58014e-11,3.9345474624154685e-11,Faraday
7.8,1.5359440000000002e-11,2.842458099555735e-11,Faraday
8.0,8.342612e-12,5.1637896150247254e-11,Faraday
8.2,-3.812202e-12,3.830137618081131e-11,Faraday
8.4,-4.6962199999999996e-12,3.6688152610168316e-11,Faraday
8.6,6.077508e-12,3.1562641275395825e-11,Faraday
8.8,9.39092000000002e-13,4.540322736795613e-11,Faraday
9.0,5.469702000000002e-12,5.6688361229899035e-11,Faraday
9.2,1.386774e-11,3.555545785477948e-11,Faraday
9.4,-6.409000000000001e-12,3.3453806203554775e-11,Faraday
9.6,1.2210248e-11,2.7653513989320053e-11,Faraday
9.8,1.3812443799999997e-11,3.030188228721076e-11,Faraday
10.0,-7.182520000000002e-13,3.70259757349826e-11,Faraday
10.2,4.475261999999999e-12,2.9288567079096235e-11,Faraday
10.4,1.629872e-11,5.04724160070211e-11,Faraday
10.6,1.8508706000000002e-11,5.085126335160102e-11,Faraday
10.8,2.2087999999999903e-13,3.744576016623244e-11,Faraday
11.0,8.50848e-12,4.131449414735705e-11,Faraday
11.2,1.4917599999999997e-12,2.3361106964606793e-11,Faraday
11.4,9.558219999999997e-12,3.345556305634386e-11,Faraday
11.6,2.2597206e-11,2.083204688122077e-11,Faraday
11.8,1.4641228000000002e-11,2.197618098520464e-11,Faraday
12.0,2.657512e-11,3.44416334729786e-11,Faraday
12.2,4.11609e-11,2.661374174726282e-11,Faraday
12.4,6.35376e-12,1.970392352522715e-11,Faraday
12.6,-6.077300000000002e-13,8.028799743162112e-12,Faraday
12.8,8.398e-12,3.791294297024434e-11,Faraday
13.0,1.5856599999999993e-11,5.681006349155931e-11,Faraday
13.2,2.8177348000000004e-11,4.00130771837848e-11,Faraday
13.4,1.5359440000000002e-11,3.940964048939041e-11,Faraday
13.6,1.1602599999999993e-12,2.871889759048909e-11,Faraday
13.8,6.408817999999999e-12,4.025703766425344e-11,Faraday
14.0,9.779068000000002e-12,4.3609725830898325e-11,Faraday
14.2,2.1547480200000002e-11,2.6866583135226002e-11,Faraday
14.4,1.9171601999999998e-11,5.6496901758654166e-11,Faraday
14.6,1.2707399999999999e-11,5.180051010632038e-11,Faraday
14.8,1.436492e-11,3.8474090657051274e-11,Faraday
15.0,2.0442359999999995e-11,3.467097770373659e-11,Faraday
15.2,2.226571e-11,4.40513980414277e-11,Faraday
15.4,-5.856601999999999e-12,4.324730336832598e-11,Faraday
15.6,-3.3146000000000054e-13,3.566368167075575e-11,Faraday
15.8,1.9337599999999984e-12,2.345676017053506e-11,Faraday
16.0,1.0464300000000001e-10,2.3533587263738617e-11,Faraday
16.2,1.74534e-10,3.3189292339548306e-11,Faraday
16.4,9.049906e-11,4.013616815713727e-11,Faraday
16.6,2.000018e-11,4.52010597194579e-11,Faraday
16.8,5.3978960000000004e-11,4.3564321108941886e-11,Faraday
17.0,8.375336e-10,3.382857025208128e-11,Faraday
17.2,1.2256599999999999e-09,4.0113434781878356e-11,Faraday
17.4,4.2514780000000005e-10,3.5618602705608776e-11,Faraday
17.6,3.972438e-11,4.94044524792756e-11,Faraday
17.8,1.644234e-10,2.4670294836097913e-11,Faraday
18.0,3.24085e-09,5.90366085577414e-11,Faraday
18.2,4.832209999999999e-09,7.022851877976625e-11,Faraday
18.4,1.6530179999999997e-09,3.171896388597841e-11,Faraday
18.6,1.49561e-10,2.070189981620045e-11,Faraday
18.8,2.0519779999999994e-10,4.789173583406642e-11,Faraday
19.0,8.216216e-10,3.7478506057472476e-11,Faraday
19.2,1.041014e-09,6.091680621963045e-11,Faraday
19.4,3.5017379999999996e-10,3.875234694441099e-11,Faraday
19.6,3.0387276e-11,3.032619700844189e-11,Faraday
19.8,-2.524906e-11,3.996092801328568e-11,Faraday
20.0,3.314992800000001e-11,4.352482754977807e-11,Faraday
20.2,2.5304338e-11,3.8953210494671936e-11,Faraday
20.4,1.0055460000000002e-11,3.376548311616465e-11,Faraday
20.6,7.73498e-12,2.7326360835570473e-11,Faraday
20.8,2.0995159999999996e-12,2.4749083315935766e-11,Faraday
21.0,4.4202000000000083e-13,3.208041779794646e-11,Faraday
21.2,1.878485e-11,4.2731458136088684e-11,Faraday
21.4,2.5414922000000004e-11,3.4971988899223624e-11,Faraday
21.6,-3.7016598e-12,4.1306604997234763e-11,Faraday
21.8,1.3812490200000002e-11,2.733753683518104e-11,Faraday
22.0,1.143658e-11,5.136970726714334e-11,Faraday
22.2,1.486212e-11,5.92996801799723e-11,Faraday
22.4,1.2486340000000002e-11,4.384276505979066e-11,Faraday
22.6,4.530412e-12,4.3429331501874634e-11,Faraday
22.8,1.7403638e-11,4.815137740692077e-11,Faraday
23.0,7.62448e-12,3.8608507949116606e-11,Faraday
23.2,4.419888e-12,4.199600753230859e-11,Faraday
23.4,2.6188442e-11,2.3335661904654003e-11,Faraday
23.6,8.453248000000001e-12,1.914566440796767e-11,Faraday
23.8,1.5967106000000004e-11,4.738497295493983e-11,Faraday
24.0,1.2265300000000001e-11,4.748955045412622e-11,Faraday
24.2,1.0607907999999997e-11,4.3781950097229786e-11,Faraday
24.4,2.602256e-11,5.12822293021959e-11,Faraday
24.6,2.7845785999999997e-11,5.235109205945783e-11,Faraday
24.8,6.850960000000001e-12,3.0955580920699905e-11,Faraday
25.0,1.2983582e-11,3.162337332985082e-11,Faraday
25.2,-1.2210240000000002e-11,4.16085195203218e-11,Faraday
25.4,1.0552628e-11,3.24254479884846e-11,Faraday
25.6,1.7790344e-11,3.958620571620725e-11,Faraday
25.8,-9.4477898e-12,4.4377411281416814e-11,Faraday
26.0,1.0884222e-11,4.535015793049645e-11,Faraday
26.2,7.67976e-12,2.5690020615806248e-11,Faraday
26.4,1.2486364e-11,3.466126937491875e-11,Faraday
26.6,3.6851638e-11,3.483240560173414e-11,Faraday
26.8,8.232258e-12,2.7113538380425748e-11,Faraday
27.0,-8.287458e-12,3.342904556497717e-11,Faraday
27.2,1.0496979999999991e-12,4.2754475854154965e-11,Faraday
27.4,1.9116290000000005e-11,4.876667811161429e-11,Faraday
27.6,1.0663224e-11,2.41474059952064e-11,Faraday
27.8,5.431027800000001e-11,3.5944761101319346e-11,Faraday
28.0,4.177444e-10,1.5892652085161884e-11,Faraday
28.2,5.706763999999999e-10,3.7434409095109245e-11,Faraday
28.4,1.9436920000000003e-10,4.909315775849013e-11,Faraday
28.6,2.5912182000000004e-11,4.2360991108490605e-11,Faraday
28.8,7.292919999999999e-12,3.9829906559857756e-11,Faraday
29.0,2.7956406e-11,3.780494827414634e-11,Faraday
29.2,2.0221428e-11,3.3850602523188865e-11,Faraday
29.4,1.0607940000000001e-11,5.175919348712845e-11,Faraday
29.6,-7.292862000000001e-12,3.766532712639995e-11,Faraday
29.8,1.1215582000000002e-11,4.819933767106266e-11,Faraday
30.0,2.408876e-11,3.3633793884321167e-11,Faraday
30.2,3.5635882e-11,3.720160442538225e-11,Faraday
30.4,4.4202999999999963e-13,4.090335324567902e-11,Faraday
30.6,1.4033420000000002e-11,3.9393571913283005e-11,Faraday
30.8,7.34826e-12,3.650025004569147e-11,Faraday
31.0,1.5690978e-11,1.715239202471247e-11,Faraday
31.2,1.1436740000000002e-11,2.7362383823906863e-11,Faraday
31.4,2.0441020000000017e-12,4.2383708828328366e-11,Faraday
31.6,2.7627800000000007e-13,2.157134264228632e-11,Faraday
31.8,1.4696306e-11,3.75632194533746e-11,Faraday
32.0,1.153612e-10,2.9298622095586695e-11,Faraday
32.2,1.4409119999999999e-10,1.7917681272977263e-11,Faraday
32.4,5.613376000000001e-11,3.672517766959066e-11,Faraday
