amu,p,err,type
1.0,6.200853333333332e-09,1.7113266917024728e-09,Faraday
1.2,5.18244e-09,8.71269902211708e-10,Faraday
1.4,3.1253e-09,3.5576445620663117e-10,Faraday
1.6,1.6722293333333334e-09,1.6159164240332273e-09,Faraday
1.8,-1.5470033333333329e-10,6.316878274918184e-10,Faraday
2.0,2.7938000000000004e-09,1.7911242414472536e-09,Faraday
2.2,6.151126666666666e-09,2.137154397448469e-09,Faraday
2.4,3.871173333333333e-09,7.625567558112201e-10,Faraday
2.6,8.637376666666667e-10,1.3263392631726364e-10,Faraday
2.8,7.274543333333335e-10,9.013377802524054e-10,Faraday
3.0,2.173159666666667e-10,2.915885202448878e-10,Faraday
3.2,1.5911966300000001e-09,2.7368999184254472e-09,Faraday
3.4,3.4254659999999997e-10,5.646265785700049e-10,Faraday
3.6,5.598633033333333e-10,9.507170992089534e-10,Faraday
3.8,1.3241549999999998e-09,2.2983300323958064e-09,Faraday
4.0,1.1970796666666667e-10,1.8393576358420171e-10,Faraday
4.2,6.740466666666666e-10,1.1391093505490784e-09,Faraday
4.4,5.690716300000001e-10,9.427962920381953e-10,Faraday
4.6,7.845466333333333e-10,1.3302692389787125e-09,Faraday
4.8,-3.6464666666666663e-10,6.415368999428975e-10,Faraday
5.0,8.618966666666667e-10,1.4549481914842683e-09,Faraday
5.2,1.1584049333333332e-09,1.963370751356835e-09,Faraday
5.4,1.3002133e-09,2.2233886231920116e-09,Faraday
5.6,8.269049333333332e-10,1.389247084209106e-09,Faraday
5.8,7.642882666666665e-10,1.25204185592116e-09,Faraday
6.0,1.9024382666666667e-09,3.232918814974094e-09,Faraday
6.2,1.2541716666666669e-09,2.167801745484546e-09,Faraday
6.4,1.21918e-09,2.1024678653822534e-09,Faraday
6.6,9.245130333333332e-10,1.5926933161231018e-09,Faraday
6.8,7.845465999999999e-10,1.330177477492259e-09,Faraday
7.0,6.961467e-10,1.215343506303329e-09,Faraday
7.2,9.59505e-10,1.657515711657814e-09,Faraday
7.4,8.084883333333333e-10,1.405347602084923e-09,Faraday
7.6,2.0405633033333328e-09,3.4961902126859866e-09,Faraday
7.8,-3.7201330333333325e-10,6.348726090144282e-10,Faraday
8.0,1.1049933333333332e-11,1.1049950000037708e-11,Faraday
8.2,1.742213303333333e-09,2.9889749974338668e-09,Faraday
8.4,5.377632666666667e-10,8.740858378649109e-10,Faraday
8.6,9.816049333333332e-10,1.638101657930149e-09,Faraday
8.8,7.182465999999999e-10,1.1962429101284863e-09,Faraday
9.0,3.8122166666666665e-10,6.275379226236796e-10,Faraday
9.2,1.1142049999999999e-09,1.906177944539153e-09,Faraday
9.4,4.1989636666666673e-10,6.900888603167011e-10,Faraday
9.6,1.289163e-11,1.77603351930559e-11,Faraday
9.8,1.7864132666666666e-09,3.046330851806153e-09,Faraday
10.0,1.2523300000000002e-09,2.169275091315071e-09,Faraday
10.2,1.7587882666666665e-09,2.9745505005594545e-09,Faraday
10.4,7.164049333333332e-10,1.1978664413796318e-09,Faraday
10.6,1.15840497e-09,1.9635883725341226e-09,Faraday
10.8,7.090383333333332e-10,1.2045498213361051e-09,Faraday
11.0,8.821549999999998e-10,1.5334413625673822e-09,Faraday
11.2,1.5562049333333337e-09,2.6715036612465094e-09,Faraday
11.4,9.374049333333333e-10,1.5806303839239275e-09,Faraday
11.6,6.777299333333333e-10,1.1355845287014098e-09,Faraday
11.8,5.617049666666667e-10,9.490781913167131e-10,Faraday
12.0,3.1492429999999996e-10,3.99293245275662e-10,Faraday
12.2,1.381246e-09,2.1531504640066376e-09,Faraday
12.4,1.970573333333333e-10,1.1905488317718573e-10,Faraday
12.6,1.0202796699999999e-09,1.700764444366793e-09,Faraday
12.8,8.490049999999999e-10,1.4661748895996375e-09,Faraday
13.0,1.8987549333333333e-09,3.236136972379028e-09,Faraday
13.2,1.9337460000000002e-10,3.1102312199058447e-10,Faraday
13.4,5.322382666666667e-10,8.788398562215435e-10,Faraday
13.6,1.357305e-09,2.3653546379364576e-09,Faraday
13.8,1.5046383333333334e-09,2.620885193692361e-09,Faraday
14.0,8.305882666666665e-10,1.3860573820006525e-09,Faraday
14.2,5.156626666666666e-11,5.1335425571464127e-11,Faraday
14.4,2.163955e-09,3.772174910133743e-09,Faraday
14.6,8.563716666666667e-10,1.4595670546212815e-09,Faraday
14.8,1.5341050333333333e-09,2.6907107953191482e-09,Faraday
15.0,3.186079333333333e-10,4.897131572217591e-10,Faraday
15.2,1.9116462999999998e-09,3.225061556355935e-09,Faraday
15.4,6.869382666666666e-10,1.1276944720816465e-09,Faraday
15.6,4.1989663000000005e-10,6.892034075105982e-10,Faraday
15.8,1.5230543333333334e-09,2.508857903062733e-09,Faraday
16.0,8.305876666666667e-10,8.119317311574499e-10,Faraday
16.2,1.3517793333333331e-09,1.317592436713771e-09,Faraday
16.4,1.348096e-09,1.79907597766937e-09,Faraday
16.6,1.0810543333333335e-09,1.7432731229673487e-09,Faraday
16.8,1.0736876666666664e-09,1.4626109448381455e-09,Faraday
17.0,3.902453333333334e-09,3.3190525192038367e-09,Faraday
17.2,4.147423333333333e-09,1.4800951500945246e-09,Faraday
17.4,2.1381666666666666e-09,5.422652281248847e-10,Faraday
17.6,1.7716793333333335e-09,2.1978154518772347e-09,Faraday
17.8,1.082896e-09,4.99572155576149e-10,Faraday
18.0,1.1628200000000001e-08,6.5807253240049464e-09,Faraday
18.2,1.5267333333333333e-08,3.0494330396539843e-09,Faraday
18.4,7.027763333333334e-09,8.241469505090305e-10,Faraday
18.6,2.2910233333333335e-09,6.961792321904851e-10,Faraday
18.8,1.3830876666666666e-09,1.3859918299940778e-09,Faraday
19.0,1.329679333333333e-09,8.58138354454183e-10,Faraday
19.2,1.26706e-09,3.3924891937926634e-10,Faraday
19.4,1.033171e-09,7.324897970122176e-10,Faraday
19.6,5.027710000000001e-10,6.182766269049802e-10,Faraday
19.8,1.8711296333333333e-09,3.1644564778308777e-09,Faraday
20.0,1.5156879666666667e-09,2.515212993131159e-09,Faraday
20.2,3.351826333333333e-10,4.754173385522485e-10,Faraday
20.4,2.8361626666666663e-10,4.242868663281993e-10,Faraday
20.6,2.2634049333333337e-09,3.877294005589917e-09,Faraday
20.8,7.790216299999998e-10,1.3349536257640073e-09,Faraday
21.0,1.0607966999999999e-09,1.85652574039351e-09,Faraday
21.2,-5.7091400000000013e-11,1.419750238935356e-10,Faraday
21.4,1.4530716000000001e-09,2.473744780600895e-09,Faraday
21.6,1.8840216666666665e-09,3.248924426181816e-09,Faraday
