amu,p,err,type
1.0,1.360722857142857e-08,7.391484170184989e-10,Faraday
1.2,1.4091057142857144e-08,1.2978340748008986e-10,Faraday
1.4,1.4581985714285717e-08,1.02742592341017e-09,Faraday
1.6,1.343672857142857e-08,3.668484869547002e-10,Faraday
1.8,1.3812414285714284e-08,1.0729778646809249e-09,Faraday
2.0,1.4215771428571428e-08,1.6257819654085279e-09,Faraday
2.2,1.2596142857142858e-08,3.5159896120979944e-10,Faraday
2.4,8.962285714285715e-09,6.429770535785638e-10,Faraday
2.6,3.528887142857143e-09,3.020563543840939e-10,Faraday
2.8,8.611084285714286e-10,1.621291484350847e-10,Faraday
3.0,-1.3654585714285716e-10,9.634483070729895e-10,Faraday
3.2,2.4309784285714285e-10,4.294209206385652e-10,Faraday
3.4,2.249445285714286e-10,4.369108017087078e-10,Faraday
3.6,4.104238571428572e-11,3.171531640282702e-11,Faraday
3.8,-2.8098475714285706e-10,8.99878294728109e-10,Faraday
4.0,1.2628484285714284e-10,1.4026053329895117e-10,Faraday
4.2,2.2257654285714285e-10,4.385612350444647e-10,Faraday
4.4,-3.559668585714285e-10,1.0618259735324679e-09,Faraday
4.6,4.790946857142858e-10,1.15370187788154e-09,Faraday
4.8,-4.9724872857142864e-11,1.275142437605416e-10,Faraday
5.0,-1.1839255714285713e-11,6.278587965915369e-11,Faraday
5.2,3.1571287e-10,8.358517733554886e-10,Faraday
5.4,-4.356842428571428e-10,1.123689552562008e-09,Faraday
5.6,-6.061701314285714e-10,1.6331912482642742e-09,Faraday
5.8,7.892841571428571e-11,2.125436821014135e-10,Faraday
6.0,7.34033e-11,1.6763318133193878e-10,Faraday
6.2,-1.973201428571429e-10,5.472102687040417e-10,Faraday
6.4,-9.100450585714285e-10,2.4736021343367727e-09,Faraday
6.6,-3.409700314285714e-10,9.216489797912229e-10,Faraday
6.8,1.6969504285714287e-10,4.620165374219191e-10,Faraday
7.0,-4.869878028571429e-10,1.2472088703272364e-09,Faraday
7.2,-4.727807714285714e-10,1.3021151838893946e-09,Faraday
7.4,4.672557014285715e-10,1.207196533599784e-09,Faraday
7.6,3.756985842857143e-10,1.0044173067119163e-09,Faraday
7.8,-1.0181774285714286e-10,2.96585549647258e-10,Faraday
8.0,-5.998557142857142e-10,1.5871780302994508e-09,Faraday
8.2,3.472848571428572e-11,1.321658712823956e-10,Faraday
8.4,-2.2494498571428574e-10,5.835202317792202e-10,Faraday
8.6,-4.4436628714285706e-10,1.1691088041350589e-09,Faraday
8.8,-4.57784442857143e-11,1.2750284419507955e-10,Faraday
9.0,3.393908571428571e-11,3.8068558630424865e-11,Faraday
9.2,-3.157127285714285e-10,8.360465771157643e-10,Faraday
9.4,-6.203771999999999e-10,1.6757379370882738e-09,Faraday
9.6,-3.0229502999999997e-10,8.416824891039804e-10,Faraday
9.8,1.2944266999999997e-10,2.8511064297287804e-10,Faraday
10.0,2.241557128571429e-10,5.838178333591571e-10,Faraday
10.2,-8.105950314285714e-10,2.176387410401399e-09,Faraday
10.4,-3.4097014142857133e-10,9.221676645843567e-10,Faraday
10.6,-2.1231638285714292e-10,5.398357426125476e-10,Faraday
10.8,4.104267e-11,8.10030648293094e-11,Faraday
11.0,-5.327665428571428e-10,1.4220259008043407e-09,Faraday
11.2,-1.1444615571428568e-10,2.92089041391508e-10,Faraday
11.4,-6.156415857142857e-11,1.6997542157191144e-10,Faraday
11.6,1.8942692857142856e-10,4.0406125931699477e-10,Faraday
11.8,-2.7545961428571423e-10,8.534218677272092e-10,Faraday
12.0,-1.531207157142857e-10,5.665326214024094e-10,Faraday
12.2,1.5154211428571428e-10,2.2746297813773584e-10,Faraday
12.4,-1.862702142857143e-10,6.006961287554533e-10,Faraday
12.6,-4.751486128571428e-10,1.3011776900288613e-09,Faraday
12.8,2.494128157142857e-10,6.215069948918318e-10,Faraday
13.0,2.951914142857143e-10,7.472468223534587e-10,Faraday
13.2,-4.6488800142857144e-10,1.2571428076644528e-09,Faraday
13.4,-5.580238857142856e-10,1.557118434336234e-09,Faraday
13.6,-2.446771700000001e-10,6.719046177385198e-10,Faraday
13.8,2.5888394285714285e-10,5.684758927169819e-10,Faraday
14.0,-5.059309285714285e-10,1.433741099693387e-09,Faraday
14.2,-5.296093557142858e-10,1.471954866472579e-09,Faraday
14.4,-4.806736285714286e-10,1.3474393748187642e-09,Faraday
14.6,5.524982857142858e-11,1.244859423394427e-10,Faraday
14.8,-6.124843300000001e-10,1.6792642692751741e-09,Faraday
15.0,-2.612524728571428e-10,8.108150864786953e-10,Faraday
15.2,-6.116952142857143e-10,1.728110713886976e-09,Faraday
15.4,2.454655714285714e-10,3.803646344044344e-10,Faraday
15.6,-1.4996371428571424e-10,9.08638204530038e-10,Faraday
15.8,-1.578514285714281e-11,8.711864985668355e-10,Faraday
16.0,-6.077442857142851e-11,1.2890151680096522e-09,Faraday
16.2,3.6149214285714287e-10,2.0975183567923675e-10,Faraday
16.4,3.9622199999999997e-10,7.597500717635152e-10,Faraday
16.6,9.802885714285715e-10,1.5043531059055313e-09,Faraday
16.8,3.0419000000000004e-09,1.1927968725087548e-09,Faraday
17.0,3.6299185714285714e-09,5.440075735204603e-10,Faraday
17.2,3.2029142857142858e-09,9.254220604649742e-10,Faraday
17.4,2.9582355714285713e-09,1.1100312273568188e-09,Faraday
17.6,6.9133328571428574e-09,2.409683811137292e-09,Faraday
17.8,1.0949685714285715e-08,2.0427961127080783e-09,Faraday
18.0,1.4071314285714288e-08,1.0072325408904208e-09,Faraday
18.2,1.4684599999999999e-08,3.474649622623838e-10,Faraday
18.4,9.205384285714285e-09,1.088262156404377e-09,Faraday
18.6,3.9874641428571435e-09,1.5172669854435013e-09,Faraday
18.8,2.7451271428571427e-09,7.236591946654237e-10,Faraday
19.0,2.9732299999999997e-09,5.422986752703714e-10,Faraday
19.2,2.735655714285714e-09,5.970951722815257e-10,Faraday
19.4,1.0150171428571428e-09,1.1299145518830807e-09,Faraday
19.6,2.2494699999999998e-10,6.356087303152782e-10,Faraday
19.8,-8.997799999999995e-11,5.459813543318122e-10,Faraday
20.0,5.414481157142857e-10,1.3207680501299025e-09,Faraday
20.2,1.586460842857143e-10,3.205880160260752e-10,Faraday
20.4,-8.840015857142856e-11,3.5506397600980636e-10,Faraday
20.6,1.4206985714285715e-11,4.6973733812008476e-11,Faraday
20.8,-9.94497e-11,2.0469821112287066e-10,Faraday
21.0,1.8311285714285713e-10,5.046340120014202e-10,Faraday
21.2,-5.390807157142858e-10,1.41964835693599e-09,Faraday
21.4,-5.438164714285713e-10,1.4656974347280826e-09,Faraday
21.6,2.7072355571428565e-10,7.090857272471159e-10,Faraday
21.8,-2.3994147000000004e-10,6.741658784322823e-10,Faraday
22.0,-1.6732717142857146e-10,4.624567962473278e-10,Faraday
22.2,9.944965714285713e-11,2.010368039879834e-10,Faraday
22.4,1.0181757e-10,2.5130833367320107e-10,Faraday
22.6,-2.809843157142857e-10,7.533735898081554e-10,Faraday
22.8,-7.742879014285714e-10,2.0950167254154923e-09,Faraday
23.0,3.165021442857142e-10,8.353725305118222e-10,Faraday
23.2,-2.1231645714285718e-10,5.887985887825871e-10,Faraday
23.4,-2.3677585714285714e-12,5.449463981436169e-11,Faraday
23.6,-6.290591714285714e-10,1.6721872924766448e-09,Faraday
23.8,2.359951e-10,6.276105004209697e-10,Faraday
24.0,9.944982857142858e-11,2.4986975072053517e-10,Faraday
24.2,-7.158807428571427e-10,1.925942465846881e-09,Faraday
24.4,-2.6677715714285716e-10,7.114474292112145e-10,Faraday
24.6,2.786165428571428e-10,7.549482524683812e-10,Faraday
24.8,1.2865341571428571e-10,3.341093399799134e-10,Faraday
25.0,-4.893557257142857e-10,1.2949021197355384e-09,Faraday
25.2,-1.0773608142857141e-09,2.8385434893372224e-09,Faraday
25.4,5.761785714285715e-11,1.7304338172834828e-10,Faraday
25.6,-2.644094e-10,7.130310905138825e-10,Faraday
25.8,-7.332450428571428e-10,1.9668747688760814e-09,Faraday
26.0,1.7206255571428572e-10,3.648196903012519e-10,Faraday
26.2,2.604644285714286e-11,9.487913661906669e-11,Faraday
26.4,-1.3654503000000002e-10,3.7919686642310964e-10,Faraday
26.6,-2.5335942857142857e-10,7.176255768805384e-10,Faraday
26.8,1.1760318571428572e-10,2.5164933635152853e-10,Faraday
27.0,1.4680684285714283e-10,3.2924906600886437e-10,Faraday
27.2,-1.6101302999999995e-10,5.143795577671015e-10,Faraday
27.4,-1.1049428571428543e-11,4.837621115113836e-10,Faraday
27.6,1.016597714285714e-09,5.759850310727742e-10,Faraday
27.8,8.879414285714287e-10,1.5612261724408432e-09,Faraday
28.0,1.7750984285714283e-09,3.9325390235057093e-10,Faraday
28.2,1.3370442857142857e-09,1.661959248776948e-09,Faraday
28.4,7.363971428571429e-10,8.611765011640431e-10,Faraday
28.6,1.3733628571428574e-10,5.491284954800999e-10,Faraday
28.8,1.6417042857142857e-10,4.155572420600699e-11,Faraday
29.0,-3.0466371428571425e-10,1.132968589704309e-09,Faraday
29.2,1.2628471428571428e-10,6.1724296028696e-11,Faraday
29.4,-6.708916285714287e-10,1.8970643876825613e-09,Faraday
29.6,-9.155714428571428e-11,3.0559173322377196e-10,Faraday
29.8,-7.632380285714286e-10,2.099952699975559e-09,Faraday
30.0,4.4910208857142856e-10,1.1178259278270554e-09,Faraday
30.2,-2.194200442857143e-10,6.344233507385712e-10,Faraday
30.4,-4.751487157142857e-10,1.3015060353436702e-09,Faraday
30.6,2.6283067142857147e-10,6.639076756315462e-10,Faraday
30.8,-6.906234400000001e-10,1.7911020844830889e-09,Faraday
31.0,-3.8280214285714287e-10,1.0011536321654065e-09,Faraday
31.2,-6.077487e-10,1.6326905266391933e-09,Faraday
31.4,3.2518369999999995e-10,6.861088445106189e-10,Faraday
31.6,3.9306200000000005e-10,4.615731172754035e-10,Faraday
31.8,3.685954285714286e-10,1.1601247097885231e-10,Faraday
32.0,1.1602557142857152e-10,1.1234064718193583e-09,Faraday
32.2,4.5936357142857146e-10,2.5323535260955513e-10,Faraday
32.4,1.2549571428571434e-10,3.968864997396251e-10,Faraday
32.6,-6.116954714285715e-10,1.7769019600116506e-09,Faraday
32.8,4.2621071428571434e-11,3.562257752936632e-11,Faraday
33.0,-1.4207031428571436e-11,9.4510875684524e-11,Faraday
33.2,-4.688343428571429e-10,1.303968097864108e-09,Faraday
33.4,-5.730199985714286e-10,1.5015997246611661e-09,Faraday
33.6,-3.709628257142856e-10,9.571798473341298e-10,Faraday
33.8,-1.7285204285714288e-10,4.607816266330899e-10,Faraday
34.0,-4.0016639999999996e-10,1.0420452971854068e-09,Faraday
34.2,-2.628307428571429e-10,7.130056605308494e-10,Faraday
34.4,7.632377857142858e-10,1.953606430077705e-09,Faraday
34.6,6.827302428571428e-10,1.5994492741381128e-09,Faraday
34.8,-1.9811014285714282e-10,7.901379955015089e-10,Faraday
35.0,-6.156420285714285e-10,1.8239430196088553e-09,Faraday
35.2,4.1042655714285714e-10,8.919472939821086e-10,Faraday
35.4,-8.682458571428578e-12,1.4501900436701854e-10,Faraday
35.6,-5.225057857142857e-10,1.475098269134734e-09,Faraday
35.8,1.1602465714285715e-10,2.420510239568017e-10,Faraday
36.0,3.046627871428571e-10,7.42962763542805e-10,Faraday
36.2,-3.4886302714285703e-10,9.67325810278832e-10,Faraday
36.4,-3.8517001571428565e-10,1.0484645717633274e-09,Faraday
36.6,7.57711e-11,1.1640613646523681e-10,Faraday
36.8,1.4128194285714288e-10,3.2791754425683934e-10,Faraday
37.0,-4.735614285714286e-12,4.9972466756552667e-11,Faraday
37.2,-5.311880142857142e-10,1.471657545345862e-09,Faraday
37.4,2.6677711428571435e-10,6.62663991731326e-10,Faraday
37.6,2.2336638571428576e-10,5.366882481459152e-10,Faraday
37.8,-2.604628571428571e-10,7.143926684549281e-10,Faraday
38.0,-3.8753779999999985e-10,9.988016871772042e-10,Faraday
38.2,1.4206985714285713e-11,4.5094942767913883e-11,Faraday
38.4,2.723021142857142e-10,7.087750967959639e-10,Faraday
38.6,8.524271428571431e-11,2.081451950079914e-10,Faraday
38.8,-1.1207841428571429e-10,2.929586215348077e-10,Faraday
39.0,-6.629985571428572e-11,1.6749006083018498e-10,Faraday
39.2,3.796449571428571e-10,9.53757591592507e-10,Faraday
39.4,-4.3726299999999997e-10,1.1722401794692814e-09,Faraday
39.6,-2.1784144142857147e-10,5.866691587383821e-10,Faraday
39.8,5.0514142857142873e-11,1.277306563639006e-10,Faraday
40.0,-2.8966645857142847e-10,7.983721343568786e-10,Faraday
40.2,-8.855771971428573e-10,2.3869618430333587e-09,Faraday
40.4,2.2652338714285712e-10,5.341145524568085e-10,Faraday
40.6,2.2968074142857146e-10,6.304505773046096e-10,Faraday
40.8,-8.413771285714285e-10,2.2115765344793567e-09,Faraday
41.0,-5.469735842857143e-10,1.4643366383440217e-09,Faraday
41.2,4.1042685714285717e-11,8.378172678312037e-11,Faraday
41.4,1.6653785714285711e-10,4.1470784763853475e-10,Faraday
41.6,1.468057014285714e-10,3.757349251358387e-10,Faraday
41.8,-8.776844142857144e-10,2.3419020186455156e-09,Faraday
42.0,1.7995554571428568e-10,4.091306114732261e-10,Faraday
42.2,1.2233910285714285e-10,2.8789099304389385e-10,Faraday
42.4,-8.579521585714286e-10,2.3016847642445495e-09,Faraday
42.6,1.9889844285714288e-10,5.472595278611842e-10,Faraday
42.8,3.875376842857143e-10,9.505234086771877e-10,Faraday
43.0,-1.8627015714285714e-10,5.536341665201636e-10,Faraday
43.2,-5.856488857142858e-10,1.6423776396852393e-09,Faraday
43.4,4.0726914285714276e-10,7.462856152015857e-10,Faraday
43.6,1.1531441428571429e-09,1.5868381389438587e-09,Faraday
43.8,9.787085714285712e-10,4.3219022090697405e-10,Faraday
44.0,1.3828212857142856e-09,3.677968284550201e-10,Faraday
44.2,1.3228370000000002e-09,5.355417311498703e-10,Faraday
44.4,9.163584285714284e-10,2.3051624305881872e-10,Faraday
44.6,5.217155714285714e-10,6.964305196420905e-10,Faraday
44.8,-3.2518501428571425e-10,1.123739009519708e-09,Faraday
45.0,-9.155618571428569e-11,3.9847143416753407e-10,Faraday
45.2,3.5912322857142854e-10,8.162827852706308e-10,Faraday
45.4,-9.392491428571425e-11,3.0027033989557047e-10,Faraday
45.6,-2.123163e-10,5.420365611847937e-10,Faraday
45.8,-5.998573000000001e-11,2.2192824082951517e-10,Faraday
46.0,3.559664e-10,9.155631247586862e-10,Faraday
46.2,-6.314270242857145e-10,1.6709494181208946e-09,Faraday
46.4,-2.1152718428571433e-10,5.895572339478801e-10,Faraday
46.6,5.209254285714286e-11,8.068838972838383e-11,Faraday
46.8,7.103557142857142e-11,1.6643662069176878e-10,Faraday
47.0,-3.630697e-11,8.699906754430744e-11,Faraday
47.2,-4.498914285714286e-10,1.1664163097071999e-09,Faraday
47.4,2.5414858428571434e-10,6.678359453854817e-10,Faraday
47.6,-1.878484714285714e-10,5.029027784654628e-10,Faraday
47.8,-5.935414028571428e-10,1.5413453361982005e-09,Faraday
48.0,3.7175173e-10,9.091553153318155e-10,Faraday
48.2,5.509198428571428e-10,1.414233379407601e-09,Faraday
48.4,-1.6653788571428572e-10,4.637170737013337e-10,Faraday
48.6,-3.1887001428571426e-10,8.344280104804375e-10,Faraday
48.8,3.054521014285714e-10,7.914398038474603e-10,Faraday
49.0,-1.4522711428571428e-10,3.7487897576923603e-10,Faraday
49.2,-5.5802353e-10,1.459649235301009e-09,Faraday
49.4,1.8074504285714284e-10,5.05160845833123e-10,Faraday
49.6,2.9598067285714287e-10,7.467292145115009e-10,Faraday
49.8,2.3125915714285718e-10,5.813864993801568e-10,Faraday
50.0,2.2099842857142858e-11,4.5223711628741e-11,Faraday
