amu,p,err,type
1.0,1.37777e-08,1.8465819776007786e-10,Faraday
1.2,1.407447142857143e-08,1.8275089342495443e-10,Faraday
1.4,1.442887142857143e-08,9.467847814476909e-10,Faraday
1.6,1.3799814285714286e-08,1.7112918564918257e-09,Faraday
1.8,1.3573285714285715e-08,8.375731996440093e-10,Faraday
2.0,1.3220471428571427e-08,5.224450839220192e-10,Faraday
2.2,1.2643500000000002e-08,2.4513960648305397e-10,Faraday
2.4,8.712084285714286e-09,9.702393725580838e-10,Faraday
2.6,2.1681628571428574e-09,3.052906067993327e-09,Faraday
2.8,3.3071128571428563e-10,1.0720899254135532e-09,Faraday
3.0,2.604632857142857e-10,2.3164247094442347e-10,Faraday
3.2,-3.575453428571428e-10,1.1099331912034329e-09,Faraday
3.4,1.120783557142857e-10,1.9478272343743443e-10,Faraday
3.6,-1.539094285714286e-10,4.705565165053245e-10,Faraday
3.8,-1.2628454285714285e-10,3.871724397505968e-10,Faraday
4.0,-6.622095714285715e-10,1.8525235281484173e-09,Faraday
4.2,2.1389471285714286e-10,4.921837371134623e-10,Faraday
4.4,2.5178084428571426e-10,6.69455464405704e-10,Faraday
4.6,-3.386020128571428e-10,8.746621918078972e-10,Faraday
4.8,-4.6330915714285717e-10,1.209434748421005e-09,Faraday
5.0,5.698628285714286e-10,1.503359556318118e-09,Faraday
5.2,1.2076068714285714e-10,3.3972231908747543e-10,Faraday
5.4,-1.168140114285714e-10,2.923278116583587e-10,Faraday
5.6,3.985881557142856e-10,1.1405012788014544e-09,Faraday
5.8,2.367846e-10,7.247224036653529e-10,Faraday
6.0,-5.580233728571429e-10,1.4108163493202858e-09,Faraday
6.2,3.7885472857142853e-11,1.350112789462822e-10,Faraday
6.4,-2.6046272857142864e-10,6.657333821459503e-10,Faraday
6.6,4.530487414285714e-10,1.2623387443851625e-09,Faraday
6.8,-3.843804e-10,9.030640778282679e-10,Faraday
7.0,2.7467015714285714e-10,7.569124997676256e-10,Faraday
7.2,1.428593171428571e-10,4.253665384675856e-10,Faraday
7.4,-8.445324285714287e-11,1.6002493765995618e-10,Faraday
7.6,-3.291305728571428e-10,8.30002915026572e-10,Faraday
7.8,4.341074142857142e-11,1.793544451297914e-10,Faraday
8.0,-4.025338428571428e-11,8.998030958896543e-11,Faraday
8.2,1.1839271428571428e-11,6.213451929930508e-11,Faraday
8.4,-1.3496771428571427e-10,3.3123641643959995e-10,Faraday
8.6,-2.138946857142857e-10,4.912318569311828e-10,Faraday
8.8,3.662272857142856e-10,1.0085808964777743e-09,Faraday
9.0,-3.559664014285714e-10,9.154408669699799e-10,Faraday
9.2,-3.0545185714285714e-10,7.431907390219436e-10,Faraday
9.4,7.656072714285716e-11,2.611481381058871e-10,Faraday
9.6,5.248736142857143e-10,1.4254212168979274e-09,Faraday
9.8,-2.2336637142857146e-10,5.35511529641503e-10,Faraday
10.0,-2.865092842857143e-10,7.515209877409893e-10,Faraday
10.2,-2.3915197142857145e-10,5.315720535251759e-10,Faraday
10.4,2.7388101428571425e-10,8.06373919349643e-10,Faraday
10.6,-1.199711e-10,2.4193988364556593e-10,Faraday
10.8,-4.191091285714286e-10,1.0343397731828528e-09,Faraday
11.0,4.183201714285714e-10,1.180381124572895e-09,Faraday
11.2,2.0442372857142855e-10,5.931643557936724e-10,Faraday
11.4,-3.433377428571428e-10,9.213051457017715e-10,Faraday
11.6,-1.3338804571428568e-10,4.292952439966182e-10,Faraday
11.8,-1.2786289999999998e-10,3.8478678013114395e-10,Faraday
12.0,-2.730917142857142e-10,8.0675238671132e-10,Faraday
12.2,-3.2360618571428565e-10,9.783259667168868e-10,Faraday
12.4,-1.2154887285714286e-10,3.8627220338159564e-10,Faraday
12.6,-2.415198714285714e-10,6.266938972847796e-10,Faraday
12.8,5.840699857142858e-11,1.709730633319569e-10,Faraday
13.0,-3.899055699999999e-10,9.98849738405913e-10,Faraday
13.2,-4.514697142857142e-10,1.1178988304334211e-09,Faraday
13.4,7.277202728571428e-10,1.969562927144438e-09,Faraday
13.6,4.1437355857142855e-10,1.0847269481296897e-09,Faraday
13.8,9.471299999999998e-12,3.5479523813555706e-11,Faraday
14.0,2.596732714285714e-10,6.181300146896166e-10,Faraday
14.2,3.930628285714285e-10,9.970785028526283e-10,Faraday
14.4,2.1705214142857146e-10,5.870147034747711e-10,Faraday
14.6,-1.1207842714285711e-10,2.920367566502554e-10,Faraday
14.8,2.920342985714285e-10,7.975596973110963e-10,Faraday
15.0,-2.644092871428571e-10,7.131952170431976e-10,Faraday
15.2,-3.7096428571428574e-11,1.3618499489527367e-10,Faraday
15.4,-3.622809285714285e-10,1.0584956560948509e-09,Faraday
15.6,-2.6993514285714285e-10,1.1483740102866354e-09,Faraday
15.8,4.451548571428572e-10,3.4124990074256366e-10,Faraday
16.0,3.42549e-10,1.1141702817193906e-10,Faraday
16.2,-5.4460142857142765e-11,1.1944246382890004e-09,Faraday
16.4,2.991398571428571e-10,6.687219438489685e-10,Faraday
16.6,1.5146314285714288e-09,3.081704011002446e-10,Faraday
16.8,2.472035714285714e-09,5.345737082234844e-11,Faraday
17.0,3.1610828571428573e-09,2.2870429056712e-10,Faraday
17.2,3.6425457142857143e-09,6.356199848666688e-10,Faraday
17.4,3.1989671428571425e-09,8.799842643046574e-10,Faraday
17.6,6.131152857142858e-09,1.8287327512671555e-09,Faraday
17.8,1.0199871428571428e-08,1.448098853341035e-09,Faraday
18.0,1.3647485714285716e-08,1.292122407034994e-09,Faraday
18.2,1.4238642857142856e-08,4.004805857014918e-10,Faraday
18.4,7.975684285714286e-09,2.737747156038197e-09,Faraday
18.6,3.5502e-09,1.5680974727463001e-09,Faraday
18.8,3.012697142857143e-09,3.7945393992395113e-10,Faraday
19.0,2.9827014285714285e-09,7.33046090579771e-10,Faraday
19.2,2.5943742857142857e-09,3.682981828562804e-10,Faraday
19.4,7.316628571428572e-10,1.7359774869864555e-09,Faraday
19.6,5.217155714285714e-10,2.593747753039072e-10,Faraday
19.8,3.2676225714285706e-10,6.366547624546809e-10,Faraday
20.0,-5.051415842857142e-10,1.3855300604117642e-09,Faraday
20.2,-4.964593142857142e-10,1.3405970825216133e-09,Faraday
20.4,-4.727806828571428e-10,1.2047708350532184e-09,Faraday
20.6,1.815358428571429e-11,9.31474494279548e-11,Faraday
20.8,-5.753876014285712e-10,1.501019377939952e-09,Faraday
21.0,-3.228164157142857e-10,8.336236655649038e-10,Faraday
21.2,3.078198428571428e-11,9.13910492513612e-11,Faraday
21.4,2.0679157285714287e-10,5.926225304543107e-10,Faraday
21.6,7.340355428571429e-11,2.1445005551161152e-10,Faraday
21.8,1.4601657142857142e-10,4.2404193054338273e-10,Faraday
22.0,2.865095428571428e-10,8.009332680842368e-10,Faraday
22.2,-2.5967327285714287e-10,6.175783177321384e-10,Faraday
22.4,-1.996877e-10,4.5017844200883647e-10,Faraday
22.6,-4.206877142857142e-10,1.082089909015918e-09,Faraday
22.8,3.741202142857143e-10,1.102713380611717e-09,Faraday
23.0,-2.1941973000000002e-10,5.380976031304792e-10,Faraday
23.2,-4.0411268571428564e-10,9.921065550037563e-10,Faraday
23.4,1.0023927142857142e-10,2.995650839220458e-10,Faraday
23.6,5.793345571428571e-10,1.5966810329058447e-09,Faraday
23.8,-2.083698714285714e-10,4.952852597841863e-10,Faraday
24.0,-3.0545199857142856e-10,7.444150283171545e-10,Faraday
24.2,-1.9968769999999998e-10,4.980889299900871e-10,Faraday
24.4,2.3757388857142847e-10,7.242137747975816e-10,Faraday
24.6,-6.101162557142858e-10,1.5343815896989686e-09,Faraday
24.8,-1.3891388571428569e-10,3.3175170931947193e-10,Faraday
25.0,3.8516999999999997e-10,1.0498126601117949e-09,Faraday
25.2,-6.803628728571427e-10,1.795489255298658e-09,Faraday
25.4,-4.680450157142857e-10,1.2556295580272105e-09,Faraday
25.6,4.506807399999999e-10,1.2147461556549175e-09,Faraday
25.8,2.7388098428571427e-10,7.575046598424712e-10,Faraday
26.0,-1.9653057285714279e-10,4.99317482878319e-10,Faraday
26.2,-1.1997112857142855e-10,2.9149623276643275e-10,Faraday
26.4,1.1365588428571428e-10,3.911783189951369e-10,Faraday
26.6,3.4807375714285713e-10,9.677915248475292e-10,Faraday
26.8,-4.1279497285714283e-10,1.0849694778027653e-09,Faraday
27.0,-2.541487285714285e-10,7.167996837964e-10,Faraday
27.2,3.946301428571429e-12,3.85051545375726e-11,Faraday
27.4,3.204477142857143e-10,5.412774419016291e-10,Faraday
27.6,6.969382857142856e-10,4.224952380684023e-11,Faraday
27.8,1.1870800000000002e-09,5.241782781967728e-10,Faraday
28.0,1.7845671428571429e-09,2.0578988051847815e-10,Faraday
28.2,1.8074571428571428e-09,3.126958680951981e-10,Faraday
28.4,4.498885714285714e-10,1.46601424876464e-09,Faraday
28.6,4.1595128571428564e-10,4.0274996451881247e-10,Faraday
28.8,6.787798571428573e-11,8.675609076467252e-11,Faraday
29.0,-2.233670285714285e-10,8.280265057622665e-10,Faraday
29.2,-2.344170285714285e-10,8.231644380508279e-10,Faraday
29.4,2.4467685714285712e-11,3.0571975760895167e-11,Faraday
29.6,3.480735742857143e-10,9.188919215352813e-10,Faraday
