amu,p,err,type
1.0,1.1098857142857144e-08,2.660331094592766e-09,Faraday
1.2,8.738114285714285e-09,1.364688095535108e-09,Faraday
1.4,7.484775714285714e-09,1.868416594355206e-09,Faraday
1.6,7.095658571428571e-09,2.378958353820908e-09,Faraday
1.8,8.288267142857143e-09,2.631272499227414e-09,Faraday
2.0,1.0023857142857142e-08,3.473819334132171e-09,Faraday
2.2,1.0391657142857144e-08,3.506458942607268e-09,Faraday
2.4,7.1303871428571425e-09,2.2644169510473275e-09,Faraday
2.6,2.3141771428571423e-09,7.873485290457308e-10,Faraday
2.8,1.059219142857143e-09,1.482882702098116e-09,Faraday
3.0,1.2202205714285713e-09,2.8245301151664653e-09,Faraday
3.2,6.574729714285712e-10,1.56172547201646e-09,Faraday
3.4,5.501305128571429e-10,1.3654757996729748e-09,Faraday
3.6,1.0931463e-09,2.8315726933040296e-09,Faraday
3.8,7.513984299999997e-10,1.9112976009184735e-09,Faraday
4.0,7.466624285714285e-10,1.8639025377292725e-09,Faraday
4.2,7.261409714285713e-10,1.775298671283577e-09,Faraday
4.4,9.045196985714284e-10,2.2816401006224406e-09,Faraday
4.6,7.711305885714283e-10,1.999684650304408e-09,Faraday
4.8,-1.594346e-10,5.163045676200434e-10,Faraday
5.0,9.179378542857143e-10,2.4213405848969422e-09,Faraday
5.2,1.0300165285714287e-09,2.7620649239418294e-09,Faraday
5.4,9.921304442857142e-10,2.535300894180398e-09,Faraday
5.6,4.806732985714286e-10,1.2021716620952937e-09,Faraday
5.8,3.678057714285714e-10,1.0075268544342373e-09,Faraday
6.0,4.049021428571428e-10,1.0887517074757307e-09,Faraday
6.2,7.585021442857141e-10,2.005080831869766e-09,Faraday
6.4,8.169093857142856e-10,2.1260408233287127e-09,Faraday
6.6,4.830414014285715e-10,1.2490489586158471e-09,Faraday
6.8,4.917235142857143e-10,1.2452230608576123e-09,Faraday
7.0,5.3197713e-10,1.4225333951483234e-09,Faraday
7.2,1.026069842857143e-09,2.6662266380956463e-09,Faraday
7.4,5.114555857142858e-10,1.333971478241923e-09,Faraday
7.6,8.342736985714286e-10,2.2148482288070805e-09,Faraday
7.8,5.335556142857143e-10,1.4220009486395341e-09,Faraday
8.0,1.1681285557142856e-09,3.0906583667944317e-09,Faraday
8.2,5.635485299999998e-10,1.4572457548304624e-09,Faraday
8.4,8.184877128571429e-10,2.124396326326953e-09,Faraday
8.6,8.358519857142857e-10,2.1657039890231384e-09,Faraday
8.8,1.0576412714285715e-09,2.7497092034497247e-09,Faraday
9.0,6.330058285714287e-10,1.6702493150733635e-09,Faraday
9.2,3.109768414285713e-10,7.413675771187206e-10,Faraday
9.4,1.2178534285714285e-09,3.166453886626799e-09,Faraday
