amu,p,err,type
1.0,1.905122e-09,4.809961611073405e-11,Faraday
1.2,1.94927e-09,3.543755564369518e-11,Faraday
1.4,8.686945999999999e-10,1.9348849172495997e-11,Faraday
1.6,7.397923999999999e-11,1.7780259050081353e-11,Faraday
1.8,1.4917482e-11,2.1399054464207525e-11,Faraday
2.0,2.242978e-09,4.9859420072840824e-11,Faraday
2.2,4.528944e-09,3.6969493234286766e-11,Faraday
2.4,1.898606e-09,2.3845438347826608e-11,Faraday
2.6,1.263562e-10,2.7475864566924927e-11,Faraday
2.8,3.3149840000000008e-12,3.1156221087565e-11,Faraday
3.0,1.2707468000000003e-11,1.9923477833027046e-11,Faraday
3.2,6.5195e-12,2.7688797956755002e-11,Faraday
3.4,-9.060999999999998e-12,2.5643146767996316e-11,Faraday
3.6,-9.005736e-12,3.2720454643184284e-11,Faraday
3.8,-1.823258000000001e-12,2.2147030071249283e-11,Faraday
4.0,-6.630000000000007e-13,3.389130159664866e-11,Faraday
4.2,2.475195e-11,2.2419303919754066e-11,Faraday
4.4,3.403384e-11,2.058686796341299e-11,Faraday
4.6,8.45324e-12,4.279798089861249e-11,Faraday
4.8,-6.6299897999999996e-12,2.6553008288819558e-11,Faraday
5.0,-2.0331944e-11,2.2405671269008656e-11,Faraday
5.2,-1.6353968e-11,2.7902126674469098e-11,Faraday
5.4,8.011239999999998e-12,1.9653522175757707e-11,Faraday
5.6,3.3150199999999997e-12,2.279099373951364e-11,Faraday
5.8,1.3149474e-11,2.5428891687234028e-11,Faraday
6.0,8.784679999999996e-12,5.5857412004961346e-11,Faraday
6.2,2.8730004000000014e-12,2.2913374288082286e-11,Faraday
6.4,-2.3923091999999998e-11,4.2607444818967026e-11,Faraday
6.6,-4.143760000000001e-12,2.8987736472912126e-11,Faraday
6.8,-8.28600200000001e-13,4.379454392072659e-11,Faraday
7.0,-7.072000000000001e-12,3.166917470767118e-11,Faraday
7.2,-2.6520200000000006e-12,2.582790721781384e-11,Faraday
7.4,-4.972599999999998e-13,2.855634298212921e-11,Faraday
7.6,7.458739999999999e-12,2.4698437162865186e-11,Faraday
7.8,3.867520000000009e-13,2.0198921294962017e-11,Faraday
8.0,-7.0167102e-12,2.5876622638764515e-11,Faraday
8.2,-1.2265484200000002e-11,2.3574956946516642e-11,Faraday
8.4,1.2928481999999999e-11,3.055984346134842e-11,Faraday
8.6,1.8287627999999997e-11,2.7357172724148962e-11,Faraday
8.8,2.486260000000001e-12,2.222818329029163e-11,Faraday
9.0,1.8121859599999992e-11,6.100452153570144e-11,Faraday
9.2,-7.23776e-12,4.117480177928001e-11,Faraday
9.4,7.2376799999999975e-12,5.420828345213488e-11,Faraday
9.6,7.734980000000001e-12,3.511682938566635e-11,Faraday
9.8,5.02764e-12,4.2922855637678626e-11,Faraday
10.0,-1.8453446e-11,1.6314391418492448e-11,Faraday
10.2,2.210019999999999e-12,2.5742392993310663e-11,Faraday
10.4,2.5967519999999998e-12,1.8940310375295333e-11,Faraday
10.6,-7.734800000000014e-13,3.20177407336464e-11,Faraday
10.8,1.5414658e-11,3.5900803322924686e-11,Faraday
11.0,1.1989204e-11,2.863449921165778e-11,Faraday
11.2,-2.337072e-11,2.7014330977316463e-11,Faraday
11.4,-1.1768172000000001e-11,4.224643616365669e-11,Faraday
11.6,6.077319999999997e-13,3.8631193508512264e-11,Faraday
11.8,3.43653098e-11,3.520702643702718e-11,Faraday
12.0,1.9116342000000002e-11,4.323539619242918e-11,Faraday
12.2,5.80675e-11,5.088369724911899e-11,Faraday
12.4,8.618987999999999e-12,2.6787201776626838e-11,Faraday
12.6,-1.2431188e-11,9.205798892965239e-12,Faraday
12.8,2.1823651999999997e-11,5.147390307146448e-11,Faraday
13.0,1.4585788e-11,4.9597244451186196e-11,Faraday
13.2,-4.0332379999999995e-12,2.7219735964676806e-11,Faraday
13.4,-9.226719999999997e-12,2.979691877547072e-11,Faraday
13.6,1.0663250000000002e-11,2.853444934839816e-11,Faraday
13.8,8.4532418e-12,1.7818173754353058e-11,Faraday
14.0,2.7072419999999998e-11,3.1221629072199296e-11,Faraday
14.2,-4.420029999999999e-12,2.0355461497735685e-11,Faraday
14.4,1.3094220000000002e-11,5.747733910278903e-11,Faraday
14.6,-3.204490200000001e-12,2.6618000353475656e-11,Faraday
14.8,1.8508560000000002e-11,5.10153809743983e-11,Faraday
15.0,6.132720000000002e-12,2.95505489324987e-11,Faraday
15.2,-7.955958e-12,1.7540625872964737e-11,Faraday
15.4,-1.535946e-11,2.3517403550094556e-11,Faraday
15.6,9.723958e-12,1.7542800003286817e-11,Faraday
15.8,2.5635899999999997e-11,4.697874718955371e-12,Faraday
16.0,9.7405e-11,2.6491691272925556e-11,Faraday
16.2,1.5906399999999997e-10,2.3658168800648967e-11,Faraday
16.4,5.0995479999999993e-11,1.2254060888823752e-11,Faraday
16.6,7.955960000000002e-12,3.3416695969425225e-11,Faraday
16.8,8.055387999999999e-11,1.7852133188277528e-11,Faraday
17.0,8.897994e-10,2.7154567632352318e-11,Faraday
17.2,1.289144e-09,1.7060260255928158e-11,Faraday
17.4,4.4791079999999995e-10,2.6564502765909252e-11,Faraday
17.6,4.889596e-11,2.1869741256654137e-11,Faraday
17.8,1.6917479999999998e-10,3.2970931776338975e-11,Faraday
18.0,3.543174e-09,3.958087770628645e-11,Faraday
18.2,5.0586819999999996e-09,6.171289387154003e-11,Faraday
18.4,1.7067240000000001e-09,3.396147788303671e-11,Faraday
18.6,1.437046e-10,1.1543934935714085e-11,Faraday
18.8,2.33486e-10,1.5187815889718953e-11,Faraday
19.0,8.170358e-10,5.02668025708817e-11,Faraday
19.2,1.020794e-09,3.8428975135956924e-11,Faraday
19.4,3.487926e-10,3.3381815405996096e-11,Faraday
