amu,p,err,type
1.0,2.0091199999999998e-09,3.823376967202333e-10,Faraday
1.2,1.4169214285714285e-09,1.2147641798641218e-09,Faraday
1.4,8.523085714285713e-10,1.9442360648067498e-10,Faraday
1.6,2.7742957142857136e-11,2.6908044114987784e-10,Faraday
1.8,-2.4546680857142857e-10,7.694679212606365e-10,Faraday
2.0,1.6359471428571428e-09,1.047104001444369e-09,Faraday
2.2,3.9631928571428575e-09,9.301943634838598e-10,Faraday
2.4,2.102175714285714e-09,4.89922204873969e-10,Faraday
2.6,-5.021428571428571e-10,1.8783369295537676e-09,Faraday
2.8,6.497384314285714e-10,1.6630230563499625e-09,Faraday
3.0,-3.599131428571429e-11,1.3286386222633338e-10,Faraday
3.2,3.351293e-10,8.759282107438217e-10,Faraday
3.4,-1.767591414285714e-10,5.069549594719802e-10,Faraday
3.6,3.2361628571428595e-12,5.243613221142133e-11,Faraday
3.8,5.2949088e-10,1.3746042312762255e-09,Faraday
4.0,8.441378571428573e-11,1.6076693186165938e-10,Faraday
4.2,-8.630829999999999e-11,3.037979841442774e-10,Faraday
4.4,3.6046532857142856e-10,9.136435735965961e-10,Faraday
4.6,3.3003824428571415e-10,7.805705906637005e-10,Faraday
4.8,-4.146893142857142e-10,1.132977731968836e-09,Faraday
5.0,8.603099999999999e-12,4.678096382580098e-11,Faraday
5.2,7.620540571428573e-11,2.1029962819356717e-10,Faraday
5.4,5.0948244285714294e-11,1.2469346317727698e-10,Faraday
5.6,9.297768000000002e-11,2.0352658010488488e-10,Faraday
5.8,-6.437400085714285e-10,1.7139841539033613e-09,Faraday
6.0,-1.0998680571428568e-10,2.9292856795095206e-10,Faraday
6.2,-2.6492234571428566e-10,7.11628148405475e-10,Faraday
6.4,-5.438164985714286e-11,1.2500005739961737e-10,Faraday
6.6,-1.3015181571428572e-10,3.8189424038324677e-10,Faraday
6.8,-2.0521557142857145e-12,2.1674475593908345e-11,Faraday
7.0,1.527253357142857e-10,3.724720902842988e-10,Faraday
7.2,3.481524857142857e-10,9.185583507937776e-10,Faraday
7.4,-3.1531808571428565e-11,8.67319222107421e-11,Faraday
7.6,-4.87303607e-10,1.3445813886230238e-09,Faraday
7.8,2.1859121285714287e-10,5.374058215799433e-10,Faraday
8.0,4.0703324285714274e-10,1.0875068243860522e-09,Faraday
8.2,-3.581369642857143e-10,9.629615987443078e-10,Faraday
8.4,-2.1792030142857145e-10,5.375369242561193e-10,Faraday
8.6,1.0844757285714286e-10,2.462186313260916e-10,Faraday
8.8,3.551753285714285e-11,3.890929388727956e-11,Faraday
9.0,-1.7119482428571426e-10,5.096104401724715e-10,Faraday
9.2,-5.114951442857143e-10,1.333723232842356e-09,Faraday
9.4,-3.003218714285715e-11,8.889198654637452e-11,Faraday
9.6,3.2530264985714283e-10,8.311689467599098e-10,Faraday
9.8,-1.9376827142857146e-10,5.480754955247724e-10,Faraday
10.0,1.7269430014285714e-10,4.6009096688652897e-10,Faraday
10.2,2.4479557142857146e-10,6.719763485300052e-10,Faraday
10.4,4.021395571428572e-11,8.45897121441258e-11,Faraday
10.6,-5.235712728571429e-10,1.426267848695475e-09,Faraday
10.8,3.364710157142857e-10,8.263633709460373e-10,Faraday
11.0,4.280676185714285e-10,1.0782177722097415e-09,Faraday
11.2,5.892003357142858e-10,1.543105662649946e-09,Faraday
11.4,-1.3299323857142854e-10,3.802282147507904e-10,Faraday
11.6,1.487799857142857e-11,1.786632826888934e-11,Faraday
11.8,8.069247714285714e-10,2.0805765418617294e-09,Faraday
12.0,2.5691084285714287e-11,3.966051863453202e-11,Faraday
12.2,-1.9179505714285715e-10,5.49094726905021e-10,Faraday
12.4,2.3031216000000004e-10,6.295685427607071e-10,Faraday
12.6,2.079753571428571e-11,4.5885067616126066e-11,Faraday
12.8,-1.6819538442857147e-10,4.629874903653843e-10,Faraday
13.0,-6.837173487142857e-10,1.8425663750385518e-09,Faraday
13.2,8.962321428571427e-11,2.0517602559856116e-10,Faraday
13.4,1.537119571428571e-10,4.199928664519269e-10,Faraday
13.6,-7.143810985714284e-10,1.9264939311329988e-09,Faraday
13.8,-1.2628430000000001e-11,5.084709195440089e-11,Faraday
14.0,5.358051142857143e-10,1.371705925825971e-09,Faraday
14.2,-8.87937714285715e-12,9.522366336349204e-11,Faraday
14.4,-4.6989983e-10,1.2547578769677298e-09,Faraday
14.6,9.143858285714286e-11,2.0441734827380402e-10,Faraday
14.8,2.0983017871428574e-10,5.411666527095137e-10,Faraday
15.0,-4.0762524142857133e-10,1.1359550912302512e-09,Faraday
15.2,-1.7553577142857144e-10,5.562519615267458e-10,Faraday
15.4,-1.5039698285714282e-10,4.213241323236795e-10,Faraday
15.6,1.328365157142857e-10,3.3299150892994966e-10,Faraday
15.8,-1.2036512857142863e-11,9.36426269112336e-11,Faraday
16.0,-5.440539999999999e-10,1.7093482360859066e-09,Faraday
16.2,4.301587142857142e-10,7.362870899505876e-10,Faraday
16.4,1.1764250000000002e-10,1.4403373959884078e-10,Faraday
16.6,-6.891239285714285e-10,1.8403280909935431e-09,Faraday
16.8,-4.535223285714286e-10,1.3595208150607817e-09,Faraday
17.0,1.196831e-09,9.878500598209898e-10,Faraday
17.2,1.592732857142857e-09,1.0057712109904234e-09,Faraday
17.4,5.724272857142857e-10,2.902039388020743e-10,Faraday
17.6,-1.619998571428572e-10,6.13364555350421e-10,Faraday
17.8,6.696674285714287e-10,1.3615050243899039e-09,Faraday
18.0,4.0458185714285716e-09,2.1909680240358636e-09,Faraday
18.2,4.4325814285714284e-09,9.58702051637674e-10,Faraday
18.4,1.5731998571428573e-09,6.058963607197819e-10,Faraday
18.6,2.945214285714285e-10,2.721985923989181e-10,Faraday
18.8,-2.625945714285714e-10,1.2489320934799802e-09,Faraday
19.0,6.463448571428571e-10,1.9174529442937968e-10,Faraday
19.2,1.0524691428571427e-09,2.1978224174200894e-10,Faraday
19.4,1.711574285714286e-10,5.159496858615373e-10,Faraday
19.6,-4.781085714285715e-10,1.3972932942298904e-09,Faraday
19.8,-4.624016442857143e-10,1.2580288708242096e-09,Faraday
20.0,2.803921285714286e-10,6.562544021557589e-10,Faraday
20.2,1.2115514285714285e-10,2.39205881350939e-10,Faraday
