amu,p,err,type
1.0,4.933028571428572e-10,9.8043364712958e-10,Faraday
1.2,1.6151085714285712e-09,1.2069666730199937e-09,Faraday
1.4,-6.73762857142857e-10,4.65131826324224e-09,Faraday
1.6,-1.5174273428571428e-09,4.203946555308332e-09,Faraday
1.8,-1.2656168571428572e-10,3.357522677350987e-10,Faraday
2.0,4.844234285714285e-10,3.84589356596902e-10,Faraday
2.2,1.0512844285714285e-09,9.236676986163832e-10,Faraday
2.4,7.006851428571428e-10,8.588156547227172e-10,Faraday
2.6,-8.028192715714286e-10,1.8449212476489786e-09,Faraday
2.8,7.199452787142858e-10,1.6445955911278888e-09,Faraday
3.0,-9.948919e-10,1.850100699571608e-09,Faraday
3.2,1.2685270142857142e-09,4.391790633869233e-09,Faraday
3.4,-1.4546407142857144e-10,4.259766838016908e-10,Faraday
3.6,-1.4298176714285712e-09,4.262825546778182e-09,Faraday
3.8,6.072370571428572e-10,2.7920006790432606e-09,Faraday
4.0,2.963767714285714e-10,2.634744353653941e-09,Faraday
4.2,-7.581060714285714e-10,1.5722506285162315e-09,Faraday
4.4,-1.4207789285714284e-09,4.360396457378164e-09,Faraday
4.6,-5.986733428571433e-11,2.0445529123922252e-09,Faraday
4.8,-2.6817275142857144e-09,4.683160349937416e-09,Faraday
5.0,-1.5456044728571428e-09,4.249736894697959e-09,Faraday
5.2,-1.699159871428571e-09,4.215968319764141e-09,Faraday
5.4,-2.2206554285714281e-10,1.1483027874934346e-09,Faraday
5.6,-4.6220297714285706e-10,8.30782574845859e-10,Faraday
5.8,-1.5765444571428572e-09,4.177514836756181e-09,Faraday
6.0,-1.1165516285714281e-09,4.453524707334388e-09,Faraday
6.2,-1.8942685557142855e-09,4.070753563360928e-09,Faraday
6.4,-1.2397183700000001e-09,4.401602560794828e-09,Faraday
6.6,6.561303485714286e-10,1.0998971503138483e-09,Faraday
6.8,3.044275000000001e-10,2.011487677742896e-09,Faraday
7.0,-5.95592142857143e-10,1.1773433269954121e-09,Faraday
7.2,1.3125794285714283e-10,3.335273895118803e-10,Faraday
7.4,9.542322857142856e-11,4.760737034218326e-10,Faraday
7.6,8.169094285714288e-11,1.7598229845281274e-09,Faraday
7.8,-4.155984e-10,1.6699481960934024e-09,Faraday
8.0,-2.126635871428571e-09,4.287323019911917e-09,Faraday
8.2,-1.490157254285714e-09,4.2228835896731365e-09,Faraday
8.4,-1.523346614285714e-09,4.578025835260529e-09,Faraday
8.6,-2.554585e-09,4.080771686764565e-09,Faraday
8.8,-1.8743421e-09,4.281419012994375e-09,Faraday
9.0,-1.6656942714285712e-09,4.2160906826515934e-09,Faraday
9.2,-1.3480857144285713e-09,4.77056675999589e-09,Faraday
9.4,-9.779234428571429e-11,2.4956307688483966e-10,Faraday
9.6,-3.0217517142857145e-10,5.120421392370154e-10,Faraday
9.8,1.0245689285714286e-09,1.8176409310573012e-09,Faraday
10.0,-4.378957142857142e-10,1.7086056933347224e-09,Faraday
10.2,-1.9171986014285714e-09,4.10832582028609e-09,Faraday
10.4,1.7790364285714285e-10,5.072850400840565e-10,Faraday
10.6,-1.6776265714285714e-10,1.6166305065879203e-09,Faraday
10.8,-5.066003142857142e-10,9.908799091119945e-10,Faraday
11.0,1.2995575285714284e-10,3.3319475312827934e-10,Faraday
11.2,-1.4280812157142854e-09,4.26314616769965e-09,Faraday
11.4,-1.9438765871428574e-09,4.12534976708401e-09,Faraday
11.6,-2.5082933999999997e-09,4.068620050343467e-09,Faraday
11.8,-1.1728655714285713e-10,4.5490718615536236e-10,Faraday
12.0,7.307178285714286e-10,1.3153034930000968e-09,Faraday
12.2,-1.7156166200000002e-09,4.40930587328755e-09,Faraday
12.4,-2.0162318571428578e-10,1.7666642178800045e-09,Faraday
12.6,-4.528892857142857e-10,8.60605470794286e-10,Faraday
12.8,7.638311142857143e-10,2.6343280392444726e-09,Faraday
13.0,4.285821428571434e-11,1.820313350634826e-09,Faraday
13.2,1.7660267871428573e-10,1.5906803007673174e-09,Faraday
13.4,7.223514285714283e-10,1.2575248195510398e-09,Faraday
13.6,3.5782111428571425e-10,8.207813104275023e-10,Faraday
13.8,-2.076318742857143e-09,4.171924200136794e-09,Faraday
14.0,-1.61932377e-09,4.539436644917314e-09,Faraday
14.2,2.213918442857143e-11,5.0232851277826653e-11,Faraday
14.4,-1.2985975142857143e-09,4.534194410045729e-09,Faraday
14.6,-2.428378228571429e-09,4.196936558538857e-09,Faraday
14.8,5.509081571428573e-11,5.482727973624599e-10,Faraday
15.0,5.316598571428572e-10,9.757587077028824e-10,Faraday
15.2,6.333989285714285e-10,1.252080232079073e-09,Faraday
15.4,-2.2234021585714286e-09,4.243056471818252e-09,Faraday
15.6,-2.739594871428571e-10,4.650311482566138e-10,Faraday
15.8,-4.86989e-11,1.756213161479551e-10,Faraday
16.0,3.9843114285714284e-10,1.3493965768559206e-09,Faraday
16.2,-1.5620614285714281e-09,4.192049088742316e-09,Faraday
16.4,3.704481142857143e-10,5.41883393759e-10,Faraday
