amu,p,err,type
1.0,2.451028571428571e-09,2.4764673709232708e-09,Faraday
1.2,2.037572857142857e-09,1.0116125937945857e-09,Faraday
1.4,7.140251428571429e-10,3.214857152370478e-10,Faraday
1.6,6.604725142857143e-10,1.4647841622097401e-09,Faraday
1.8,9.478122714285714e-10,2.4569345297428687e-09,Faraday
2.0,1.6756091428571427e-09,1.6796825743966656e-09,Faraday
2.2,4.4745971428571425e-09,2.1924766832261814e-09,Faraday
2.4,1.7687442857142856e-09,2.010415239742895e-10,Faraday
2.6,5.559708571428573e-10,1.0272909491112093e-09,Faraday
2.8,6.103925057142856e-10,1.533960852727199e-09,Faraday
3.0,1.4968659157142857e-10,3.728212135972043e-10,Faraday
3.2,-1.1436722285714284e-10,2.937377036172833e-10,Faraday
3.4,7.859299571428572e-10,2.0902485601071754e-09,Faraday
3.6,8.656476785714285e-10,2.2983509351170247e-09,Faraday
3.8,1.408861571428571e-11,5.235345532836772e-11,Faraday
4.0,9.917756585714286e-10,2.6325736332694537e-09,Faraday
4.2,1.4324998000000001e-09,3.753793505254203e-09,Faraday
4.4,3.137792915714286e-10,8.855974969612217e-10,Faraday
4.6,5.380941e-10,1.419586399836039e-09,Faraday
4.8,6.249155428571428e-10,1.6737053461758404e-09,Faraday
5.0,7.942173142857143e-10,2.086111799630819e-09,Faraday
5.2,2.3429817857142855e-10,6.286623150098554e-10,Faraday
5.4,5.473287428571428e-10,1.464324718703766e-09,Faraday
5.6,8.816701728571428e-10,2.340073990279589e-09,Faraday
5.8,9.723592442857142e-10,2.5924182052243655e-09,Faraday
6.0,1.0903444685714283e-09,2.881337877597069e-09,Faraday
6.2,6.558555542857143e-10,1.757364065646603e-09,Faraday
6.4,4.304355514285714e-10,1.174760399884155e-09,Faraday
6.6,5.251893142857143e-10,1.4254191388406389e-09,Faraday
6.8,8.731458942857142e-10,2.2950746397086484e-09,Faraday
7.0,7.056200299999999e-10,1.8815206849251397e-09,Faraday
7.2,1.9585993428571427e-10,5.48446783800151e-10,Faraday
7.4,8.08227157142857e-10,2.1287986733348026e-09,Faraday
7.6,6.494624714285712e-10,1.7604592276348516e-09,Faraday
7.8,6.265730285714286e-10,1.6731079106901822e-09,Faraday
8.0,-7.292981428571429e-11,1.6439276125780224e-10,Faraday
8.2,2.2036713142857136e-10,5.851493444198099e-10,Faraday
8.4,1.3708960571428573e-09,3.586080845488834e-09,Faraday
8.6,9.508116142857142e-10,2.5045087479308227e-09,Faraday
8.8,3.529276657142857e-10,9.169416905126341e-10,Faraday
9.0,2.0564692857142859e-10,5.440530522453202e-10,Faraday
9.2,1.084622057142857e-09,2.8352162817505222e-09,Faraday
9.4,6.8272171428571436e-12,5.624772961797383e-11,Faraday
9.6,2.1567090857142857e-10,5.877900413699633e-10,Faraday
9.8,1.997272285714286e-10,5.466624065991879e-10,Faraday
10.0,9.653739714285716e-10,2.5469390055545492e-09,Faraday
10.2,1.0300559800000001e-09,2.761833946882686e-09,Faraday
10.4,5.326876787142857e-10,1.470898565429345e-09,Faraday
10.6,8.422453714285713e-10,2.2114111412675675e-09,Faraday
10.8,7.796154142857141e-10,2.044144777292981e-09,Faraday
11.0,3.183569628571428e-10,8.343750191811211e-10,Faraday
11.2,4.837518e-10,1.2973228372691268e-09,Faraday
11.4,4.154786128571428e-10,1.1329447597999757e-09,Faraday
11.6,1.022320742857143e-09,2.6678647727039482e-09,Faraday
11.8,3.3911521428571434e-10,8.744299256700436e-10,Faraday
12.0,5.489862144285714e-10,1.4146917773060711e-09,Faraday
12.2,1.0162432842857143e-09,2.6218138923494976e-09,Faraday
12.4,9.267383628571429e-10,2.417525405240859e-09,Faraday
12.6,5.825703428571428e-10,1.5461095090363284e-09,Faraday
12.8,3.830389428571428e-10,1.001143007197906e-09,Faraday
13.0,9.107948285714285e-10,2.424609664995065e-09,Faraday
13.2,6.742459028571427e-10,1.7981873783554052e-09,Faraday
13.4,6.445688984285714e-10,1.7625481754193794e-09,Faraday
13.6,8.448896e-10,2.2592309919177776e-09,Faraday
13.8,3.5939992857142855e-10,9.632369964593512e-10,Faraday
14.0,5.577473842857143e-10,1.5570346210756089e-09,Faraday
14.2,5.987112085714287e-10,1.5389771676792995e-09,Faraday
14.4,3.7340975857142855e-10,1.0053046777300702e-09,Faraday
14.6,7.238920857142856e-10,1.9712473179395347e-09,Faraday
14.8,2.0821205714285716e-10,5.430566455714446e-10,Faraday
15.0,5.707705557142855e-10,1.5026567206960294e-09,Faraday
15.2,1.1382146644285712e-09,3.0064070324401737e-09,Faraday
15.4,7.639088857142857e-10,2.0510429553025082e-09,Faraday
15.6,3.210406644285713e-10,8.830676852160019e-10,Faraday
15.8,1.2613433585714285e-09,3.3420423531177055e-09,Faraday
16.0,1.4093338428571427e-09,3.423182837502126e-09,Faraday
16.2,1.0420525714285713e-09,2.269396028608629e-09,Faraday
16.4,6.208504142857142e-10,1.52956611014548e-09,Faraday
16.6,4.369866e-10,1.1233165732825896e-09,Faraday
16.8,1.1839142142857142e-09,3.0349421597357596e-09,Faraday
