amu,p,err,type
1.0,2.2566300000000003e-10,1.162577855457431e-11,SEM
1.2,1.9843580000000002e-10,1.4629640398861484e-11,SEM
1.4,2.03541e-11,1.1622583094992266e-11,SEM
1.6,3.513898e-12,7.420142294930738e-12,SEM
1.8,2.342602e-12,6.265653775706092e-12,SEM
2.0,2.4743139999999997e-10,4.8280022082637864e-11,SEM
2.2,4.959462e-10,3.7041672406898646e-11,SEM
2.4,3.0254900000000003e-11,1.8265352523288457e-11,SEM
2.6,-8.176999999999999e-13,3.198397637880568e-12,SEM
2.8,6.409e-13,5.104812978944478e-12,SEM
3.0,2.0774e-12,6.340716850246508e-12,SEM
3.2,-6.409e-13,5.4226122902158514e-12,SEM
3.4,-2.629902e-12,8.06211035356252e-12,SEM
3.6,1.7679800000000012e-13,7.324994011364105e-12,SEM
3.8,1.988999999999999e-13,7.601404149892308e-12,SEM
4.0,-9.281978e-13,6.390209520576708e-12,SEM
4.2,9.502979999999998e-13,6.0014860206885434e-12,SEM
4.4,1.5911999999999997e-12,7.72457440251565e-12,SEM
4.6,1.0608e-12,4.620300864121296e-12,SEM
4.8,-1.767999999999999e-13,3.4895962982843728e-12,SEM
5.0,-2.2984e-12,7.370606779634903e-12,SEM
5.2,1.5248999999999997e-12,6.804682949998479e-12,SEM
5.4,5.304020000000003e-13,3.8496247769126805e-12,SEM
5.6,-1.1049979999999994e-13,2.9277288121084913e-12,SEM
5.8,5.304000000000004e-13,9.476752122958582e-12,SEM
6.0,-2.4310000000000004e-13,6.541189345218498e-12,SEM
6.2,-2.2895600000000003e-11,4.917804951830644e-11,SEM
6.4,2.210200000000018e-14,4.0392287741003236e-12,SEM
6.6,2.651999999999996e-13,6.249651806300892e-12,SEM
6.8,-2.24536002e-11,4.934554383533229e-11,SEM
7.0,3.9779999999999993e-13,4.058976512003981e-12,SEM
7.2,2.651977999999999e-13,5.593966816590817e-12,SEM
7.4,1.325999999999998e-13,5.955939749527357e-12,SEM
7.6,1.1271000000000001e-12,3.837708111620789e-12,SEM
7.8,-2.3669100000000005e-11,4.9135760544637965e-11,SEM
8.0,2.7845999999999997e-12,7.258765101585806e-12,SEM
8.2,-8.839999999999998e-14,5.510283901488198e-12,SEM
8.4,-3.536e-13,2.5883902671351552e-12,SEM
8.6,1.1049979999999999e-12,6.347744770784346e-12,SEM
8.8,1.5469799999999987e-13,7.342060152370041e-12,SEM
9.0,-1.4807e-12,4.436268809483934e-12,SEM
9.2,-7.95598e-13,5.634094785590672e-12,SEM
9.4,-6.409e-13,3.527702765256733e-12,SEM
9.6,-1.4807e-12,2.5791751006862638e-12,SEM
9.8,-1.9447999999999995e-12,3.784201527403106e-12,SEM
10.0,1.547e-12,5.003710385803719e-12,SEM
10.2,1.3259999999999999e-13,5.348930528619717e-12,SEM
10.4,-1.5911999999999997e-12,5.534715457907479e-12,SEM
10.6,1.2375999999999999e-12,1.7994883439466897e-12,SEM
10.8,-2.1923200000000003e-11,4.9874906703672136e-11,SEM
11.0,1.370198e-12,8.310528186193702e-12,SEM
11.2,-1.5469999999999989e-13,3.4054802084287615e-12,SEM
11.4,-2.17906e-11,4.9740614881603546e-11,SEM
11.6,1.3260200000000013e-13,4.0558206675123106e-12,SEM
11.8,-2.0995e-12,5.984368241510544e-12,SEM
12.0,3.4697e-12,3.3947067546402295e-12,SEM
12.2,3.580202e-12,5.740473765641648e-12,SEM
12.4,8.839999999999998e-14,3.4710018258422164e-12,SEM
12.6,8.176999999999999e-13,1.1787817652135615e-12,SEM
12.8,-4.4199999999999993e-13,2.959874047151331e-12,SEM
13.0,0.0,4.736700790106971e-12,SEM
13.2,1.0387e-12,5.8070877770187015e-12,SEM
13.4,-8.619e-13,6.725266392493312e-12,SEM
13.6,4.199e-13,5.274219520459876e-12,SEM
13.8,2.762498e-12,7.003472200988593e-12,SEM
14.0,3.5360000000000003e-12,5.3429920924515694e-12,SEM
14.2,1.193402e-12,3.6165794589667182e-12,SEM
14.4,1.1712999999999999e-12,5.011391243956113e-12,SEM
14.6,2.430999999999999e-13,3.341049318702135e-12,SEM
14.8,6.62999999999999e-14,3.617588416334838e-12,SEM
15.0,2.5636e-12,4.194926971950763e-12,SEM
15.2,1.0829000000000002e-12,5.021614113011871e-12,SEM
15.4,-2.28735002e-11,4.902677158598912e-11,SEM
15.6,-2.15696002e-11,4.972784825887e-11,SEM
15.8,5.326102e-12,6.9590446781163865e-12,SEM
16.0,1.6972799999999998e-11,9.890398163117601e-12,SEM
16.2,1.52932e-11,1.0002722208229118e-11,SEM
16.4,2.8288e-12,5.237163791118243e-12,SEM
16.6,1.5028e-12,5.589596380777418e-12,SEM
16.8,1.1116300000000001e-11,8.774701957901476e-12,SEM
17.0,1.18478e-10,6.306550998763105e-12,SEM
17.2,1.261246e-10,1.161819890516597e-11,SEM
17.4,-5.966979999999998e-13,4.700866577932201e-12,SEM
17.6,9.724e-13,1.3743819247210727e-12,SEM
17.8,2.94372e-11,1.6992155239992364e-11,SEM
18.0,4.849624e-10,4.325523876133384e-11,SEM
18.2,5.311294e-10,2.1883808816108794e-11,SEM
18.4,-1.2597020000000003e-12,3.738759293070363e-12,SEM
18.6,4.0664e-12,6.654999534184807e-12,SEM
18.8,-1.0851099999999998e-11,5.588910418230015e-11,SEM
19.0,2.9879199999999995e-11,1.707959720543784e-11,SEM
19.2,3.39014e-11,1.9192898925774605e-11,SEM
19.4,1.547022000000001e-13,4.6578111630538655e-12,SEM
19.6,-2.3823800000000004e-11,4.860251776605817e-11,SEM
19.8,1.922702e-12,2.9042837734147124e-12,SEM
20.0,-2.00226e-11,5.0723074874015674e-11,SEM
20.2,1.1933999999999997e-12,7.240237931173257e-12,SEM
20.4,-1.480702e-12,3.8955005386368515e-12,SEM
20.6,4.419999999999999e-14,4.69436462154358e-12,SEM
20.8,8.839999999999998e-14,6.941036192457146e-12,SEM
21.0,-5.525e-13,2.21e-12,SEM
21.2,7.956020000000002e-13,3.328237968057573e-12,SEM
21.4,1.5249e-12,5.4271138784809e-12,SEM
21.6,5.304e-13,3.174255550518893e-12,SEM
21.8,-2.1724299999999998e-11,4.971883617352683e-11,SEM
22.0,-2.00446998e-11,5.0658411461512003e-11,SEM
22.2,-6.409e-13,3.6751841518487205e-12,SEM
22.4,1.3701999999999996e-12,6.9455205492461105e-12,SEM
22.6,1.989002e-13,3.110138323700443e-12,SEM
22.8,-2.1680102e-11,4.9930008434402656e-11,SEM
23.0,3.3149799999999976e-13,5.087805500166059e-12,SEM
23.2,1.5911998000000002e-12,5.819165533592441e-12,SEM
23.4,2.2100200000000016e-13,6.964132756131233e-12,SEM
23.6,2.1878999999999996e-12,5.3397917375118665e-12,SEM
23.8,-8.397999999999999e-13,5.131182235854619e-12,SEM
24.0,-8.619e-13,2.4390231241216227e-12,SEM
24.2,-1.1050000000000002e-13,7.933715318184791e-12,SEM
24.4,-2.4309799999999985e-13,5.214854088612644e-12,SEM
24.6,-3.9780020000000005e-13,1.2344389183350467e-12,SEM
24.8,-4.419999999999999e-14,3.0227355284576254e-12,SEM
25.0,7.071997999999997e-13,5.6736128538480835e-12,SEM
25.2,1.0166e-12,7.399128186820392e-12,SEM
25.4,-5.745999999999999e-13,2.914561875308191e-12,SEM
25.6,6.188000000000002e-13,4.817597243439929e-12,SEM
25.8,9.724e-13,5.233548776881706e-12,SEM
26.0,-7.292999999999999e-13,2.5506119265776205e-12,SEM
