amu,p,err,type
1.0,2.0305725e-10,4.568258710149537e-12,SEM
1.2,1.7975562499999998e-10,5.784090444301264e-12,SEM
1.4,2.0580625e-11,3.4615915492113492e-12,SEM
1.6,-2.016625e-12,5.170020252447208e-12,SEM
1.8,2.1685625e-12,5.4945879959771064e-12,SEM
2.0,2.0413475e-10,1.1392099652829584e-11,SEM
2.2,4.4831249999999994e-10,1.2089230059378096e-11,SEM
2.4,3.34953125e-11,5.05251680521345e-12,SEM
2.6,-4.97249875e-13,2.3574156328639957e-12,SEM
2.8,-1.60225e-12,2.1057220808685625e-12,SEM
3.0,-2.6796249999999995e-12,6.231469448063021e-12,SEM
3.2,-2.1133124999999994e-12,4.453981316413921e-12,SEM
3.4,-1.7818125e-12,3.163376992319397e-12,SEM
3.6,-2.348125e-12,4.8258996626091835e-12,SEM
3.8,-3.218313625e-12,5.403193643131227e-12,SEM
4.0,-1.60225e-12,3.890209854787491e-12,SEM
4.2,-8.287487499999992e-14,2.579817556305398e-12,SEM
4.4,-2.6934375000000005e-12,6.255548648071795e-12,SEM
4.6,-4.0056262500000004e-12,4.025404502524072e-12,SEM
4.8,-2.0028125e-12,2.6165327376060644e-12,SEM
5.0,-9.806875000000001e-13,3.5069919236688544e-12,SEM
5.2,-3.0387512500000005e-12,4.752418831426605e-12,SEM
5.4,-1.3121891249999998e-12,3.1295626678489503e-12,SEM
5.6,-1.9199373749999997e-12,1.7390906008858225e-12,SEM
5.8,-2.9420612499999996e-12,5.675117690158977e-12,SEM
6.0,-2.1961875000000007e-12,5.7975090829566005e-12,SEM
6.2,-6.491874999999998e-13,3.678854702771929e-12,SEM
6.4,-1.93375e-12,2.593473236524994e-12,SEM
6.6,-2.3895624999999996e-12,5.6123736793770496e-12,SEM
6.8,-1.643687625e-12,3.2866950401228254e-12,SEM
7.0,-9.6687625e-13,3.3405557674389517e-12,SEM
7.2,-1.4365013749999998e-12,4.278833060945571e-12,SEM
7.4,-3.9780001249999995e-12,4.743968183312978e-12,SEM
7.6,-2.5829374999999997e-12,2.0288865249811286e-12,SEM
7.8,-2.9558750000000005e-12,2.505034199224776e-12,SEM
8.0,-3.853687625e-12,5.04456998857436e-12,SEM
8.2,-1.93375e-12,2.8669221425473996e-12,SEM
8.4,-1.3536248750000002e-12,1.6900671427596716e-12,SEM
8.6,-2.2928762500000005e-12,3.514601625821451e-12,SEM
8.8,-3.3840625e-12,4.879883000921085e-12,SEM
9.0,-2.527687375e-12,3.0925551454172247e-12,SEM
9.2,-1.7541874999999998e-12,1.715357749806561e-12,SEM
9.4,-2.2790637500000007e-12,4.791872625119499e-12,SEM
9.6,-2.36193875e-12,4.139566183104e-12,SEM
9.8,-6.906251250000001e-13,1.9738140497072043e-12,SEM
10.0,-7.182501249999998e-13,3.46020552423244e-12,SEM
10.2,-2.1133112499999995e-12,5.689085366799024e-12,SEM
10.4,-2.92825e-12,2.777298931901796e-12,SEM
10.6,-8.84e-13,3.6092370978603536e-12,SEM
