amu,p,err,type
1.0,2.7630762500000002e-12,3.1596092183683432e-12,SEM
1.2,3.9443275e-12,2.0472778445309133e-12,SEM
1.4,2.4729612499999995e-12,1.161819562846357e-12,SEM
1.6,1.1040062500000001e-12,2.392198609789315e-12,SEM
1.8,-1.3287361250000002e-12,2.8017113287981405e-12,SEM
2.0,-8.88723875e-13,1.7552761788271738e-12,SEM
2.2,-1.94259e-13,1.366926634346868e-12,SEM
2.4,-9.016800000000002e-13,2.985339880929521e-12,SEM
2.6,-5.3586975e-13,1.1918005061484253e-12,SEM
2.8,-1.5710337499999996e-13,9.699864791312354e-13,SEM
3.0,-1.419179125e-12,2.604416756699578e-12,SEM
3.2,-9.21652875e-13,2.2072592642240056e-12,SEM
3.4,-5.78163625e-13,1.1725721109713023e-12,SEM
3.6,-4.528566249999999e-13,1.1734372493103862e-12,SEM
3.8,-2.0271225e-13,1.707140935170242e-12,SEM
4.0,-1.0729550000000002e-12,2.2056065445153304e-12,SEM
4.2,-1.134586375e-12,2.1673811141860274e-12,SEM
4.4,3.0765962500000006e-13,5.696361422685129e-13,SEM
4.6,-4.74625125e-13,2.2722017998217646e-12,SEM
4.8,-7.224489999999999e-13,1.9470028973115137e-12,SEM
5.0,-1.0081467500000002e-12,1.8816471773040273e-12,SEM
5.2,-4.04402375e-13,2.1683065884167986e-12,SEM
5.4,-1.10295575e-12,2.0535897626362027e-12,SEM
5.6,-7.50598875e-13,1.5661513525380287e-12,SEM
5.8,-2.95670375e-13,5.752449026947286e-13,SEM
6.0,-7.60985875e-13,1.7055478720618477e-12,SEM
6.2,-1.555287375e-14,1.1046838991649132e-12,SEM
6.4,-5.503465000000002e-13,2.55250447806592e-12,SEM
6.6,-8.110423762499999e-13,2.175497217593441e-12,SEM
6.8,-7.051281249999999e-13,1.507995309393182e-12,SEM
7.0,-2.3014387500000003e-13,2.491766418821936e-12,SEM
7.2,-4.1556287500000004e-13,7.82637900311949e-13,SEM
7.4,-4.859789999999999e-13,1.2850987364036609e-12,SEM
7.6,-5.7205975e-13,2.5598194033359216e-12,SEM
7.8,-4.1155725125e-13,1.176426344923191e-12,SEM
8.0,-9.2593475e-13,1.7288786787486398e-12,SEM
8.2,1.2403625000000008e-14,1.2211192131510149e-12,SEM
8.4,-1.1340075000000002e-13,3.222431222388064e-13,SEM
8.6,-4.89653125e-13,1.6016830115456178e-12,SEM
8.8,-1.5062807500000001e-12,2.876683007984556e-12,SEM
9.0,1.0475399999999997e-13,1.6032928198339636e-12,SEM
9.2,-3.41914625e-13,1.2182514152281584e-12,SEM
9.4,-1.28970075e-12,2.7843570716908906e-12,SEM
9.6,-8.391922500000001e-13,1.6431076502527373e-12,SEM
9.8,-9.20632e-13,2.531456288353575e-12,SEM
10.0,-9.527862499999999e-13,1.7440465796320384e-12,SEM
