amu,p,err,type
1.0,5.970435e-09,6.462124565196115e-10,Faraday
2.0,6.894616999999999e-09,7.342525263309166e-10,Faraday
3.0,2.2885551099999997e-10,6.769851054458607e-10,Faraday
4.0,-1.2804710900000002e-10,5.088781766243055e-10,Faraday
5.0,1.26102141e-10,4.1254595232312816e-10,Faraday
6.0,5.5106262000000005e-11,1.8568138539387362e-10,Faraday
7.0,2.9089025200000003e-10,9.269204498024594e-10,Faraday
8.0,7.499623099999999e-11,2.2755336975583125e-10,Faraday
9.0,-7.447696e-12,4.016982413659708e-11,Faraday
10.0,1.5924105099999998e-10,5.172206593183506e-10,Faraday
11.0,1.4528442e-10,4.733684861926074e-10,Faraday
12.0,3.394876e-10,4.440877132544876e-10,Faraday
13.0,4.087382e-11,1.0521377112370701e-10,Faraday
14.0,2.4130832e-10,5.562039587037352e-10,Faraday
15.0,2.3384968e-10,5.199350008864673e-10,Faraday
16.0,9.627405999999997e-10,5.458217974636858e-10,Faraday
17.0,3.55091e-09,5.103398184652173e-10,Faraday
18.0,1.357876e-08,1.5254686173981627e-09,Faraday
19.0,1.0240435e-09,3.208117318657817e-10,Faraday
20.0,1.4184832e-10,4.0709464858729734e-10,Faraday
21.0,1.1974837099999997e-10,3.95581358271566e-10,Faraday
22.0,1.08002391e-10,2.2556554045891728e-10,Faraday
23.0,-2.8884620999999997e-11,8.895251450110514e-11,Faraday
24.0,1.0870936999999999e-10,3.217532388027648e-10,Faraday
25.0,2.4891177899999984e-10,7.963548246336895e-10,Faraday
26.0,1.4985936999999997e-10,3.662912041693938e-10,Faraday
27.0,1.1493047999999998e-10,1.0000097998226262e-10,Faraday
28.0,2.5830509999999996e-09,8.29117504826668e-10,Faraday
29.0,2.0691049999999996e-10,2.4807901078453477e-10,Faraday
30.0,4.3730260000000003e-10,7.888762493156114e-10,Faraday
31.0,1.58710649e-10,4.985254647835107e-10,Faraday
32.0,1.2161827e-09,1.0641135434344765e-09,Faraday
33.0,1.0995767000000003e-10,3.8921726979730333e-10,Faraday
34.0,9.6002279e-11,2.8729218598656695e-10,Faraday
35.0,2.835529079999999e-10,8.131993532356662e-10,Faraday
36.0,2.2597150999999998e-10,7.172891193110108e-10,Faraday
37.0,1.47516959e-10,4.435327560526422e-10,Faraday
38.0,2.32877731e-10,7.341793695437706e-10,Faraday
39.0,1.4558310099999998e-10,4.0648040773710086e-10,Faraday
40.0,1.0468666999999999e-10,2.9394729402109213e-10,Faraday
41.0,2.7430465e-10,7.874446032041354e-10,Faraday
42.0,2.5290068999999995e-10,7.171502122476773e-10,Faraday
43.0,2.7430446100000003e-10,7.485930464216193e-10,Faraday
44.0,4.11543e-09,1.2438073391986576e-09,Faraday
45.0,3.3052658e-10,7.677139017950093e-10,Faraday
46.0,3.1381887100000003e-10,9.383692746835316e-10,Faraday
47.0,3.2335561999999994e-10,1.0224191987169682e-09,Faraday
48.0,1.2086384099999997e-10,3.269637558041525e-10,Faraday
49.0,1.8219187899999995e-10,5.67488284034329e-10,Faraday
50.0,2.88138781e-10,9.086111874067385e-10,Faraday
