amu,p,err,type
1.0,3.756976e-09,4.72698431316204e-09,Faraday
1.2,3.5359900000000003e-09,2.1255099388146835e-09,Faraday
1.4,3.5359900000000003e-09,1.2104668520864172e-09,Faraday
1.6,4.42e-10,3.546334896777235e-09,Faraday
1.8,2.20998e-10,4.014655561828436e-09,Faraday
2.0,4.640972e-09,1.976648874135212e-09,Faraday
2.2,1.8121900000000003e-08,2.2913767695427117e-09,Faraday
2.4,4.198954e-09,4.2365846872722845e-09,Faraday
2.6,4.0000000001170326e-15,2.591446179275194e-09,Faraday
2.8,1.5469939999999999e-09,1.6758075605749008e-09,Faraday
3.0,2.6519899999999996e-09,1.4825130690823607e-09,Faraday
3.2,2.65199e-09,9.88342046054907e-10,Faraday
3.4,6.62998e-10,2.9855359720023475e-09,Faraday
3.6,2.872994e-09,3.7145013958915134e-09,Faraday
3.8,1.988996e-09,3.0662438936066387e-09,Faraday
4.0,3.5359719999999995e-09,3.859561710430344e-09,Faraday
4.2,6.62998e-10,2.154033342376575e-09,Faraday
4.4,1.104996e-09,3.4943081182231197e-09,Faraday
4.6,1.104996e-09,2.2099912500007777e-09,Faraday
4.8,2.2099800000000003e-09,3.827791148573809e-09,Faraday
5.0,1.326e-09,3.259273270239855e-09,Faraday
5.2,1.546998e-09,2.773520418181557e-09,Faraday
5.4,1.7679899999999998e-09,9.88342046054907e-10,Faraday
5.6,2.4309939999999997e-09,2.264570751826933e-09,Faraday
5.8,1.9889940000000002e-09,3.6145420816584772e-09,Faraday
6.0,3.093992e-09,2.125506299689559e-09,Faraday
6.2,2.20999e-09,1.353343082887706e-09,Faraday
6.4,4.4199799999999996e-10,2.661182436459402e-09,Faraday
6.6,1.9889940000000002e-09,1.9766790609580507e-09,Faraday
6.8,2.209992e-09,1.5627024508907639e-09,Faraday
7.0,2.209994e-09,2.3440519085719922e-09,Faraday
7.2,1.988978e-09,3.779640458690483e-09,Faraday
7.4,4.41996e-10,3.1834661408722414e-09,Faraday
7.6,1.546992e-09,1.675813165308114e-09,Faraday
7.8,2.872994e-09,3.0860888143538576e-09,Faraday
8.0,2.2100200000000003e-10,3.3516217149493467e-09,Faraday
8.2,-8.839999999999998e-10,3.937885238310025e-09,Faraday
8.4,2.430992e-09,1.976681017519013e-09,Faraday
8.6,-2.209979999999999e-10,2.3955750729355154e-09,Faraday
8.8,2.0000000001412343e-15,4.060019722873277e-09,Faraday
9.0,8.839959999999999e-10,2.125501620813308e-09,Faraday
9.2,1.325992e-09,9.245057436381885e-10,Faraday
9.4,1.104998e-09,2.7066780008102182e-09,Faraday
9.6,2.209994e-09,2.344054265589856e-09,Faraday
9.8,2.651992e-09,2.291373876088317e-09,Faraday
10.0,2.87299e-09,1.6758154731353927e-09,Faraday
10.2,1.3259980000000002e-09,3.6980277554556023e-09,Faraday
10.4,1.5469800000000002e-09,3.875340624009714e-09,Faraday
10.6,1.325998e-09,2.6381442208624606e-09,Faraday
10.8,1.767996e-09,2.6611853430529784e-09,Faraday
11.0,1.104996e-09,3.664862101782276e-09,Faraday
11.2,4.4199799999999996e-10,3.369787591246665e-09,Faraday
11.4,2.430994e-09,2.6381425454436685e-09,Faraday
11.6,2.0000000000585163e-15,3.221590631989111e-09,Faraday
11.8,1.104998e-09,3.747226994741578e-09,Faraday
12.0,8.839936000000001e-09,3.494281239028994e-09,Faraday
12.2,1.1049900000000001e-08,3.1254119728445403e-09,Faraday
12.4,-1.999999999975798e-15,3.906755066563554e-09,Faraday
12.6,6.629980000000001e-10,2.881477492558288e-09,Faraday
12.8,2.20998e-10,3.698027755455602e-09,Faraday
13.0,1.546998e-09,3.369787591246665e-09,Faraday
13.2,-2.2099999999999996e-10,1.4407341444902315e-09,Faraday
13.4,6.629820000000001e-10,4.322186071558003e-09,Faraday
13.6,4.419973999999999e-09,3.494285191813914e-09,Faraday
13.8,1.67959e-08,2.860221582325398e-09,Faraday
14.0,2.63431e-07,1.6758154731353907e-09,Faraday
14.2,3.13819e-07,2.210000000000018e-09,Faraday
14.4,1.988996e-09,2.395574381036832e-09,Faraday
14.6,2.651978e-09,4.392253787859941e-09,Faraday
14.8,1.3259959999999997e-09,3.6145420816584772e-09,Faraday
15.0,2.209996e-09,2.7066780008120653e-09,Faraday
15.2,3.093996e-09,3.4414945939344435e-09,Faraday
15.4,1.325994e-09,1.44073529493797e-09,Faraday
15.6,1.5999999999806383e-14,4.688071408082433e-09,Faraday
15.8,4.198956e-09,3.937845672779725e-09,Faraday
16.0,5.900672e-08,2.4205639966751577e-09,Faraday
16.2,6.7846e-08,1.2598938447345486e-09,Faraday
16.4,1.325994e-09,2.3955755342046722e-09,Faraday
16.6,6.630020000000001e-10,2.985534861648746e-09,Faraday
16.8,1.546998e-09,3.953358680934479e-09,Faraday
17.0,8.839936000000001e-09,3.74719087149694e-09,Faraday
17.2,9.060918000000001e-09,5.264694571541639e-09,Faraday
17.4,1.105e-09,3.2215932044719733e-09,Faraday
17.6,1.546998e-09,2.881478259525829e-09,Faraday
17.8,1.546998e-09,2.7735184261367365e-09,Faraday
18.0,3.4475900000000005e-08,3.6145494186689423e-09,Faraday
18.2,4.331590000000001e-08,5.6018160001913694e-09,Faraday
18.4,1.767994e-09,4.322222758035499e-09,Faraday
18.6,-4.42e-10,3.277951303802422e-09,Faraday
18.8,1.105002e-09,3.125401366244022e-09,Faraday
19.0,2.4309939999999997e-09,2.264570751826933e-09,Faraday
19.2,2.872994e-09,2.881480560420285e-09,Faraday
