amu,p,err,type
1.0,4.104252857142857e-09,4.543208598427306e-09,Faraday
1.2,4.893548571428571e-09,3.4859605936787284e-09,Faraday
1.4,2.999265714285714e-09,4.40679342486067e-09,Faraday
1.6,-7.892728571428573e-10,3.1715420095211014e-09,Faraday
1.8,-6.314157142857144e-10,4.272814550168141e-09,Faraday
2.0,5.840678571428571e-09,3.5356316031058657e-09,Faraday
2.2,1.4364900000000001e-08,3.3758307619508025e-09,Faraday
2.4,1.736412857142857e-09,4.224920248500612e-09,Faraday
2.6,1.4207014285714283e-09,5.210844139332348e-09,Faraday
2.8,1.4207014285714283e-09,4.8466306864749824e-09,Faraday
3.0,2.367841428571428e-09,4.918088492061486e-09,Faraday
3.2,1.4285714285541414e-15,2.7808477364671164e-09,Faraday
3.4,4.735599999999999e-10,5.556444756547721e-09,Faraday
3.6,-2.05214e-09,3.5765394131618344e-09,Faraday
3.8,-3.1571571428571435e-10,3.1067441616256782e-09,Faraday
4.0,1.736412857142857e-09,4.504657013161359e-09,Faraday
4.2,9.471299999999996e-10,4.749686420389596e-09,Faraday
4.4,-1.1049985714285714e-09,3.5520697346872218e-09,Faraday
4.6,-1.5785685714285714e-09,2.770375535840033e-09,Faraday
4.8,1.4206999999999999e-09,4.761913947850521e-09,Faraday
5.0,3.1571571428571384e-10,6.042664492793051e-09,Faraday
5.2,1.4206985714285712e-09,5.1716436248463885e-09,Faraday
5.4,-1.0000000000056243e-14,5.337618457854902e-09,Faraday
5.6,1.1049857142857142e-09,5.103739934416908e-09,Faraday
5.8,9.471314285714282e-10,5.89658639397527e-09,Faraday
6.0,7.892642857142857e-10,6.10965200906963e-09,Faraday
6.2,-9.471385714285715e-10,2.4233270685184626e-09,Faraday
6.4,7.892728571428568e-10,5.05221328741742e-09,Faraday
6.6,-2.0521385714285715e-09,2.337842113505733e-09,Faraday
6.8,-6.314257142857143e-10,2.1021215462785614e-09,Faraday
7.0,-6.314257142857144e-10,6.278609948225953e-09,Faraday
7.2,-7.892828571428573e-10,3.106744585053162e-09,Faraday
7.4,4.73562857142857e-10,5.445461429070126e-09,Faraday
7.6,-1.1049957142857143e-09,2.923547639437727e-09,Faraday
7.8,-1.5785657142857141e-09,2.002978656907899e-09,Faraday
8.0,-1.7364242857142856e-09,2.695918291305439e-09,Faraday
8.2,1.5784714285714272e-10,5.315787299277233e-09,Faraday
8.4,-1.4207100000000002e-09,2.274815720441255e-09,Faraday
8.6,-1.4207114285714288e-09,2.5289947000565827e-09,Faraday
8.8,3.157042857142856e-10,5.210841109942031e-09,Faraday
9.0,-1.7364228571428572e-09,2.842882895024663e-09,Faraday
9.2,3.1571285714285686e-10,6.109649167005457e-09,Faraday
9.4,-1.5785671428571428e-09,3.1807265110595634e-09,Faraday
9.6,-6.314257142857142e-10,2.6193415703178606e-09,Faraday
9.8,0.0,2.853089985740606e-09,Faraday
10.0,-1.2628385714285715e-09,3.95480785685992e-09,Faraday
10.2,6.314271428571429e-10,2.842881136668188e-09,Faraday
10.4,7.892842857142857e-10,2.832638467182479e-09,Faraday
10.6,-3.1571285714285696e-10,3.758848004893318e-09,Faraday
10.8,1.5784714285714267e-10,5.315787299277232e-09,Faraday
11.0,-3.157128571428571e-10,2.0882451461830675e-09,Faraday
11.2,-4.735699999999999e-10,4.3670552833345264e-09,Faraday
11.4,-3.1571142857142853e-10,3.235099958725792e-09,Faraday
11.6,3.157142857142857e-10,3.2974058497797785e-09,Faraday
11.8,-7.892842857142857e-10,6.306330888276366e-09,Faraday
12.0,5.998535714285714e-09,3.2440411041264416e-09,Faraday
12.2,8.36638e-09,6.896471868518473e-09,Faraday
12.4,4.735599999999999e-10,5.407961941976539e-09,Faraday
12.6,3.157142857142857e-10,3.2351007719742783e-09,Faraday
12.8,-1.578542857142856e-10,3.279723653805084e-09,Faraday
13.0,1.4207085714285713e-09,2.1835253523482656e-09,Faraday
13.2,1.5785585714285713e-09,5.177261188223069e-09,Faraday
13.4,3.1571571428571435e-10,2.274814795200239e-09,Faraday
13.6,1.2628414285714286e-09,3.5191529471944837e-09,Faraday
13.8,1.8153471428571432e-08,2.619350610179481e-09,Faraday
14.0,2.888775714285714e-07,4.725178757011671e-09,Faraday
14.2,3.419175714285714e-07,3.925324524042264e-09,Faraday
14.4,9.4714e-10,2.8120357792709536e-09,Faraday
14.6,1.8942685714285715e-09,5.249754954053978e-09,Faraday
14.8,1.1049871428571428e-09,4.98268327659811e-09,Faraday
15.0,2.36784e-09,5.040697105414422e-09,Faraday
15.2,3.6306842857142854e-09,5.624044753594033e-09,Faraday
15.4,1.262842857142857e-09,6.0666945068648224e-09,Faraday
15.6,6.314285714285714e-10,1.8986578116608985e-09,Faraday
15.8,6.9456657142857135e-09,3.1715375300783116e-09,Faraday
