amu,p,err,type
1.0,4.097964285714286e-09,9.184462397596125e-10,Faraday
1.2,3.599925714285714e-09,6.292184208168401e-10,Faraday
1.4,1.7593142857142855e-09,1.881530289408572e-09,Faraday
1.6,1.5312200000000008e-10,1.144012069153847e-09,Faraday
1.8,1.8074555714285718e-10,1.6769415905790972e-10,Faraday
2.0,8.200655714285715e-10,7.6147749763576e-10,Faraday
2.2,2.2928685714285713e-09,7.122804298268245e-10,Faraday
2.4,1.15472e-09,1.1018858534954214e-09,Faraday
2.6,1.7679928571428576e-10,4.2425066490881474e-10,Faraday
2.8,1.3023139999999998e-10,1.393298087083904e-10,Faraday
3.0,9.866071571428568e-11,3.0010805011966223e-10,Faraday
3.2,-8.682084285714286e-11,1.1570475293324324e-10,Faraday
3.4,1.6575171428571436e-11,1.4498897503076703e-10,Faraday
3.6,-2.8808754142857146e-10,6.532905355266278e-10,Faraday
3.8,4.1832188571428577e-11,1.775993174636384e-10,Faraday
4.0,1.7364187142857147e-11,9.153405560193153e-11,Faraday
4.2,1.1523558428571429e-10,3.4039564189970186e-10,Faraday
4.4,-2.880875714285714e-10,7.022542449782384e-10,Faraday
4.6,-5.63548257142857e-10,1.4084704605401303e-09,Faraday
4.8,-4.7356814285714285e-11,4.325212443146304e-11,Faraday
5.0,-3.1018782857142857e-10,7.896682078889264e-10,Faraday
5.2,-1.7600914142857144e-10,4.135900200380767e-10,Faraday
5.4,-8.681970000000001e-12,6.126268280385403e-11,Faraday
5.6,-2.999270857142857e-10,7.450708116643017e-10,Faraday
5.8,-4.767269871428572e-10,1.2034562499344953e-09,Faraday
6.0,4.4120958571428574e-10,1.2677936930950047e-09,Faraday
6.2,-2.738802714285715e-10,6.115256100154371e-10,Faraday
6.4,-3.2991965714285713e-10,7.318918012847728e-10,Faraday
6.6,-3.1808038571428567e-10,7.374742200154061e-10,Faraday
6.8,1.9021647285714285e-10,5.499382562662626e-10,Faraday
7.0,6.6931303e-10,1.8492223273271333e-09,Faraday
7.2,-4.356840714285714e-10,1.0748865806190912e-09,Faraday
7.4,-2.8335185714285713e-10,7.043830122907679e-10,Faraday
7.6,2.1152743e-10,6.38523828483804e-10,Faraday
7.8,1.5548800000000003e-10,4.687040551426597e-10,Faraday
8.0,1.4996304285714288e-10,4.705348838742347e-10,Faraday
8.2,9.55034714285714e-11,3.0033327057528775e-10,Faraday
8.4,6.156417142857142e-11,1.7045364224389297e-10,Faraday
8.6,1.7837745714285715e-10,5.553498584606761e-10,Faraday
8.8,3.9700947142857134e-10,1.1408938211323665e-09,Faraday
9.0,1.2628471428571438e-11,9.663258610728776e-11,Faraday
9.2,-9.54245087142857e-10,2.503099066272534e-09,Faraday
9.4,-3.5675583000000005e-10,9.158630658935516e-10,Faraday
9.6,-3.338662428571429e-10,8.281497291255404e-10,Faraday
9.8,-6.030126999999999e-10,1.5374871732774997e-09,Faraday
10.0,6.551076999999998e-11,2.656102667646056e-10,Faraday
10.2,4.656787428571429e-11,1.768241612815679e-10,Faraday
10.4,-4.025339428571428e-10,9.433995043557647e-10,Faraday
10.6,-1.5548882857142854e-10,3.225926822311262e-10,Faraday
10.8,6.40109342857143e-10,1.764359273212188e-09,Faraday
11.0,-7.43505527142857e-10,1.865357879872371e-09,Faraday
11.2,-4.451554128571428e-10,1.1197729473241762e-09,Faraday
11.4,-2.920339557142857e-10,6.518560439724655e-10,Faraday
11.6,1.3812388714285713e-10,4.76194230748748e-10,Faraday
11.8,-1.4207112857142858e-10,3.2855084751123737e-10,Faraday
12.0,3.788558571428572e-11,1.3448271356488448e-10,Faraday
12.2,3.9227347285714287e-10,1.0458959236131565e-09,Faraday
12.4,-4.1042684428571424e-10,9.894995912593241e-10,Faraday
12.6,-4.6251978571428565e-10,1.1119118331849823e-09,Faraday
12.8,-3.322877999999999e-10,8.284971445935685e-10,Faraday
13.0,5.659165985714285e-10,1.5535853277646694e-09,Faraday
13.2,-7.340297285714287e-11,7.137804118290975e-11,Faraday
13.4,1.0576318428571428e-10,3.9311871834827714e-10,Faraday
13.6,1.917953142857143e-10,5.987534291166034e-10,Faraday
13.8,7.34035542857143e-11,2.1525516008859483e-10,Faraday
14.0,-3.054520142857142e-10,7.927629218125499e-10,Faraday
14.2,-4.2542357142857136e-10,1.1285126908922907e-09,Faraday
14.4,8.603214285714285e-11,2.5719123254072285e-10,Faraday
14.6,2.0047718714285712e-10,5.953621511985437e-10,Faraday
14.8,-4.064804414285714e-10,1.0396796688967686e-09,Faraday
15.0,-5.524982571428572e-10,1.3649770167201703e-09,Faraday
15.2,-2.462555442857143e-10,5.747101109979053e-10,Faraday
15.4,8.91892842857143e-11,2.5813052434823046e-10,Faraday
15.6,-6.187983885714284e-10,1.5788901159445752e-09,Faraday
15.8,-6.243235728571429e-10,1.674128959893711e-09,Faraday
16.0,4.81462e-10,7.149340857144338e-10,Faraday
16.2,8.437441428571429e-10,1.3344441002742712e-09,Faraday
16.4,-2.0284585714285707e-10,1.0317354858449956e-09,Faraday
16.6,-6.266918742857143e-10,1.7703680383010204e-09,Faraday
16.8,3.8595855714285703e-10,7.080767363684809e-10,Faraday
17.0,2.8974614285714285e-09,8.305505163530306e-10,Faraday
17.2,4.7491242857142856e-09,1.1237156928371922e-09,Faraday
17.4,2.2360414285714285e-09,1.6404623009020817e-09,Faraday
17.6,6.235334285714286e-10,2.2199537749831433e-10,Faraday
17.8,7.687620000000002e-10,3.6833147953485234e-10,Faraday
18.0,1.1981285714285714e-08,2.537998782787054e-09,Faraday
18.2,2.1774728571428574e-08,4.093456405335342e-09,Faraday
18.4,1.0142272857142858e-08,6.2258391394111524e-09,Faraday
18.6,2.201312857142857e-09,1.806229145159553e-09,Faraday
18.8,4.735714285714232e-12,2.0566650318619146e-09,Faraday
19.0,6.195882857142857e-10,2.3078431753530842e-10,Faraday
19.2,8.642655714285713e-10,5.2881979497925894e-11,Faraday
19.4,4.2779185714285715e-10,6.19241466673235e-11,Faraday
19.6,-1.8311358571428568e-10,7.4805333693004e-10,Faraday
19.8,3.7885485714285714e-10,5.658517176037754e-10,Faraday
20.0,3.575444285714285e-09,2.421376342791134e-09,Faraday
20.2,4.517074285714286e-09,2.52842386666552e-10,Faraday
20.4,1.9148014285714285e-09,1.5297159420017447e-09,Faraday
20.6,3.733314285714287e-10,5.078572266670548e-10,Faraday
20.8,1.4443841428571428e-10,1.3695705428248216e-10,Faraday
21.0,-2.628307014285714e-10,6.647653748116082e-10,Faraday
21.2,-2.4073054142857145e-10,5.768660564196695e-10,Faraday
21.4,4.270023428571429e-10,1.225162910118665e-09,Faraday
21.6,-5.840670000000002e-11,7.890319847108016e-11,Faraday
21.8,-2.6361981428571426e-10,6.159343872710535e-10,Faraday
22.0,-3.1176614285714286e-10,7.415675326482294e-10,Faraday
22.2,-2.1310657142857145e-11,2.65790557740399e-11,Faraday
22.4,-5.004057e-10,1.2900920354263242e-09,Faraday
22.6,-2.123162428571428e-10,4.924435324471624e-10,Faraday
22.8,-1.6022455714285715e-10,3.2244392165580694e-10,Faraday
23.0,2.3125988571428567e-10,7.758302123585555e-10,Faraday
