amu,p,err,type
1.0,1.5125199999999999e-09,6.126514792277905e-11,Faraday
1.2,1.516884e-09,4.709102281751797e-11,Faraday
1.4,6.780824e-10,2.54601502509314e-11,Faraday
1.6,6.580245999999999e-11,2.3200967180874163e-11,Faraday
1.8,2.0552920000000002e-11,3.448282931173209e-11,Faraday
2.0,8.597981999999999e-10,8.181657745347212e-11,Faraday
2.2,1.753406e-09,1.4552615668669318e-10,Faraday
2.4,7.464818e-10,9.532194631720442e-11,Faraday
2.6,5.591270000000001e-11,3.625625621792741e-11,Faraday
2.8,-1.1066399999999877e-13,3.9604907865663316e-11,Faraday
3.0,-3.314940000000002e-13,2.1540730205807324e-11,Faraday
3.2,-5.6905399999999985e-12,4.279500177156206e-11,Faraday
3.4,4.8620120000000005e-12,2.5772459134349596e-11,Faraday
3.6,-2.0387229799999997e-11,2.985372213692524e-11,Faraday
3.8,-1.2928477999999998e-11,3.001816128745097e-11,Faraday
4.0,8.2875e-12,3.420531568214216e-11,Faraday
4.2,1.4475408e-11,3.9164291635893525e-11,Faraday
4.4,1.9558337799999995e-11,4.863277512221196e-11,Faraday
4.6,1.1712937999999999e-11,8.069593191277983e-12,Faraday
4.8,-9.945279999999999e-13,2.1693578544719632e-11,Faraday
5.0,3.0166408e-11,2.6790759210804757e-11,Faraday
5.2,-1.0884169799999999e-11,7.224318228479044e-11,Faraday
5.4,-1.4919060000000012e-12,3.8917279263822903e-11,Faraday
5.6,-3.2597479999999994e-12,3.0809795266562874e-11,Faraday
5.8,2.6520599999999995e-12,3.025189851353134e-11,Faraday
6.0,2.044262200000001e-12,2.882449979207513e-11,Faraday
6.2,-2.5083288000000007e-11,4.929709670787642e-11,Faraday
6.4,1.2707519999999998e-12,3.968130039329004e-11,Faraday
6.6,4.199019999999999e-12,2.7221711206167772e-11,Faraday
6.8,-5.690662000000001e-12,4.18831473253828e-11,Faraday
7.0,4.198979999999999e-12,1.1745257409942107e-11,Faraday
7.2,-2.7072302e-12,2.825815324658992e-11,Faraday
7.4,6.464258000000001e-12,2.7795404118384755e-11,Faraday
7.6,-2.596761999999999e-12,2.8141259969824024e-11,Faraday
7.8,1.7458856000000002e-11,2.926746933780114e-11,Faraday
8.0,1.1989139999999997e-11,4.481221381953808e-11,Faraday
8.2,8.508480000000001e-12,4.1559363522761026e-11,Faraday
8.4,1.016598e-11,2.734060909145954e-11,Faraday
8.6,-8.453116000000001e-12,4.193630389555963e-11,Faraday
8.8,6.298594000000001e-12,5.5979106283044395e-11,Faraday
9.0,1.8287690200000003e-11,2.1794314303185365e-11,Faraday
9.2,-3.536120000000002e-12,5.1750358575298774e-11,Faraday
9.4,2.5028015999999998e-11,2.5425590139630585e-11,Faraday
9.6,-3.094e-12,2.8768664847973043e-11,Faraday
9.8,8.841600000000012e-13,4.66177084013468e-11,Faraday
10.0,1.1989122e-11,3.6736056093216106e-11,Faraday
10.2,-4.1437180000000005e-12,4.4937848138741796e-11,Faraday
10.4,1.3701842e-11,3.334169308068083e-11,Faraday
10.6,2.0444020000000004e-12,4.4823177271507876e-11,Faraday
10.8,-6.077479999999999e-12,4.3455976240063926e-11,Faraday
11.0,-7.569121999999998e-12,5.594577865383518e-11,Faraday
11.2,-6.35376e-12,4.200128146155781e-11,Faraday
